Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,राम विनोद यादव,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,41637,पुरुष,49,मधेश प्रदेश,धनुषा,2,10+2,,,राजर्षि जनक क्याम्पस
2,दिनेश प्रसाद  यादव परसैला,नेपाली काँग्रेस,रुख,10198,पुरुष,57,मधेश प्रदेश,धनुषा,2,प्रविणता प्रमाण पत्र,,,
3,उमाशंकर अरगरिया,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,10153,पुरुष,48,मधेश प्रदेश,धनुषा,2,स्नातक,,,रा.रा.व. क्याम्पस
4,राम चन्द्र झा,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,8403,पुरुष,71,मधेश प्रदेश,धनुषा,2,एम.ए,,,
5,पशुपति यादव,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,3830,पुरुष,45,मधेश प्रदेश,धनुषा,2,एम.ए.,,,टि.यु.
6,सुरेन्द्र प्रसाद यादव,जनमत पार्टी,लाउड स्पिकर,1177,पुरुष,44,मधेश प्रदेश,धनुषा,2,PHD ,,,
7,जय नाथ अधिकारी,स्वतन्त्र,प्रेसर कुकर,1081,पुरुष,33,मधेश प्रदेश,धनुषा,2,B.Tech,,,
8,लक्ष्‍मी मुखिया,स्वतन्त्र,चेसगोटी,579,पुरुष,40,मधेश प्रदेश,धनुषा,2,एस.एल.सी.,,,
9,श्‍याम सुन्दर पजियार,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,293,पुरुष,61,मधेश प्रदेश,धनुषा,2,B A,,,
10,महेश्वर मंडल,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,203,पुरुष,60,मधेश प्रदेश,धनुषा,2,साक्षर,,,
11,उमेश कुमार मण्डल,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,104,पुरुष,41,मधेश प्रदेश,धनुषा,2,10+2,,,
12,उमेश दास,स्वतन्त्र,फिरफिरे,57,पुरुष,41,मधेश प्रदेश,धनुषा,2,एस.एल.सी.,,,
13,विनोद कुमार ठाकुर,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),चकिया (जाँतो),56,पुरुष,50,मधेश प्रदेश,धनुषा,2,BE,,,
14,अनिल कुमार यादव,स्वतन्त्र,दूरबिन,34,पुरुष,28,मधेश प्रदेश,धनुषा,2,BE,,,
15,राम किशोर पासमान,स्वतन्त्र,मुढा,33,पुरुष,43,मधेश प्रदेश,धनुषा,2,एस.एल.सी.,,,
16,डोमी महरा चमार,स्वतन्त्र,टायर,19,पुरुष,59,मधेश प्रदेश,धनुषा,2,एस.एल.सी.,,,
17,भोला यादव,स्वतन्त्र,आँप,17,पुरुष,56,मधेश प्रदेश,धनुषा,2,एस.एल.सी,,,
18,रामसागर यादब,स्वतन्त्र,पंखा,17,पुरुष,49,मधेश प्रदेश,धनुषा,2,एस.एल.सी.,,,
19,अजय कुमार दास,स्वतन्त्र,ग्याँस चुलो,16,पुरुष,33,मधेश प्रदेश,धनुषा,2,साक्षर,,,
20,साधु शरण मोरवैता,स्वतन्त्र,सिरिन्ज,13,पुरुष,47,मधेश प्रदेश,धनुषा,2,अ हे व,,,ctevt
21,राम प्रकाश यादव,स्वतन्त्र,क्याल्कुलेटर,12,पुरुष,72,मधेश प्रदेश,धनुषा,2,एस.एल.सी.,,,
22,रिंकु देवी मण्डल,स्वतन्त्र,इस्त्री,12,महिला,34,मधेश प्रदेश,धनुषा,2,कक्षा 10,,,
23,ठकना पासमान,स्वतन्त्र,अनार,11,पुरुष,67,मधेश प्रदेश,धनुषा,2,साक्षर,,,
24,शिव कुमार गोहिवार यादब,स्वतन्त्र,जीप,10,पुरुष,54,मधेश प्रदेश,धनुषा,2,एस.एल.सी.,,,
25,सागर यादव,स्वतन्त्र,हेल्मेट,10,पुरुष,27,मधेश प्रदेश,धनुषा,2,10+2,,,
26,अजय कुमार मरिक,स्वतन्त्र,केराको काइँयो,9,पुरुष,30,मधेश प्रदेश,धनुषा,2,एस.एल.सी.,,,
27,लाल बाबु मण्डल,स्वतन्त्र,क्याप,9,पुरुष,26,मधेश प्रदेश,धनुषा,2,bachelor,,,
28,सन्तोष कुमार यादव मरिक,स्वतन्त्र,पेट्रोल पम्प,9,पुरुष,39,मधेश प्रदेश,धनुषा,2,B.Ed.,,,त्रिभुवन विश्वविद्यालय
29,मुकेश कुमार यादव,स्वतन्त्र,क्यामरा,8,पुरुष,50,मधेश प्रदेश,धनुषा,2,प्रविणता प्रमाण पत्र,,,
30,राम सुभेष मण्डल खत्वे,स्वतन्त्र,रिक्सा,7,पुरुष,44,मधेश प्रदेश,धनुषा,2,कक्षा 10,,,
31,भोला पासवान,स्वतन्त्र,टि टेवल,6,पुरुष,56,मधेश प्रदेश,धनुषा,2,एस.एल.सी.,,,
32,सरोज कुमार महरा,स्वतन्त्र,कैंची,5,पुरुष,29,मधेश प्रदेश,धनुषा,2,एस.एल.सी.,,,
33,सुजित कुमार दास,स्वतन्त्र,कप र प्लेट,5,पुरुष,38,मधेश प्रदेश,धनुषा,2,मास्टर डिग्री,,,
34,ज्ञान कुमार यादब,स्वतन्त्र,ऊँट,4,पुरुष,46,मधेश प्रदेश,धनुषा,2,एस.एल.सी.,,,
