Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,राज  किशोर  महतो ,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,48270,पुरुष,51,Elected,मधेश प्रदेश,धनुषा,4,,,,
2,महेन्द्र यादव,नेपाली काँग्रेस,रुख,15809,पुरुष,63,,मधेश प्रदेश,धनुषा,4,B.Sc.,"समाजसेवा, मंत्री",देश र समाजको सेवा गर्ने ।,ललित नारायण मिथिला युनिर्भसिटी (भारत)
3,रघुबीर महासेठ,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,11529,पुरुष,64,,मधेश प्रदेश,धनुषा,4,B.E.,"भुपु उपप्रधानमंत्री - २ पटक
कार्यवाहक प्रधानमंत्री","म नेपाल सरकारको भाैतिक पूर्वाधार तथा यातायात मंत्री हुँदा देशमा भाैतिक विकास सडक पुल तथा सुरूङ्ग मार्ग, रेल्वे संचालन र निर्माण समेत गरी राष्टलाइर् विकसित पुगाउन प्रत्यन गरेको ।","Birla Institute of Technology, Mesra, India"
4,संजय कुमार महतो,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,1336,पुरुष,32,,मधेश प्रदेश,धनुषा,4,स्नातक तह,सिभिल इन्जिनियरीङ्गका कार्यहरू,देश र जनताको सेवा गर्ने,"त्रिभुवन विश्वविद्यालय, काठमाण्डाैं"
5,इन्द्रजित कुमार यादब,जनमत पार्टी,लाउड स्पिकर,568,पुरुष,47,,मधेश प्रदेश,धनुषा,4,एस.एल.सी,,,"श्री जनता मा.वि., बनिनियाँ,गाेपालपुर"
6,कृष्ण चन्द्र प्रसाद साह,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,516,पुरुष,63,,मधेश प्रदेश,धनुषा,4,पि.एच.डि.,,,"युनिर्भसिटी अफ काेलाेरेडाे, USA"
7,राम वावु साह हलुवाइ,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,299,पुरुष,48,,मधेश प्रदेश,धनुषा,4,प्रविणता प्रमाणपत्र,"सामाजिक सहयोग
शिक्षक तालिम प्राप्त
विभिन्न संघसंस्थामा तालिम",,
8,जितेन्‍द्र दास,राष्ट्रिय एकता दल,"तुलसी, मठ",172,पुरुष,31,,मधेश प्रदेश,धनुषा,4,एस.एल.सी.,,,"श्री एस सत अाचार्य प्राइमरी कमर्स हाइ स्कुल, बसन्तपुर"
9,सूर्य प्रसाद लामा,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,119,पुरुष,62,,मधेश प्रदेश,धनुषा,4,स्नातक तह,"पशु चिकित्सक विज्ञान
अाधानिक कृषि व्यवस्था
समाजसेवा सामािजक कार्य",,"मल्टिपल क्याम्पस, पाटन"
10,रामहृदय महतो,स्वतन्त्र,व्याडमिन्टन कर्क,104,पुरुष,43,,मधेश प्रदेश,धनुषा,4,एस.एल.सी.,,,जनता मा.वि. नक्टाझिज
11,देव नारायण शाह,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,85,पुरुष,59,,मधेश प्रदेश,धनुषा,4,I.Sc.,सामाजिक विषलेश्णऽ कृषिऽ मानवता सम्बन्धी,आदिम साम्यवाद पश्चात दासयुगऽ,मिथिला जनता महाविद्यालय मधुबनी बिहार
12,राकेश कुमार राय,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,35,पुरुष,39,,मधेश प्रदेश,धनुषा,4,+2,स्वास्थ्य अनुसन्धान,,माेडेल मल्टिपल कलेज
13,विनोद कुमार यादव,स्वतन्त्र,नट बोल्ट,27,पुरुष,34,,मधेश प्रदेश,धनुषा,4,एस.एल.सी,समाजसेवी,,
