Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,बुद्धि प्रसाद पन्त,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,27274,पुरुष,46,मधेश प्रदेश,पर्सा,1,,,,
2,प्रदिप यादव,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,13030,पुरुष,50,मधेश प्रदेश,पर्सा,1,12 कक्षा उत्तिण,,"समाजसेवा गरेको ।
कानून बनाउने ।",
3,अनिल कुमार रुगंटा,नेपाली काँग्रेस,रुख,11885,पुरुष,57,मधेश प्रदेश,पर्सा,1,,,,
4,नन्द किशोर प्रसाद श्रीवास्तव,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,1272,पुरुष,65,मधेश प्रदेश,पर्सा,1,SLC,,,
5,रामनरेश प्रसाद यादव,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,1201,पुरुष,57,मधेश प्रदेश,पर्सा,1,MA,,"शिक्षण ।
कृषी ।
समाजसेवा ।
राजनिती ।",TU
6,अजय चौरसीया,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,537,पुरुष,33,मधेश प्रदेश,पर्सा,1,,,,
7,रामकिशोर सिंह,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,415,पुरुष,37,मधेश प्रदेश,पर्सा,1,,,,
8,विशाल कुमार,स्वतन्त्र,चेसगोटी,381,पुरुष,35,मधेश प्रदेश,पर्सा,1,,,,
9,ओम प्रकाश शर्राफ,जनमत पार्टी,लाउड स्पिकर,341,पुरुष,40,मधेश प्रदेश,पर्सा,1,SLC,,"20 वर्षको राजनितिक अनिुभव ।
प्रशिक्षण क्षेत्रमा 15 वर्षको अनुभव ।
सामाजिक क्षेत्रमा 22 वर्षको अनुभव ।
पर्यटन प्रवर्धन अभियानमा 8  वर्षको अनुभव ।",
10,जाबेद एकबाल हैदर,पिपुल फर्ष्ट पार्टी,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,252,पुरुष,38,मधेश प्रदेश,पर्सा,1,स्नातक,,"२ वर्ष सम्म hitech solution and services pvt ltd .
4-5 वर्षसम्म sipradi Trading pvt ltd
2 वर्ष IME motors pvt ltd ।",इन्धिरा गांधि नेशनल ओपेन युनिभर्सिटी र कोभेम्पु युनभर्सिटी
