Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,रामाकान्त प्रसाद चौरसीया,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,29679,पुरुष,57,Elected,मधेश प्रदेश,पर्सा,3,दश,,,
2,सुरेन्‍द्र प्रसाद चौधरी,नेपाली काँग्रेस,रुख,16366,पुरुष,68,,मधेश प्रदेश,पर्सा,3,स्‍नातकोतर (M.A),,,TU
3,रुपेश कुमार पाण्डेय,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,11914,पुरुष,49,,मधेश प्रदेश,पर्सा,3,स्‍नातक,,म रुपेश कुमार पाण्‍डेयले नेपालको संविधानको समान र रक्षा गर्दै हाम्रो देश नेपालको रक्षा तथा समृद्धि विकाशको लागी ज्यानको आहुती दिने छु । साथै देशको गरिबी हटाउन तथा अर्थतन्त्र विकासको लागी कुनै पनि कसर बाँकी राख्ने छैन ।,
4,छोटेलाल प्रसाद यादव,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,2137,पुरुष,49,,मधेश प्रदेश,पर्सा,3,Master Degree,,,TU Nepal
5,मालती कुमारी कुशवाहा,जनमत पार्टी,लाउड स्पिकर,583,महिला,53,,मधेश प्रदेश,पर्सा,3,एस एल सी,"सामाजिक सेवा, महिला शक्ति सशक्तीकरण, अस्थायी अस्तर कार्यकक्ष, राजनितिक संगठन अनुभव","स्थानिय शिक्षा, स्वास्थ्य, कृषि सिचाई सडक खानेपानी तथा रोजगारी विषयमा वर्षो देखि समुदाय सँग नजिकबाट काम गर्दै आएको, मधेशको विकाश महिला सुरक्षा  शुद्धिकरण र युवाहरुलाई रोजगारी / उद्यम तर्फ जोड्ने कार्यक्रम मेरो प्राथमिकता हो । निर्वाचनमा निर्वाचित भए जनप्रतिनिधिका रुपमा पारदर्शी, जवाफदेही र सेवा कन्द्रित शैली आपनाउने प्रतिबद्धता व्यक्त गर्दछु । ",
6,मोहम्द ईस्तखार,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,285,पुरुष,26,,मधेश प्रदेश,पर्सा,3,SLC,सामाजिक सेवा,,
7,राज कुमार यादव,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,265,पुरुष,58,,मधेश प्रदेश,पर्सा,3,BBA,नेपाल बैंक लि. को का.स. प्रमुख,,न.रा.मा.वि
8,अजिज मिया धुनिया,स्वतन्त्र,ट्रफी,257,पुरुष,54,,मधेश प्रदेश,पर्सा,3,7 पास,,,
9,नवीन कुमार सिंह,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,233,पुरुष,49,,मधेश प्रदेश,पर्सा,3,सिभिल ईन्जिनियर,,म ईमान्दारीका साथ देशको विकासमा सदैब सहयोग गर्छु । नेपालको संविधानलाई सदैव मान्नेछु ।,
10,नागेन्द्र प्रसाद यादव,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,168,पुरुष,48,,मधेश प्रदेश,पर्सा,3,,,,
11,रामरुप प्रसाद साह,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,162,पुरुष,37,,मधेश प्रदेश,पर्सा,3,"C.A Final, B.com, BBS",Auditor-10 yrs,हाम्रो देशको विकास र सुशासनको अपेक्षा बढी छ र देशको शान्ति र सुरक्षामा बढी ध्यान दिनुपर्छ ।,Delhi ICAI / IGNOU
12,धर्मेन्‍द्र तिवारी,नेपाल जनता पार्टी,कमलको फूल,129,पुरुष,48,,मधेश प्रदेश,पर्सा,3,साक्षर,,,
13,मनोज पडित कुम्हाल,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),चकिया (जाँतो),76,पुरुष,32,,मधेश प्रदेश,पर्सा,3,,,,
14,विश्‍वनाथ महतो,संयुक्त नागरिक पार्टी,गितार,43,पुरुष,48,,मधेश प्रदेश,पर्सा,3,,,,
15,सरोज कुमार साह,नेपाल मजदुर किसान पार्टी,मादल,16,पुरुष,42,,मधेश प्रदेश,पर्सा,3,स्‍नातकोतर (M.ED),राजनितिक,,T.U
16,प्रदिप कुमार साह,स्वतन्त्र,काउली,14,पुरुष,42,,मधेश प्रदेश,पर्सा,3,कक्षा 10,,,श्री मोहवनी मा.वि. पोखरिया न.पा-६
17,राजकिशोर प्रसाद चौहान,स्वतन्त्र,झोला,14,पुरुष,37,,मधेश प्रदेश,पर्सा,3,SKLC,,,
18,बृजेश प्रसाद चौहान,स्वतन्त्र,दूरबिन,10,पुरुष,41,,मधेश प्रदेश,पर्सा,3,+2,,,
19,शहिद अंसारी,स्वतन्त्र,आँप,8,पुरुष,26,,मधेश प्रदेश,पर्सा,3,+2,,,
20,रामबहादुर बरै,स्वतन्त्र,जीप,7,पुरुष,53,,मधेश प्रदेश,पर्सा,3,10,,,श्री उच्च उचाङ्गल मा.वि. पोखरिया पर्सा
21,वृज किशोर प्रसाद चौरसिया,स्वतन्त्र,मसी,7,पुरुष,41,,मधेश प्रदेश,पर्सा,3,10 पास,"सामाजिक सेवा, राजनितिक संगठन ",मैले सामाजिक सेवामा निरन्तर काम गरी आएको छु । आफ्नो गाउँ टोलका व्यक्तिहरुसँग भेटघाट गर्ने दुख सुखमा सहयोग गर्ने आवश्यक परेमा मैले अस्पताल तथानाता गोता आदी ठाउँमा जाने समेत गर्ने गरेको छु । मैले स्वास्थय सम्बन्धित काम गरी आउँदा गरिब निमोखालाई निमुलमा समेत कागरी आएको छ ।,
22,जैनोदीन मिया हवारी,स्वतन्त्र,रिक्सा,6,पुरुष,35,,मधेश प्रदेश,पर्सा,3,साधारण,,,
23,शिवशंकर प्रसाद रौनियार,स्वतन्त्र,क्यामरा,4,पुरुष,28,,मधेश प्रदेश,पर्सा,3,+2,,समाजसेवी,नेशनल एकेडमी
