Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,टेक वहादुर शाक्य,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,28006,पुरुष,50,मधेश प्रदेश,पर्सा,4,प्रविणता प्रमाण पत्र political science ,"विभिन्‍न संघ संस्थामा काम गरेको, समाजिक सेवा, नेपाल प्रहरी अधिकृत पदमा रही काम गरेको र व्यवसायी ",राजनितिक अस्थिरता र वेथिति विरुद्ध र जनताको लागि काम गर्ने ,ठाकुराम बहुमुखी क्याम्पस वीरगन्ज
2,रमेश रिजाल,नेपाली काँग्रेस,रुख,12534,पुरुष,69,मधेश प्रदेश,पर्सा,4,स्नातक ,"नेपाल सरकारको मन्त्री भई देशको सेवा, प्रतिनिधि सभा सदस्य, संविधान निर्माण लगायत देशको प्रजातन्त्र र लोकतन्त्र गणतन्त्रको स्थापनाको लागि संघर्ष र योगदान",,ठाकुराम बहुमुखी क्याम्पस वीरगन्ज
3,जालिम मियाँ मंसुरी,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,12145,पुरुष,78,मधेश प्रदेश,पर्सा,4,साधारण लेखपढ,"सुरु देखि हालसम्म जनताको सेवा, स्थानीय तहमा सामाजिक शैक्षिक मानवीय कार्यमा सक्रिय सहभागी र समाजमा एकता विकासमा योगदान ","स्थायी वासी, समाजिक सेवा, पार्टी निर्माण कार्यमा योगदान, जनताको सेवा, समाज परिवर्तनमा सहयोग ",
4,कृपासिन्धु प्रसाद,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,4758,पुरुष,58,मधेश प्रदेश,पर्सा,4,पिचडी,"सह-प्राध्यापक, पूर्व क्याम्पस प्रमुख, पूर्व सदस्य राष्ट्रिय योजना आयोग ",,गोरखपुर वि वि गोरखपुर यु.पी.
5,जयप्रकाश थारु,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,3113,पुरुष,65,मधेश प्रदेश,पर्सा,4,आइ कम ,ने क पा केन्द्रिय सदसय र संविधान सभा सदस्य २०७० दोस्रो ,संविधान निर्माणमा सक्रिय भूमिका र जनतामा गणतन्त्रको  सुन्दर प्रथाको वकालत ,ठाकुरराम बहुमुखी क्यापस वीरगन्ज
6,सिमा देवी कलवार,जनमत पार्टी,लाउड स्पिकर,282,महिला,55,मधेश प्रदेश,पर्सा,4,१० पास,राजनिती कृषि सेवा विकास ,"मिहेनती, राष्ट्र सेवा गर्न इच्छुक",श्री ने रा मा वि कट्टी बलुवा 
7,विष्‍णु लोपचन,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,251,पुरुष,46,मधेश प्रदेश,पर्सा,4,सात पास ,राजनिती,देशलाई समृद्धि र सुशासन सहित समुन्नत नेपाल बनाउने अभियान सहित राजनितीमा होमिएको हुँ।  ,श्री माध्यमिक विद्यालय 
8,विनोद प्रसाद यादव,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,221,पुरुष,35,मधेश प्रदेश,पर्सा,4,बि फार्म,समाजसेवी,,राजिव गान्थी विश्‍वविद्यालय स्वास्थ्य विज्ञान भारत बेगंलोर
9,अरुण  कुमार  कुशवाहा ,नेपाल जनता पार्टी,कमलको फूल,194,पुरुष,56,मधेश प्रदेश,पर्सा,4,बि ए,"कृषि फार्म सम्बन्धी
सुरक्षा सम्बन्धी",,ठाकुराम बहुमुखी क्याम्पस वीरगन्ज
10,शान्त कुमार जोशी,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,158,पुरुष,59,मधेश प्रदेश,पर्सा,4,IAK CTC,समाजसेवी,,रक्सौल पश्चिम चम्पारण
