Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,गणेश धिमाल,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,39998,पुरुष,43,मधेश प्रदेश,बारा,1,स्नातकोत्तर,कानून व्यवसायी र परामर्श दाता,,त्रिभुवन विश्व विद्यालय
2,शम्भु बहादुर बुढाथोकी,नेपाली काँग्रेस,रुख,14223,पुरुष,52,मधेश प्रदेश,बारा,1,टेष्ट पास,निजगढ नगर उद्योगमा अध्यक्ष पद सफलता पुर्वक निर्वाह गरेको तथा राजनितिक ,,श्री गौरीशंकर मा.वि.निजगढ 
3,अच्युत प्रसाद मैनाली,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,11645,पुरुष,60,मधेश प्रदेश,बारा,1,स्नातकोत्तर,निवर्तमान सदस्य प्रतिनिधि सभा र जन सम्पर्क सल्लाहकार- पूर्व प्रधानमन्त्री,,त्रिभुवन विश्व विद्यालय 
4,सन्तोष दंगाल,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,2878,पुरुष,40,मधेश प्रदेश,बारा,1,+२/ बि बि यस रनिङ ,"बैदेशिक रोजगार,सहकारी संस्था तथा विद्यालय व्यवस्थापन समितिको रुपमा कार्य गरेको ",,श्री गौरीशंकर मा.वि.निजगढ 
5,रामवावु प्रसाद यादव,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,2530,पुरुष,52,मधेश प्रदेश,बारा,1,स्नातक ,कानून व्यवसायी तीस बर्ष र कृषक ,,त्रिभुवन विश्व विद्यालय 
6,जय किशोर पाण्डेय,स्वतन्त्र,चेसगोटी,941,पुरुष,39,मधेश प्रदेश,बारा,1,+२,,,जन्ता मा.वि.सोनर्निया रौतहट
7,लक्ष्मी प्रसाद सा कलवार,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,749,पुरुष,61,मधेश प्रदेश,बारा,1,दश पास ,व्यपार व्यवसाय तथा सामाजसेवी ,,श्री बुद्धगाई मा.वि.बारा 
8,अनवर अंसारी,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,677,पुरुष,54,मधेश प्रदेश,बारा,1,एस.एल.सि.,,,श्री कंकाली मा.बि.सिम्रौनगढ बारा 
9,कमरुल्लाह अंसारी,जनमत पार्टी,लाउड स्पिकर,645,पुरुष,47,मधेश प्रदेश,बारा,1,स्नातक ,राजनैतिक अनुभव र सामाजिक अभियान्ता ,,BAU
10,भुलावन कुमार पासवान,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,306,पुरुष,35,मधेश प्रदेश,बारा,1,एस एल सि,सामाजिक सामावेशी सहयोग तथा सेवा ,,श्री रामचरित्र मा.बि.चियुटाहा बारा 
11,भूवन प्रसाद चौधरी,"नागरिक उन्मुक्ति पार्टी, नेपाल(एकल चुनाव चिन्ह)",चकिया (जाँतो),270,पुरुष,57,मधेश प्रदेश,बारा,1,एस एल सि ,खेती कृषक ,श्री अनुप दिपनी मा.वि.कोल्हवी बारामा सहायक शिक्षक पेशाबाट अवकाश प्राप्त ,श्री अनुप दिपनी मा.वि.कोल्हवी 
12,बिजय यादव,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,213,पुरुष,36,मधेश प्रदेश,बारा,1,स्नातक ,सोकिय सचिव ,,श्री त्रिभुवन विश्व विद्यालय 
13,सुक दोर्जे गोले,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,99,पुरुष,38,मधेश प्रदेश,बारा,1,साधारण लेखपढ ,कृषक तथा सामाज सेवी ,,श्री शक्तिश्वर प्रा.वि.डम्बरपुर बारा 
14,लक्ष्मी नारायण प्रसाद साह,स्वतन्त्र,फर्सी,34,पुरुष,51,मधेश प्रदेश,बारा,1,साधारण लेखपढ,,,श्री जनता मा.वि.कचोर्वा बारा 
15,बिदुर खरेल,स्वतन्त्र,पंखा,16,पुरुष,49,मधेश प्रदेश,बारा,1,+2,टोल विकास संस्थाको अध्यक्ष भई काम गरेको ,,श्री जनज्योती उच्च मा.बि.चन्द्रनिगाहपुर 
16,रबिना देवी चौधरी,स्वतन्त्र,बेलना र चक्ला,16,महिला,41,मधेश प्रदेश,बारा,1,साधरण लेखपढ ,,,श्री सिहासनी प्रा.वि. बारा 
17,हमिद मंसुरी,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,14,पुरुष,52,मधेश प्रदेश,बारा,1,एस.एल.सि.,,,श्री रामचरित्र मा.वि.चिउटाहा बारा 
18,प्रेम कुमारी थापा खडका,स्वतन्त्र,जीप,13,महिला,50,मधेश प्रदेश,बारा,1,साधारण लेखपढ,सहकारी तथा संघ सस्थामा अनुभव प्राप्त ,,
19,सीमा कुमारी तिमिल्सेना,स्वतन्त्र,आँप,10,महिला,45,मधेश प्रदेश,बारा,1,साधारण लेखपढ ,कृषी सम्बन्धी ,,
20,रोशन कुमार उप्रेती,स्वतन्त्र,क्यामरा,8,पुरुष,47,मधेश प्रदेश,बारा,1,एस.एल.सि. ,लायन्स क्लबमा काम गरेको ,,मा.वि. सिन्धुली 
