Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,चन्दन कुमार सिंह,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,35590,पुरुष,42,Elected,मधेश प्रदेश,बारा,2,+2,"राजनीतिक
शिक्षा",,
2,रामकिशोर प्रसाद यादव,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,14196,पुरुष,56,,मधेश प्रदेश,बारा,2,Bsc Physics ,कृषक तथा पोखरी मतस्य पालन कार्य,म राजकिशोर प्र. यादवले सामाजिक सेवाको साथै राजनीतिक गर्दै आइरहेको छु। म व्यवसायिक रुपमा माछा पालन कार्य तथा कृषि पेशामा आवद्ध रहेको छु।,Bihar University
3,भैयाराम प्रसाद यादव,नेपाली काँग्रेस,रुख,11837,पुरुष,52,,मधेश प्रदेश,बारा,2,स्नातक,"क) राजनैतिक
ख) सामजिक सेवा तथा संस्थागत क्षमता विकाश",,त्रिभुवन विश्वविद्यालय
4,बलबिर प्रसाद चौधरी,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,7213,पुरुष,65,,मधेश प्रदेश,बारा,2,प्रविणता प्रमाण पत्र,"क) ५ वर्ष जिल्ला विकास समिति बाराको (२०५४ को निर्वाचित) उपसभापती
ख) २०३६ साल देखि कम्यूनिष्ट राजनीतिकमा निरन्तर लागेको
ग) नेकपा (एमाले) को जिल्लाको नेतृत्व पटक पटक निर्वाह गर्दै केन्द्रिय सदस्यमा  ३ पटक प्राप गरेको
घ) २०७० सालको संविधान सभामा निर्वाचिता भई २०७२ मा संविधान घोषणामा सहभागी","राष्ट्र निर्माण गर्न सबै नागरिकको कर्तव्य हो। समाजमा शान्ति रहे विकास हुन्छ, विकास भए देश सम्पन्न हुन्छ, हामी एक भए राष्ट्रियता जोग्छ, एउटा विचार सर्वोपरी हुदैन, वहु विचारले बनेको यो समाजलाई जनताको अभिमत द्वारा सुन्दर देश बनाउन सक्छौ। सच्चा देशभक्ता कसैको कठपुतली बन्देैन। देश रहे हामी रहन्छौ। हामी रहे लोकतन्त्र रहन्छ।लोकतन्त्र रहे हाम्रो सुनदर विचार दुनियाले हेर्न पाउँछ। त्यसकारण हामी सबै नेपाली देश प्रति उत्तरदायित्व बनौं।","श्री ठाकुराम बहुमुखी क्याम्पस बीरगंज, पर्सा"
5,शिवचन्द्र प्रसाद कुशवाहा,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,1396,पुरुष,59,,मधेश प्रदेश,बारा,2,SLC,विधार्थी काल देखि निरन्तर सक्रिय राजनीतिमा,2064 सालमा संवधिान सभामा प्रत्यक्ष निर्वाचित बारा २ बाट,श्री भोला उच्च मा.वि. गंजभवानीपुर
6,रमेश  प्रसाद यादव,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,910,पुरुष,59,,मधेश प्रदेश,बारा,2,Intermediate (I.A.),"क) 2074 सालमा रा.स. सदस्य निर्वाचित,
ख) तत्कालीन ने.स.पा. को महासचिव भई हाल नेपाली कम्यूनिष्ट पार्टीमा पार्टीको केन्द्रिय सदस्य",,L.M.D. College Motihari
7,राजेश साह,जनमत पार्टी,लाउड स्पिकर,668,पुरुष,39,,मधेश प्रदेश,बारा,2,Chartered Accountant (M.Com),"क) CA बनेको १० सालको अनुभव,
ख) NIC ASIA Bank Mangar,
ग) Accounted, Finance manager of Varun Beverage pvt. ltd.
घ) Business Review cell head in Chaudhary Group Nepal
ङ) Commercial head in AMBE STEEL",,"ICAI, TU"
8,लालबाबु प्रसाद साह तेली,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,206,पुरुष,56,,मधेश प्रदेश,बारा,2,SLC,"क) खेती
ख) व्यवसाय
ग) राजनैतिक",,श्री ने.रा.मा.वि. पिप्राढी
9,मेघराज पासवान,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,184,पुरुष,33,,मधेश प्रदेश,बारा,2,"SLC Board of Nepal, +2 HSEB",सामाजिक अभियन्ताको रुपमा हालसम्म,,श्री ने.रा.मा.वि. पिपरपाती
10,आत्‍माराम प्रसाद साह,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,157,पुरुष,65,,मधेश प्रदेश,बारा,2,बी.ई. (मेकानिकल),"क) ज्योति स्पिनिङ मिल्स लि. GM, 
ख) वृन्दावन डेरी प्रा.लि. संचालक",,"VNIT, Nagpur India"
