Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,प्रमोद कुमार महतो,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,34636,पुरुष,40,मधेश प्रदेश,महोत्तरी,1,SLC,"व्यापार, राजनीती, कृषि समेत",,श्र‍ी मा.वि. गौशाला
2,गिरिराज  मणी  पोखरेल,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,12624,पुरुष,68,मधेश प्रदेश,महोत्तरी,1,स्नातकोत्तर तह व्यवस्थान र कानूनमा स्नातक,2064 र 2070 साल संविधान सभा सदस्य समेत,   ,त्रिभुवन विश्वविद्यालय
3,लक्ष्मी महताे काेइरी,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,6591,पुरुष,61,मधेश प्रदेश,महोत्तरी,1,SLC,2079 सालमा नेकपा ऐमालेबाट प्रतिनिधि सभा सदस्य निर्वाचित,   ,श्री मा.वि. नगौल
4,मुकेश राज काफ्ले,नेपाली काँग्रेस,रुख,6213,पुरुष,51,मधेश प्रदेश,महोत्तरी,1,विद्यावारिधी,इन्जिनियरिङ्ग पेशा र अध्यापन,,त्रिभुवन विश्‍वविद्यालय
5,लिला दियाली,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,867,महिला,45,मधेश प्रदेश,महोत्तरी,1,स्‍नातकोत्तर,महिला अधिकार मानवअधिकार क्षेत्रमा ५ वर्ष सम्म काम गरेको अनुभव समेत,"मनोपरामर्थदाताको रुममा काम गरेको,
आठौ सार्क गेम नेपालबाट सहभागी भएको समेत",रा.रा.ब. क्याम्पस गोलबजार सिराहा
6,विरेन्द्र महतो,जनमत पार्टी,लाउड स्पिकर,560,पुरुष,27,मधेश प्रदेश,महोत्तरी,1,+2 पास,राजनितीमा 10 वर्षको अनुभव,जनताको प्रत्यक्ष लाभ हुने गरी विकास निर्माणको कार्यमा समेत भुमिका निर्वाह गर्ने समेत,NEB
7,होम प्रसाद पोखरेल,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,475,पुरुष,45,मधेश प्रदेश,महोत्तरी,1,+2 पास,समाजिक सेवा,,श्री नवक्षितिज स्कुल
8,योग नारायण महतो,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,319,पुरुष,45,मधेश प्रदेश,महोत्तरी,1,स्‍नातक,जसपा नेपालमा 10 वर्ष देखि युवाको रुपमा सक्रिय सहभागिता,लोकतान्त्रिक संघीय गणतन्त्रको लागि प्रतिबद्ध र समर्पित,मगध युनभरसिटी पटना विहार
9,सुनैना देवी कोइरी,स्वतन्त्र,व्याडमिन्टन कर्क,190,महिला,40,मधेश प्रदेश,महोत्तरी,1,n,,,
10,शिव नारायण महतो,स्वतन्त्र,ट्रफी,185,पुरुष,26,मधेश प्रदेश,महोत्तरी,1,SLC,समाजिक अभियन्ता,,neb
11,मनोज कुमार गुप्ता,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,176,पुरुष,28,मधेश प्रदेश,महोत्तरी,1,+2 पास,,,NEB
12,रमेश कुमार सिंह दनुवार,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,94,पुरुष,70,मधेश प्रदेश,महोत्तरी,1,सााधारण लेखपेढ,मेघनाथ गोरहन्ना खानेपानी समितीको अध्यक्ष 2062 सालमा समेत,"म विजयी भएमा यस क्षेत्रको कृषि, स्वास्थ्य, बाटो घाटो, बेरोजगारी समस्याको लागि दिन न रात भनी काम गरेर जनतालाई भरोसा दिन चाहन्छु ",
13,मणिराज निरौला,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,54,पुरुष,52,मधेश प्रदेश,महोत्तरी,1,slc pass,,"देश विकासमा टेवा पुग्ने कार्यमा सँधै अग्रसर रहने, कानून भित्र रही नागरिकहरुको भावनाको कदर गर्ने",श्री जनता मा.वि. डाँडाटोल विजलपुरा
14,प्रेम बहादुर राना मगर,स्वतन्त्र,भँगेरा,47,पुरुष,81,मधेश प्रदेश,महोत्तरी,1,  साधारण लेखपढ,,,   
