Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,दिपक कुमार साह,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,32722,पुरुष,34,मधेश प्रदेश,महोत्तरी,2,मास्टर्स,"विश्‍व स्वास्थ्य संगठन, फ.एच. आई.360",,institute of medicine (london school of Hygiene and tropical medicine)
2,शरत सिंह भण्डारी,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,10198,पुरुष,71,मधेश प्रदेश,महोत्तरी,2,स्नातक,नेपाल सरकारको विभिन्‍न मन्त्रालयको मन्त्री भै कार्यभार सम्हाली कार्य गरेको अनुभव,"म यस क्षेत्रबाट निर्वाचित भएमा मैले यस क्षेत्रको विकास निर्माण, आर्थिक समवृद्धी ल्याउने दिशामा काम गर्दै जनताको जीवन स्तरमा आमुल परिवर्तन ल्याउने कार्यमा लाग्ने छु।","त्रिभुवन विश्‍व विद्यालय, नेपाल"
3,किरण यादव,नेपाली काँग्रेस,रुख,9745,महिला,58,मधेश प्रदेश,महोत्तरी,2,वि.ए.(स्नातक),"संविधान सभा सदस्य (2065-070)
प्रतिनिधि सभा सदस्य (2070-074)",म किरण यादव 2065-070/2070-074 मा संविधान सभा सदस्य भई जनप्रतिनिधिको रुपमा आफ्नो क्षेत्र तथा राष्ट्र विकासमा अहम योगदान पुर्‍याएको।,त्रिभुवन विश्‍व विद्यालयःपदम कन्या क्यामपस
4,कासिम नदाफ,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,3524,पुरुष,58,मधेश प्रदेश,महोत्तरी,2,,,,
5,लक्ष्मण कुमार यादव,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,737,पुरुष,44,मधेश प्रदेश,महोत्तरी,2,स्नातकोत्तरोपाधि,"सिभिल ईन्जियरिङ्ग सम्बन्धी निर्माण कार्यहरुमा पुलको लोड टेष्ट, पाइल लोड टेष्ट सम्बन्धी समाजशास्त्र कार्यालय सम्बन्धिी निर्माण कार्य तथा सिभिल लैव परिक्षण सम्बन्धी समेत।",2065 सालको एतिहासिक जनआन्दोलनमा घाइते भएको थिए।अब म प्रितनिधि सभा सदस्य भई क्षेत्र नं.2 को साथै देशको विकासमा हुने आफ्नो योग्यता प्रयोग गर्न चाहन्छु।,त्रिभुवन विश्‍व विद्यालय
6,जय कुमार पाण्डेय,जनमत पार्टी,लाउड स्पिकर,463,पुरुष,31,मधेश प्रदेश,महोत्तरी,2,10+2,गै.स.स. मा पाँच वर्ष फिल्ड मोविलाइजरको रुपमा कार्य र प्राईभेट बोर्डिङ स्कुल शिक्षक,,राजर्शी जनक क्यामपस जनकपुर-4
7,सकिन्‍दर महरा,स्वतन्त्र,चेसगोटी,331,पुरुष,35,मधेश प्रदेश,महोत्तरी,2,+2,,,
8,तुफान नट,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,246,पुरुष,48,मधेश प्रदेश,महोत्तरी,2,8 कक्षा ,,,
9,राकेश मण्डल,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,222,पुरुष,42,मधेश प्रदेश,महोत्तरी,2,स्नातकोत्तर,स्वास्थ्य सेवामा 10 वर्ष,,Lioining Medical Univercity China
10,राज नारायण झा,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,174,पुरुष,37,मधेश प्रदेश,महोत्तरी,2,MBBS,"BHRC Hospital malagwa, sarlahi",,थाइसेन मेडिकल युनुभर्सिटी चाइना
11,रामलखन साह कानु,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,157,पुरुष,58,मधेश प्रदेश,महोत्तरी,2,सधारण,,,श्री लक्ष्मी प्रा. विद्यालय हतिसर्वा
12,आलम कवारि,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,105,पुरुष,39,मधेश प्रदेश,महोत्तरी,2,SLC,,,
13,रमण कुमार कर्ण,जनादेश पार्टी नेपाल(एकल चुनाव चिन्ह),मोबाइल,99,पुरुष,50,मधेश प्रदेश,महोत्तरी,2,BALLB,कानून व्यवसायी अधिवक्ता,,TU
14,राजेश प्रसाद साह,स्वतन्त्र,व्याडमिन्टन कर्क,75,पुरुष,43,मधेश प्रदेश,महोत्तरी,2,8 कक्षा पास,,,
15,इदरिस मोमिन,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,32,पुरुष,58,मधेश प्रदेश,महोत्तरी,2,,"खेतिहर मज्दुर, समाज सौवी",खेतीपाती गरी सम्पूर्ण जहान परिवारका जिवन जिविका चल्ने गरी गरिरहेका हौ।देश र जनताको सेवामा सधै समर्पित।,
16,धनजय कुमार हाथी,स्वतन्त्र,जीप,31,पुरुष,33,मधेश प्रदेश,महोत्तरी,2,MBBS,वैंकिङ्ग क्षेत्रमा तथा समाज सेवा,,TU
17,बसन्त कुमार यादव,स्वतन्त्र,सोफा,31,पुरुष,36,मधेश प्रदेश,महोत्तरी,2,SLC,,,श्री योग कुमार मा.वि. बलवा
18,दुलरी देवी थारु,स्वतन्त्र,मुढा,30,महिला,63,मधेश प्रदेश,महोत्तरी,2,साधारण लेखपढ,,,
19,भरत यादव,स्वतन्त्र,केबल कार,25,पुरुष,36,मधेश प्रदेश,महोत्तरी,2,SLC,,,
20,इन्‍द्रेश सहनी मलाह,स्वतन्त्र,सिरिन्ज,22,पुरुष,31,मधेश प्रदेश,महोत्तरी,2,SLC,,,
21,श्री राम सिंह दनुवार,स्वतन्त्र,दूरबिन,22,पुरुष,41,मधेश प्रदेश,महोत्तरी,2,SLC ,,,
22,जय किशोर साह,स्वतन्त्र,क्यामरा,19,पुरुष,70,मधेश प्रदेश,महोत्तरी,2,S.L.C.,स्थानिय क्षेत्रमा राजनितिक शिक्षाको अनुभव,आफ्नो क्षेत्रबाट निर्वाचित भएमा कृषिको माध्यमबट देशलाई समवृद्धि ल्याई किसानको अनुहारमा उज्यालो ल्याउने,नेपाल सरकार
23,राजी मण्डल,नेपाल मजदुर किसान पार्टी,मादल,18,पुरुष,63,मधेश प्रदेश,महोत्तरी,2,,,,
24,राज गुरु यादव,स्वतन्त्र,नेलकटर,16,पुरुष,26,मधेश प्रदेश,महोत्तरी,2,SLC,,,
25,विके आजाद दास,स्वतन्त्र,मसी,16,पुरुष,46,मधेश प्रदेश,महोत्तरी,2,SLC,10 बर्ष देखि राजनिति गरेको,,
26,कमल गुरुङ,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,14,पुरुष,47,मधेश प्रदेश,महोत्तरी,2,+2,,,
