Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,गौरी कुमारी,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,30132,महिला,54,Elected,मधेश प्रदेश,महोत्तरी,4,I.Sc.,,,
2,सुरेन्‍द्र कुमार यादव,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,8742,पुरुष,54,,मधेश प्रदेश,महोत्तरी,4,M.D. Medicine,"मेडिकल अधिकृत वीर अस्पताल मयवौध काठमाडौं, मेडिकल अधिकृत मधेश विज्ञान प्रतिष्ठान जनकपुर, मेडिकल अधिकृत जानकी मेडिकल कलेज रमदैया धनुषा",,state medical academy kirgystan
3,महेन्‍द्र कुमार राय,नेपाली काँग्रेस,रुख,6944,पुरुष,66,,मधेश प्रदेश,महोत्तरी,4,स्‍नातक,"पूर्व राज्य मन्त्री
निवर्तमान साँसद",,त्रिभुवन विश्वविद्यालय
4,निलम अधिकारी,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,6192,महिला,43,,मधेश प्रदेश,महोत्तरी,4,10+2,संविधान सभा सदस्यमा निर्वाचनमा सहभागि भएको,,
5,भरत प्रसाद शाह,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,5336,पुरुष,53,,मधेश प्रदेश,महोत्तरी,4,,"गा.वि.स. अध्यक्ष २०५४ सालमा
अंतरिम संसद २०६३ सालमा
संविधान सदस्य २०६४ सालमा
प्रदेश सभा सदस्य २ पटक",,
6,मनोज कुमार साह,जनमत पार्टी,लाउड स्पिकर,806,पुरुष,50,,मधेश प्रदेश,महोत्तरी,4,आइ एसी,,"२०७९ मा रा.प. सदस्यमा लडेको
समाजसेवा",RRMY मधुरी यादव कौलेज सीतामढी बिहार
7,विनोद कुमार मंडल,स्वतन्त्र,चेसगोटी,469,पुरुष,27,,मधेश प्रदेश,महोत्तरी,4,स्‍नातक,,,
8,अमित कुमार सिंह,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,172,पुरुष,36,,मधेश प्रदेश,महोत्तरी,4,स्‍नातक,स्वास्थ्य सेवामा ५ वर्ष,,TU
9,सुनिल कुमार सिंह,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,119,पुरुष,56,,मधेश प्रदेश,महोत्तरी,4,१२ पास,१० वर्ष राजनितिक,,बिहार
10,विजय कुमार साह,स्वतन्त्र,ट्रफी,110,पुरुष,41,,मधेश प्रदेश,महोत्तरी,4,स्‍नातक,समाजिक सेवा गरेको,,
11,रासबिहारी मण्‍डल,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,108,पुरुष,57,,मधेश प्रदेश,महोत्तरी,4,10,समाज सेवा,,श्री योग कुमार मा.वि. बलवा महोत्तरी
12,सिलम देवी यादव,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,94,महिला,38,,मधेश प्रदेश,महोत्तरी,4,SEE,समाजसेवा,,टिमकिया स्कुल
13,संजय यादव,स्वतन्त्र,जीप,45,पुरुष,38,,मधेश प्रदेश,महोत्तरी,4,,समाजिक सेवा गरेको,,
14,बिकाउ साह,स्वतन्त्र,मुढा,42,पुरुष,51,,मधेश प्रदेश,महोत्तरी,4,एस एल सी,,,
15,राजन पासवान,स्वतन्त्र,हेडफोन,23,पुरुष,30,,मधेश प्रदेश,महोत्तरी,4,+2 डिप्लोमा सिभिल,"शिक्षक २ वर्ष
साइट सुभरभाइजर ५ वर्ष",,CTEVT
16,राम विनोद यादव,स्वतन्त्र,दूरबिन,20,पुरुष,48,,मधेश प्रदेश,महोत्तरी,4,SLC,,,
17,राज नारायण यादब,स्वतन्त्र,त्रिभुज,17,पुरुष,62,,मधेश प्रदेश,महोत्तरी,4,‌‌+2 Science,"कृषक, समाजिक अभियन्ता समाजिक परिचालक, समाज सेवी इत्यादी",,मधेपुरा कलेज मधेपुरा
18,अजय कुमार यादव,स्वतन्त्र,कङ्‌गारु,15,पुरुष,37,,मधेश प्रदेश,महोत्तरी,4,S.L.C.,"समाजसेवी, स्थानीय स्तरमा समाजिक कार्यमा संलग्न",,श्री सोनफी दशै मा.वि. श्रीपुर
19,गणेश ठाकुर लोहार,स्वतन्त्र,मसी,15,पुरुष,52,,मधेश प्रदेश,महोत्तरी,4,SLC,समाजसेवी,,
20,इन्‍द्र जीत दास,स्वतन्त्र,सिरिन्ज,14,पुरुष,42,,मधेश प्रदेश,महोत्तरी,4,साक्षर,,,
21,कमलेश कुमार भण्डारी,राष्ट्रिय जनता पार्टी नेपाल,दायाँ हातले समातेको मसाल,13,पुरुष,31,,मधेश प्रदेश,महोत्तरी,4,स्‍नातक,समाजिक संघ संस्थामा कार्य गरेको,,"श्री स.ज.मा.वि. सोनमा-२, +2 mit jnk, bachler rajarshi janak campus"
22,दिपेन्‍द्र कुमार यादव,स्वतन्त्र,रिक्सा,13,पुरुष,50,,मधेश प्रदेश,महोत्तरी,4,10+2,,,बिहार इन्टरमेडिएट काउन्सिल पटना
23,रमिना खातुन,स्वतन्त्र,झोला,13,महिला,38,,मधेश प्रदेश,महोत्तरी,4,साक्षर,,,प्राथमिक विद्यालय
24,सुकेश कुमार यादव,स्वतन्त्र,पेट्रोल पम्प,10,पुरुष,26,,मधेश प्रदेश,महोत्तरी,4,10‌‌+2,,,
25,सुमित्रा कुमारी,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,9,महिला,43,,मधेश प्रदेश,महोत्तरी,4,साधारण,सामुदायिक वन सचिवको रुपमा ५ वर्ष काम गरेको,,
26,गंगा प्रसाद यादब,स्वतन्त्र,हेल्मेट,8,पुरुष,27,,मधेश प्रदेश,महोत्तरी,4,10+2,,,
27,रिजबाना खातुन,स्वतन्त्र,क्यामरा,8,महिला,30,,मधेश प्रदेश,महोत्तरी,4,साक्षर,,,
28,सत्‍यनारायण महरा,स्वतन्त्र,स्टाप्लर,8,पुरुष,58,,मधेश प्रदेश,महोत्तरी,4,साक्षर,,,
29,राजेन्‍द्र मण्‍डल खतबे,स्वतन्त्र,आँप,7,पुरुष,55,,मधेश प्रदेश,महोत्तरी,4,SLC,,,श्री सोन्फी दशे मा वि श्रीपुर
30,सिंहेश्वर खत्बे,स्वतन्त्र,बाकस,7,पुरुष,68,,मधेश प्रदेश,महोत्तरी,4,,,,
31,महिन्दर पासमान,स्वतन्त्र,नरिवल,6,पुरुष,51,,मधेश प्रदेश,महोत्तरी,4,निरक्षर,,,
32,शान्ति देवी,स्वतन्त्र,तिलहरी,6,महिला,37,,मधेश प्रदेश,महोत्तरी,4,कक्षा ७ उतिर्ण,कृषि समाजसेवा,,श्री चुल्हाइ प्रा वि सरपल्लो
33,हरदेब महरा चमार,स्वतन्त्र,पंखा,6,पुरुष,61,,मधेश प्रदेश,महोत्तरी,4,,,,
34,शिव शंकर कुमार  शर्मा,"जनता लोकतान्त्रिक पार्टी, नेपाल",भैँसी,5,पुरुष,26,,मधेश प्रदेश,महोत्तरी,4,10+2,,,
35,मनोज कुमार यादव,स्वतन्त्र,क्याप,5,पुरुष,41,,मधेश प्रदेश,महोत्तरी,4,आधारभुत तह,"निरन्तर समाज सेवा, समाजिक कार्यमा, सरसफाइ इत्यादी",,श्री योग कुमार मा.वि. बलवा सरपल्लो
36,हरिश्चन्द्र ठाकुर,स्वतन्त्र,भँगेरा,4,पुरुष,54,,मधेश प्रदेश,महोत्तरी,4,S.L.C.,"गा.वि.स. अध्यक्ष
गा.वि.स. वडा अध्यक्ष",,योग कुमार माध्यमिक वि.बलवा
