Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,राजेश कुमार चौधरी,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,28946,पुरुष,54,Elected,मधेश प्रदेश,रौतहट,1,इन्टरमेडियट,"राजनीतिमा 10 बर्ष देखि कार्यरत रहेको
कृषि सम्बन्धी अनुभव भएको",,बिहार बोर्ड भारत
2,अजय कुमार गुप्‍ता,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,10693,पुरुष,51,,मधेश प्रदेश,रौतहट,1,एस.एल.सी ,,,श्री जुद्ध मा.बि. गौर
3,अनिल कुमार झा,नेपाली काँग्रेस,रुख,8574,पुरुष,58,,मधेश प्रदेश,रौतहट,1,स्‍नातक अध्ययन,"पूर्व मन्धी नेपाल सरकार
प्रतिनिधि सभा सदस्य 2074-2079
संबिधान सभा सदस्य 2065-2069
",,
4,माधव कुमार नेपाल,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,7669,पुरुष,72,,मधेश प्रदेश,रौतहट,1,स्‍नातक तह,"पटक पटक प्रतिनिधि सभा सदस्य निर्वाचित, पूर्व प्रधानमन्त्री, राष्ट्रिय सभा सदस्य, ",,ठाकुरराम बहुमुखी क्यामपस बिरगंज
5,योगेन्द्र राय यादव,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,6846,पुरुष,48,,मधेश प्रदेश,रौतहट,1,स्‍नातक,प्रदेश सभा निर्वाचन २०७४ का रौतहट क्षेत्र नं.1 ख बाट बिजयी,बिद्यार्थी राजनितिक देखि शुभारम्भ गरेको यात्रा शुरु गरेको काल देखि नै विभिन्न खालका सामाजिक न्याय संघियता र समावेशिताका लागि कयौ पटक यातना सहदै मधेश र देशको पक्षमा बिना बिचलित संघर्ष जारी रहेको छ।,TU
6,देवेन्द्र मिश्र,जनमत पार्टी,लाउड स्पिकर,881,पुरुष,69,,मधेश प्रदेश,रौतहट,1,एम.ए. राजनितिक सास्त्र बि.एड,,,TU
7,त्रिभुवन साह,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,751,पुरुष,50,,मधेश प्रदेश,रौतहट,1,स्‍नातक,समाज सेवा,,TU
8,सुनिल प्रसाद कुसवाह,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,343,पुरुष,38,,मधेश प्रदेश,रौतहट,1,स्‍नातक तह,राजनितिक,,TU
9,संजय कुमार यादव,जन अधिकार पार्टी,डुङ्‌गा,341,पुरुष,36,,मधेश प्रदेश,रौतहट,1,स्‍नातक तह,,,TU
10,राम किशोर ठाकुर,स्वतन्त्र,चेसगोटी,229,पुरुष,44,,मधेश प्रदेश,रौतहट,1,,,,
11,श्री मदन शाह,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,155,पुरुष,54,,मधेश प्रदेश,रौतहट,1,बि.ए.,,,
12,राजाराम मुखिया,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,91,पुरुष,55,,मधेश प्रदेश,रौतहट,1,साक्षर,रजनितिक,,
13,प्रभा कुमारी सिंह,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,73,महिला,50,,मधेश प्रदेश,रौतहट,1,B.ED,सोशल वर्कर,,TU
14,जाजुल देवान,नेपाल संघीय समाजवादी पार्टी(एकल चुनाव चिन्ह),बस,62,पुरुष,46,,मधेश प्रदेश,रौतहट,1,साक्षर,,,
15,श्याम वावु प्रसाद,स्वतन्त्र,ट्रफी,62,पुरुष,34,,मधेश प्रदेश,रौतहट,1,SLC,,,
16,मो तनवीर अखतर मिकरानी,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),चकिया (जाँतो),60,पुरुष,37,,मधेश प्रदेश,रौतहट,1,८ पास,,,मित्रा मेमोरियल सेकेन्डरी स्कूल गौर
17,उमेश कुमार शाह,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,58,पुरुष,33,,मधेश प्रदेश,रौतहट,1,स्‍नातक तह,,,TU
18,र‌ंजित  कुमार  पटेल,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,29,पुरुष,32,,मधेश प्रदेश,रौतहट,1,स्‍नातक तह,10 बर्ष शिक्षण पेशाको,,TU
19,बैद्यनाथ प्रसाद चौधरी,नेपाल मजदुर किसान पार्टी,मादल,22,पुरुष,51,,मधेश प्रदेश,रौतहट,1,एस.एल.सी,,,
20,संजय कुमार यादव,नेपाली जनता दल,सिट्ठी,22,पुरुष,37,,मधेश प्रदेश,रौतहट,1,SLC,,,
21,सरोज कुमार कुशवाहा,स्वतन्त्र,मुढा,21,पुरुष,41,,मधेश प्रदेश,रौतहट,1,स्‍नातक ताह,,,TU
22,संजीव कुमार यादव,स्वतन्त्र,हटकेस,17,पुरुष,39,,मधेश प्रदेश,रौतहट,1,स्‍नातक,,,रौतहट मध्य बहुमुखी क्यामस गरुडा
23,रामकृत साह,स्वतन्त्र,सिरिन्ज,15,पुरुष,49,,मधेश प्रदेश,रौतहट,1,स्‍नातक,समाजसेवा,,TU
24,अभिषेक मिश्र,स्वतन्त्र,सारङ्‌गी,12,पुरुष,31,,मधेश प्रदेश,रौतहट,1,स्‍नातक तह,,,TU
25,अमृता कुमारी यादव,स्वतन्त्र,सोफा,12,महिला,30,,मधेश प्रदेश,रौतहट,1,साक्षर,,,
26,लक्ष्‍मेश्‍वर नारायण साह,स्वतन्त्र,रिक्सा,10,पुरुष,48,,मधेश प्रदेश,रौतहट,1,डिल्लोमा इन्जनियरिङ्ग,,,CTEVT
27,दिनेश राय,स्वतन्त्र,क्यामरा,9,पुरुष,55,,मधेश प्रदेश,रौतहट,1,SLC,समाज सेव,,
28,राजु कुमार मुखिया,स्वतन्त्र,पंखा,8,पुरुष,33,,मधेश प्रदेश,रौतहट,1,+2,कम्प्यूटर टेक्निसियन,,Hseb
29,मृणाल कुमार शाह,स्वतन्त्र,आँप,7,पुरुष,39,,मधेश प्रदेश,रौतहट,1,+2,समाज सेवा,,बिरगंज कम्रेस क्यामपस
30,राम सेवक राय,स्वतन्त्र,त्रिभुज,7,पुरुष,55,,मधेश प्रदेश,रौतहट,1,,,,
31,बिबेक चौधरी,स्वतन्त्र,ह्विल चेयर,5,पुरुष,26,,मधेश प्रदेश,रौतहट,1,स्‍नातक,,,TU
32,राधेश्याम साह तेली,स्वतन्त्र,जीप,5,पुरुष,38,,मधेश प्रदेश,रौतहट,1,+2,समाजसेवी,,hseb
33,रामानन्द शर्मा,स्वतन्त्र,नरिवल,5,पुरुष,41,,मधेश प्रदेश,रौतहट,1,सामान्य लेखपढ,सामाजिक तथा राजनितिक सेवा सम्बन्धी,,
34,राम नरेश राय  यादव,स्वतन्त्र,हारमोनियम,4,पुरुष,46,,मधेश प्रदेश,रौतहट,1,SLC,,,
35,ईन्‍दु देवी गुप्‍ता,स्वतन्त्र,भँगेरा,3,महिला,55,,मधेश प्रदेश,रौतहट,1,एस.एल.सी,,,भारत बिहार
36,शम्भु प्रसाद,स्वतन्त्र,आरी,3,पुरुष,49,,मधेश प्रदेश,रौतहट,1,SLC,समाजसेवा,,
37,दिनेश कुमार यादव,स्वतन्त्र,स्टुल,1,पुरुष,41,,मधेश प्रदेश,रौतहट,1,इन्टरमिडिएट,,,बिहार इन्टरमिडिएट शिक्षा परिषद
38,मुनिन्द्र कुमार ठाकुर,स्वतन्त्र,कैंची,1,पुरुष,53,,मधेश प्रदेश,रौतहट,1,स्‍नातक तह,,,ठाकुरराम बहुमुखी क्यामपस बिरगंज पर्सा
39,रवि अर्चनम् वर्मा,स्वतन्त्र,दूरबिन,1,पुरुष,44,,मधेश प्रदेश,रौतहट,1,सामान्य लेखपढ,,,
