Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,मो. फिरदोश आलम,नेपाली काँग्रेस,रुख,29528,पुरुष,39,मधेश प्रदेश,रौतहट,2,एम.बि.बि.एस.,"चिकित्सकिय सेवा, प्रहरी सेवामा (प्रहरी निरीक्षक प्राविधिक तर्फ) 3 वर्षको अनुभव",,"बोलान मेडिकल कालेज, पाकिस्तान"
2,किरण कुमार साह,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,18442,पुरुष,48,मधेश प्रदेश,रौतहट,2,स्‍नातक तह,,,गौरीशंकर यादव रौतहट क्याम्पस गौर
3,शेख सगिर,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,9325,पुरुष,45,मधेश प्रदेश,रौतहट,2,स्‍नात्तक,विभिन्न शैक्षिक संस्थामा अध्यापन गरेको,,त्रिभुवन विश्व विद्यालय
4,रामअशिष राय यादव,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,2960,पुरुष,51,मधेश प्रदेश,रौतहट,2,प्रविणता प्रमाण पत्र,,,"श्री जय किसान मा.वि. धरहरी, रौतहट"
5,महम्मद अतिउल्लाह,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,2382,पुरुष,54,मधेश प्रदेश,रौतहट,2,Proficiency Certificate Level (PCL),,,बन बिज्ञान अन्धययन संस्थान हेटौडा
6,श्रीभगवान राउत कुर्मी,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,1825,पुरुष,45,मधेश प्रदेश,रौतहट,2,SLC,,,
7,सुरेन्द्र प्रसाद जयसवाल,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,859,पुरुष,45,मधेश प्रदेश,रौतहट,2,BA,संबैधानिक सभा सदस्य 2070,,
8,सोनु कुशवाहा,जनमत पार्टी,लाउड स्पिकर,276,पुरुष,28,मधेश प्रदेश,रौतहट,2,BSC in Computing And Information Techn,,,Philips university Lamias STR
9,राज  कुमार  यादव ,नेपाल जनता पार्टी,कमलको फूल,102,पुरुष,32,मधेश प्रदेश,रौतहट,2,8 कक्षा,,,श्री जनता मा.वि. औरैया
10,रविन्द्र साह,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,85,पुरुष,42,मधेश प्रदेश,रौतहट,2,SLC,,,
11,नेक महम्मद,राष्ट्रिय जनमोर्चा,गिलास,76,पुरुष,67,मधेश प्रदेश,रौतहट,2,,,,
12,रामाकान्त प्रसाद पटेल,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,64,पुरुष,25,मधेश प्रदेश,रौतहट,2,+2,,,जनता माध्यमिक विद्यालय उमजन बारा
13,शेख अमिरुल हक,नेपाल मजदुर किसान पार्टी,मादल,44,पुरुष,72,मधेश प्रदेश,रौतहट,2,साक्षर,,,
14,दिलिप प्रसाद जैसवाल,स्वतन्त्र,व्याडमिन्टन कर्क,38,पुरुष,42,मधेश प्रदेश,रौतहट,2,SLC,,,
15,संजय सहनी,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),चकिया (जाँतो),31,पुरुष,38,मधेश प्रदेश,रौतहट,2,8 pass,,,
16,मो. इम्रान असलम,स्वतन्त्र,पेट्रोल पम्प,18,पुरुष,35,मधेश प्रदेश,रौतहट,2,10+2,बैदेशिक रोजगार काम गरेको अनुभव,,राजपुर मा.वि.
17,शेख राहिल अहमद,स्वतन्त्र,जीप,15,पुरुष,38,मधेश प्रदेश,रौतहट,2,एस.एल.सी.,,,
18,मो. नसिम अख्तर,स्वतन्त्र,पंखा,13,पुरुष,42,मधेश प्रदेश,रौतहट,2,SLC,,,
19,मनोज कुमार बैठा,स्वतन्त्र,क्यामरा,12,पुरुष,31,मधेश प्रदेश,रौतहट,2,SLC,,,श्री अनहोतीलाल मा.वि. बसन्तपट्टि
20,जैलाल प्रसाद कुशवाहा,स्वतन्त्र,मुढा,10,पुरुष,36,मधेश प्रदेश,रौतहट,2,+2,,,सारध मा.वि. पिपरीया
21,शेख महमद इफरान,स्वतन्त्र,दूरबिन,10,पुरुष,34,मधेश प्रदेश,रौतहट,2,एस.एल.सी.,,,
22,शेख मुस्ताक,स्वतन्त्र,सिरिन्ज,8,पुरुष,26,मधेश प्रदेश,रौतहट,2,SLC,,,राष्ट्रिय परिक्षा बोर्ड
23,मो. फिरोज अख्तर,स्वतन्त्र,हेल्मेट,6,पुरुष,35,मधेश प्रदेश,रौतहट,2,+2,,,राष्ट्रिय परिक्षा वोर्ड
24,रामाकान्त प्रसाद पटेल,स्वतन्त्र,आँप,6,पुरुष,37,मधेश प्रदेश,रौतहट,2,+2,,,श्री अनहोती लाल मा.वि. बसन्तपट्टी
25,श्यामलाल साह तेली,स्वतन्त्र,क्याप,6,पुरुष,39,मधेश प्रदेश,रौतहट,2,9 class,,,
26,रामजन्म प्रसाद यादव,स्वतन्त्र,प्रेसर कुकर,3,पुरुष,34,मधेश प्रदेश,रौतहट,2,स्‍नातक,,,
