Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,रविन्‍द्र पटेल,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,27318,पुरुष,48,मधेश प्रदेश,रौतहट,3,Ied,,,"श्री मा.वि. जनज्योती चन्द्रनिगाहपुर, रौतहट"
2,गोविन्द चौधरी,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,11954,पुरुष,67,मधेश प्रदेश,रौतहट,3,आई.ए.,दुई पटक प्रतिनिधि सभा सदस्यमा विजय भई मन्त्री पदसम्मा नियुक्त भएको,,"हिन्दु विश्‍व विद्यालय बनारस, उतर प्रदेश, भारत"
3,प्रभु साह,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,9890,पुरुष,54,मधेश प्रदेश,रौतहट,3,स्‍नातक,राजनीति/समाज सेवा,,नेपाल ल क्याम्पस काठमाडौं
4,कुन्दन प्रसाद कुशवाहा,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,6605,पुरुष,46,मधेश प्रदेश,रौतहट,3,एस.एल.सि.,,प्रदेश सभा सदस्य २०७४ मा विजयी भई प्रदेश सभा सदस्य पदमा रही कामकाज गरेको।,"श्री जनता मा.वि. कटहरिया, रौतहट"
5,रामकृपाल प्रसाद यादव,नेपाली काँग्रेस,रुख,6420,पुरुष,41,मधेश प्रदेश,रौतहट,3,स्‍नाक्तोर,,,त्रिभुवन विश्‍व विद्यालय
6,पुनम देवी,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,3881,महिला,39,मधेश प्रदेश,रौतहट,3,+2,,,परिक्षा बोर्ड
7,शेख प्रवेज आलम,जनमत पार्टी,लाउड स्पिकर,277,पुरुष,29,मधेश प्रदेश,रौतहट,3,"+2, उर्दु",,,
8,विजय कुमार साह तेली,स्वतन्त्र,चेसगोटी,273,पुरुष,36,मधेश प्रदेश,रौतहट,3,+2,,,गरुडा मा.वि.
9,सिकिन्द्र राय यादव,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,123,पुरुष,54,मधेश प्रदेश,रौतहट,3,साक्षर,"कृषि समुह तथा संस्थामा तालिम अनुभव, खेतीपाती सम्बन्धी अनुभव, कृषिजन्य वृक्ष सम्बन्धी अनुभव, सिजनल तथा बेमौसमी खेती सम्बन्धी अनुभव","आफ्नो क्षेत्रमा कृषि क्षेत्रमा आवद्ध किसानलाई प्रोत्साहन, दिर्घकालिन विकास, आफ्नो क्षेत्रमा नमुना कृषि उत्पादन र आत्मनिर्भर क्षेत्र बनाउनमा कटिबद्ध रहने छु।",
10,चनचन चौधरी थारु,"नागरिक उन्मुक्ति पार्टी, नेपाल(एकल चुनाव चिन्ह)",चकिया (जाँतो),102,पुरुष,40,मधेश प्रदेश,रौतहट,3,+2,मार्केटिङ्ग,,"हरिखेतान वहुमुखि कलेज, बीरगन्ज"
11,पिन्टु दास तत्मा,स्वतन्त्र,क्याल्कुलेटर,101,पुरुष,25,मधेश प्रदेश,रौतहट,3,७ कक्षा पास,,,
12,शेख साजिद,नेपाल संघीय समाजवादी पार्टी(एकल चुनाव चिन्ह),बस,84,पुरुष,32,मधेश प्रदेश,रौतहट,3,,,,
13,उपेन्द्र मुखिया वीन,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,70,पुरुष,52,मधेश प्रदेश,रौतहट,3,१० कक्षा उतिर्ण,,,श्री जनता मा.वि. कटहरिया
14,जमशेद अंसारी,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,70,पुरुष,55,मधेश प्रदेश,रौतहट,3,+2,,,
