Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,पुष्पा कुमारी चौधरी,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,38195,महिला,36,मधेश प्रदेश,सप्तरी,1,,,,
2,सुमित कुमार -,स्वाभिमान पार्टी,बाली बोकेको महिलाको आकृति,7847,पुरुष,48,मधेश प्रदेश,सप्तरी,1,,,,
3,सुमन राज प्याकुरेल,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,7652,पुरुष,67,मधेश प्रदेश,सप्तरी,1,,,,
4,रामदेव साह(तेली),नेपाली काँग्रेस,रुख,6994,पुरुष,66,मधेश प्रदेश,सप्तरी,1,,,,
5,जय कान्त राउत,जनमत पार्टी,लाउड स्पिकर,4833,पुरुष,53,मधेश प्रदेश,सप्तरी,1,,,,
6,श्याम सुन्दर सरदार,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,2558,पुरुष,42,मधेश प्रदेश,सप्तरी,1,,,,
7,रविन्द्र चौधरी,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,1626,पुरुष,64,मधेश प्रदेश,सप्तरी,1,,,,
8,सत्य जित कुमार झा,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,422,पुरुष,45,मधेश प्रदेश,सप्तरी,1,,,,
9,हर्ख नारायण चौधरी,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,289,पुरुष,46,मधेश प्रदेश,सप्तरी,1,,,,
10,खेम राज जैशी,नेपाल जनता संरक्षण पार्टी,डोको,218,पुरुष,44,मधेश प्रदेश,सप्तरी,1,,,,
11,दीपेन्द्र प्रसाद यादव,नेपाल जनता पार्टी,कमलको फूल,203,पुरुष,44,मधेश प्रदेश,सप्तरी,1,,,,
12,जगदेव सदा,स्वतन्त्र,स्प्रे,147,पुरुष,40,मधेश प्रदेश,सप्तरी,1,,,,
13,शम्भु प्रसाद देव,राष्ट्रिय एकता दल,"तुलसी, मठ",134,पुरुष,60,मधेश प्रदेश,सप्तरी,1,,,,
14,टिकालक्ष्‍मी नारायण चौधरी,"नागरिक उन्मुक्ति पार्टी, नेपाल(एकल चुनाव चिन्ह)",चकिया (जाँतो),75,महिला,41,मधेश प्रदेश,सप्तरी,1,,,,
15,कौशल साह,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,40,पुरुष,31,मधेश प्रदेश,सप्तरी,1,,,,
16,मो अमिन,स्वतन्त्र,मुढा,25,पुरुष,49,मधेश प्रदेश,सप्तरी,1,,,,
17,रिजवाना खातुन,स्वतन्त्र,हजारी,20,महिला,48,मधेश प्रदेश,सप्तरी,1,,,,
18,संजय कुमार शर्मा,स्वतन्त्र,आरी,16,पुरुष,32,मधेश प्रदेश,सप्तरी,1,,,,
19,उम्दा देवी सदा,स्वतन्त्र,रिक्सा,13,महिला,52,मधेश प्रदेश,सप्तरी,1,,,,
20,लेखनाथ कुमार ठाकुर,स्वतन्त्र,ग्याँस चुलो,9,पुरुष,39,मधेश प्रदेश,सप्तरी,1,,,,
21,राम कुमारी खङ,स्वतन्त्र,क्यामरा,8,महिला,25,मधेश प्रदेश,सप्तरी,1,,,,
