Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,रामजी यादव,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,28404,पुरुष,30,Elected,मधेश प्रदेश,सप्तरी,2,Bachelor,,,
2,उमेश कुमार यादव,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,14263,पुरुष,55,,मधेश प्रदेश,सप्तरी,2,बि.ए,,,
3,चन्द्र कान्त राउत,जनमत पार्टी,लाउड स्पिकर,9880,पुरुष,48,,मधेश प्रदेश,सप्तरी,2,P.hd,,,
4,सतिश कुमार सिंह,स्वाभिमान पार्टी,बाली बोकेको महिलाको आकृति,3557,पुरुष,43,,मधेश प्रदेश,सप्तरी,2,Bachelor,,,
5,राम कुमार यादव,नेपाली काँग्रेस,रुख,2498,पुरुष,56,,मधेश प्रदेश,सप्तरी,2,+2,,,
6,अफरोज आलम,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,1120,पुरुष,42,,मधेश प्रदेश,सप्तरी,2,slc,,,
7,मोहम्मद जियाउल रहमान,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,883,पुरुष,33,,मधेश प्रदेश,सप्तरी,2,Master,,,
8,सुर्यनाथ प्रसाद यादव,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,426,पुरुष,47,,मधेश प्रदेश,सप्तरी,2,+2,,,
9,अजय  कुमार  दास ,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,374,पुरुष,27,,मधेश प्रदेश,सप्तरी,2,+2,,,
10,रन्जु कुमारी झा (ठाकुर),नेपाल जनता पार्टी,कमलको फूल,240,महिला,60,,मधेश प्रदेश,सप्तरी,2,ma,,,
11,दिपक चौधरी,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,224,पुरुष,53,,मधेश प्रदेश,सप्तरी,2,P.hd,,,
12,अनिश अंसारी,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),चकिया (जाँतो),210,पुरुष,72,,मधेश प्रदेश,सप्तरी,2,,,,
13,त्रिभुवन खंग,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,91,पुरुष,58,,मधेश प्रदेश,सप्तरी,2,,,,
14,निलम कुमारी यादव,नेपाल मजदुर किसान पार्टी,मादल,90,महिला,25,,मधेश प्रदेश,सप्तरी,2,+२,,,
15,शरद सिंह यादव,जन अधिकार पार्टी,डुङ्‌गा,81,पुरुष,54,,मधेश प्रदेश,सप्तरी,2,स्नातक,,,
16,सन्तोष कुमार रजक,स्वतन्त्र,दूरबिन,66,पुरुष,45,,मधेश प्रदेश,सप्तरी,2,,,,
17,इन्द्रसागर गुप्‍ता,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,63,पुरुष,49,,मधेश प्रदेश,सप्तरी,2,,,,
18,दिपक कुमार मंडल,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,58,पुरुष,33,,मधेश प्रदेश,सप्तरी,2,,,,
19,विशेश्‍वर यादव,स्वतन्त्र,मसी,33,पुरुष,34,,मधेश प्रदेश,सप्तरी,2,slc,,,
20,वलराम प्रसाद यादव,"जनता लोकतान्त्रिक पार्टी, नेपाल",भैँसी,29,पुरुष,57,,मधेश प्रदेश,सप्तरी,2,,,,
21,सुनिल राज दास,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,26,पुरुष,32,,मधेश प्रदेश,सप्तरी,2,बि.ई,,,
22,विनोदानन्द झा,स्वतन्त्र,रिक्सा,25,पुरुष,68,,मधेश प्रदेश,सप्तरी,2,,,,
23,राज कुमार मण्डल,नेपाल संघीय समाजवादी पार्टी(एकल चुनाव चिन्ह),बस,23,पुरुष,48,,मधेश प्रदेश,सप्तरी,2,एस.एल.सि,,,
24,जितेन्द्र कुमार यादव,स्वतन्त्र,सिरिन्ज,22,पुरुष,30,,मधेश प्रदेश,सप्तरी,2,स्नातक,,,
25,पारशमणि यादव,स्वतन्त्र,हेल्मेट,20,पुरुष,29,,मधेश प्रदेश,सप्तरी,2,+2,,,
26,राम बिलास ठाकुर,स्वतन्त्र,मुढा,13,पुरुष,64,,मधेश प्रदेश,सप्तरी,2,,,,
27,विन्दु कुमारी चौधरी,स्वतन्त्र,तिलहरी,13,महिला,47,,मधेश प्रदेश,सप्तरी,2,,,,
28,किसुनदेव राम,स्वतन्त्र,काउली,12,पुरुष,55,,मधेश प्रदेश,सप्तरी,2,,,,
29,अम्‍विका देवी साफी,स्वतन्त्र,आँप,11,महिला,36,,मधेश प्रदेश,सप्तरी,2,,,,
30,प्रेम कुमार यादव,स्वतन्त्र,क्याप,9,पुरुष,35,,मधेश प्रदेश,सप्तरी,2,H.A,,,
31,सुशीला कुमारी साह,स्वतन्त्र,त्रिभुज,9,महिला,32,,मधेश प्रदेश,सप्तरी,2,,,,
32,साधना  दास ,स्वतन्त्र,नरिवल,4,महिला,65,,मधेश प्रदेश,सप्तरी,2,,,,
33,संजय कुमार चौधरी,स्वतन्त्र,झोला,4,पुरुष,29,,मधेश प्रदेश,सप्तरी,2,,,,
34,अभिनाष कुमार सिंह,स्वतन्त्र,क्याल्कुलेटर,2,पुरुष,33,,मधेश प्रदेश,सप्तरी,2,,,,
