Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,सिताराम साह,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,36412,पुरुष,65,मधेश प्रदेश,सप्तरी,4,I.sc Forestory,,,HETAUDA
2,तेजु लाल चौधरी,नेपाली काँग्रेस,रुख,13103,पुरुष,63,मधेश प्रदेश,सप्तरी,4,स्नातकोत्तर,,,TU
3,वाँवी सिंह,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,10280,महिला,43,मधेश प्रदेश,सप्तरी,4,विद्यावारिधि (पि.एच.डि),,,तिलका माँझी भागलपुर विश्वविद्यालय 
4,रुवी कुमारी कर्ण,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,1709,महिला,44,मधेश प्रदेश,सप्तरी,4,स्नातक ,,,म.वि.व. क्याम्पस राजविराज
5,गंगा प्रसाद चौधरी,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,1177,पुरुष,63,मधेश प्रदेश,सप्तरी,4,एम. ई.,,,MOSCO RUS
6,जितेन्द्र कुमार साह,जनमत पार्टी,लाउड स्पिकर,995,पुरुष,43,मधेश प्रदेश,सप्तरी,4,वि.एड,,,J S MURARKA CAMPUS LAHAN
7,रामा कान्त चौधरी,"नागरिक उन्मुक्ति पार्टी, नेपाल(एकल चुनाव चिन्ह)",चकिया (जाँतो),550,पुरुष,54,मधेश प्रदेश,सप्तरी,4,B.COM,,,
8,विनोद कुमार मंडल,स्वतन्त्र,चेसगोटी,544,पुरुष,41,मधेश प्रदेश,सप्तरी,4,अनपढ,,,
9,मो. जाकीर अली,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,385,पुरुष,54,मधेश प्रदेश,सप्तरी,4,ISC,,,
10,रुप कुमार न्यौपाने,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,382,पुरुष,64,मधेश प्रदेश,सप्तरी,4,स्नातक तह BA,,,ल.ना.मि.वि.वि. भारत
11,विशो कुमार यादव,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,182,पुरुष,35,मधेश प्रदेश,सप्तरी,4,पल्स टु पास,,,रोयल सफटेक कल्ज लहान
12,कोशल किशोर दास,नेपाल जनता पार्टी,कमलको फूल,175,पुरुष,39,मधेश प्रदेश,सप्तरी,4,आठ पास,,,रा.ज.म.वि.काचन 
13,अनिता कुमारी चौधरी,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,111,महिला,34,मधेश प्रदेश,सप्तरी,4,प्रविणता प्रमाणपत्र,,,
14,संतोष प्रसाद सिंह,स्वतन्त्र,व्याडमिन्टन कर्क,107,पुरुष,52,मधेश प्रदेश,सप्तरी,4,आई कम,,,विहार काउन्सिल पटना 
15,रामवावु रजक,नेपाली जनता दल,सिट्ठी,57,पुरुष,42,मधेश प्रदेश,सप्तरी,4,पल्स टु,,,
16,शिव कुमार कापैर,स्वतन्त्र,जाली,27,पुरुष,33,मधेश प्रदेश,सप्तरी,4,एस एल सी,,,
17,संजीव कुमार साह,स्वतन्त्र,सारङ्‌गी,26,पुरुष,47,मधेश प्रदेश,सप्तरी,4,एस एल सि,,,
18,राम नारायण साह,नेपाल मजदुर किसान पार्टी,मादल,20,पुरुष,56,मधेश प्रदेश,सप्तरी,4,स्नातक,,,त्रिभुवन विश्व विद्यालय
19,श्‍यामसुन्‍दर साहु,स्वतन्त्र,क्याप,13,पुरुष,62,मधेश प्रदेश,सप्तरी,4,प्रमाण पत्र तह,,,
20,रामेश्‍वर मंडल धानुक,स्वतन्त्र,रिक्सा,11,पुरुष,72,मधेश प्रदेश,सप्तरी,4,साक्षर,,,
21,प्रेम कुमारी महरा,स्वतन्त्र,ढिकी,9,महिला,40,मधेश प्रदेश,सप्तरी,4,SEE PASS ,,,उ.मा.वि. मिर्चैया रामनगर
22,दुर्गा प्रसाद यादव,स्वतन्त्र,जीप,8,पुरुष,41,मधेश प्रदेश,सप्तरी,4,SLC PASS,,,
23,सनम कुमारी चौधरी ,स्वतन्त्र,क्यामरा,7,महिला,29,मधेश प्रदेश,सप्तरी,4,एस.एल.सि.पास,,,लहान
24,सुनिल कुमार यादव,स्वतन्त्र,कप र प्लेट,7,पुरुष,46,मधेश प्रदेश,सप्तरी,4,एस.एल.सी ,,,
25,केश्‍वर  प्रसाद  साह ,स्वतन्त्र,आँप,6,पुरुष,52,मधेश प्रदेश,सप्तरी,4,SLC PASS,,,Ra.Tu. Ja. Siswa 
