Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,रबिन महतो,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,42512,पुरुष,38,Elected,मधेश प्रदेश,सर्लाही,2,१०+२ पास, , ,"राजर्षि जनक क्याम्पस, जनकपुर"
2,महिन्द्र राय यादव,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,8523,पुरुष,88,,मधेश प्रदेश,सर्लाही,2,एस.एल.सी. उतिर्ण, , ,"त्रभुवन स्कुल, गौशाला, महित्तरी"
3,डा.सरोज कुमार,नेपाली काँग्रेस,रुख,7039,पुरुष,44,,मधेश प्रदेश,सर्लाही,2,एम.बि.बि.एस,,,नेपाल मेडिकल कलेज  कोहलपुर
4,राजेन्द्र महतो,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),चकिया (जाँतो),5992,पुरुष,67,,मधेश प्रदेश,सर्लाही,2,स्नातक, , ,त्रिभुवन विश्वविद्यालय
5,रजी अहमद,नेपाल संघीय समाजवादी पार्टी(एकल चुनाव चिन्ह),बस,2283,पुरुष,34,,मधेश प्रदेश,सर्लाही,2,+२,,,राम सकल सिंह साइन्स कलेज सितामढी विहार
6,कृष्ण यादव,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,2227,पुरुष,27,,मधेश प्रदेश,सर्लाही,2,,,,
7,नागेश्‍वर साह,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,1463,पुरुष,46,,मधेश प्रदेश,सर्लाही,2,+2,,,HSEB Nepal
8,विपीन कापर,जनमत पार्टी,लाउड स्पिकर,756,पुरुष,60,,मधेश प्रदेश,सर्लाही,2,स्‍नातक (बि.ई),"संयुक्त राष्ट्र संघ नेपाल
संयुक्त राष्ट्र संघ(UN) कंगो प्रजातान्त्रिक
संयुक्त राष्ट्र संघ(UN) हाइटी
", ,बैङ्गलौर विश्वविद्यालय
9,भरत चौधरी,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,518,पुरुष,41,,मधेश प्रदेश,सर्लाही,2,एस. एल.सी. नेपाल,,,
10,मनोज कुमार राय,स्वतन्त्र,ट्रफी,190,पुरुष,40,,मधेश प्रदेश,सर्लाही,2,10+2,,,
11,राज किशोर राय यादव,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,143,पुरुष,57,,मधेश प्रदेश,सर्लाही,2,S.L.C.,सर्लाहीको धार्मीक र सास्कृती बिकासको लागी २०७४ साल देखी निरन्तर लागी राखेको छु ।,२०४५ साल देखी निरन्तर देश र जन्ताको लागी समर्पित,श्री के.ग.मा.वि. हरिपूर्वा
