Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,नरेन्द्र साह कलवार,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,46890,पुरुष,53,मधेश प्रदेश,सर्लाही,3,आइ ए,,"मैले विगत लामो समय देखि एक अनुभवी, सामाजिक अभियन्ता तथा विकासमुखी नेतृत्वकर्ताको रुपमा कार्य गर्दै आइरहेको छु। सामाजिक सेवा, पर्यटन, मिडिया तथा रोजगारी सिर्जनाको क्षेत्रमा सकृय रहदै सकरात्मक सोच, अडिग प्रतिवद्धता र परिणाममुखी, नैतिक उत्तरदायी र जनमुखी नेतृत्वको पहिचान बनाएको छु। समाजका विविध तहसंग प्रत्यक्ष रुपमा काम गरेको हुनाले स्थानीय आवश्यकता राम्ररी बुझेको छु। ",आर आर क्याम्पस जनकपुर
2,नारायण काजी श्रेष्‍ठ,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,13338,पुरुष,66,मधेश प्रदेश,सर्लाही,3,स्नाकोत्तर,"(क) संविधान सभा सदस्य । राष्ट्रिय सभा सदस्य
(ख) उपप्रधानमन्त्रि । परराष्ट्र मन्त्री, स्थानिय विकास मन्त्रि, भोतिक पुर्वाधार तथा यातायात मन्त्रि, गृहमन्त्रि नेपाल सरकार
","
पंचायति व्यावस्‌था, निरंकुस राजतन्त्र बिन्दु र गणतन्त्र नेपालको निम्ती पाँच दशकदेखि निरन्तर संघर्ष गर्दै आएको ।  त्यसक्रममा १६ वर्षको उमेरमै प्रकाउ पारे राजद्रोहको मुद्दा खेप्नु परेको, नेपाल‌को शान्ति प्रक्रियालाई निस्कर्षमा पुर्याउन र संविधान निर्माण प्रक्रियामा महत्वपुर्ण भुमिका निर्वाह गरेको । ",त्रिभुवन विश्वविद्यालय
3,विनोद कुमार खनाल,नेपाली काँग्रेस,रुख,6624,पुरुष,60,मधेश प्रदेश,सर्लाही,3,स्नातक,"राजनिति
समाजसेवा",पंचायती निरङ्कुशताका विरुद्धमा २०३६ सालको आन्दोलनमा सहभागी भइ २०४५ सालको जनआन्दोलनमा समेत सक्रिय भुमिका । ,नेपाल ल क्याम्पस
4,हरि प्रसाद उप्रेती,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,5776,पुरुष,58,मधेश प्रदेश,सर्लाही,3,स्नातक,"१. संविधान सभा सदस्य
२. प्रतिनिधी सभा सदस्य
३. २ पटक रक्षामन्त्री भई कार्य गरेको । ","निर्वाचन आयोगले जारी गरेको निर्वाचन आचार संहिता २०८२ लाई अक्षरथ पालना गर्दै निर्वाचनमा स्वतन्त्रता, निष्पक्षता, पारदर्शिता मितव्यायिता तथा भयमुक्त वातावरण कायम राख्न निर्वाचन आयोगले अहम भुमिका खेल्नुपर्ने । ",जनज्योती मा.बि. चन्द्रपुर / ठाकुरराम बहुमुखी क्याम्पस / स्नातक सरस्वती बहुमुखी क्याम्पस
5,त्रिभुवन कुमार सिंह,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,2622,पुरुष,52,मधेश प्रदेश,सर्लाही,3,B.E. / M.A.,"
(क) Site Engineer @Gulf country.

(ख) Quality Inspector @American oil company.

(३) Quality Superisor @ American oil company
",,manglore university / tribhuwan university
6,जय प्रकश राय,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,766,पुरुष,44,मधेश प्रदेश,सर्लाही,3,विद्यावारिधी,,,आन्ध्रा विश्वविद्यालय भारत
7,ढोलराम बारकोटी,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,478,पुरुष,45,मधेश प्रदेश,सर्लाही,3,एस एल सी ,,,श्री च.ज. शहिद गंगालाल मा.बि.
8,वीर बहादुर रुम्बा,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,267,पुरुष,36,मधेश प्रदेश,सर्लाही,3,+२,,,श्री क्यानेश्वर मा.बि.
9,सुनिल प्रसाद गुप्ता,जनमत पार्टी,लाउड स्पिकर,260,पुरुष,44,मधेश प्रदेश,सर्लाही,3,वैचलर,स्वास्थ्य सम्बन्धी कार्यक्रम संचालन,,nams college
10,कृष्‍ण नन्दन राय,स्वतन्त्र,आँप,154,पुरुष,60,मधेश प्रदेश,सर्लाही,3,आय एस सी ,समाजसेवी,,नेपाल सरकार
11,शिवदयाल महरा,बहुजन एकता पार्टी नेपाल(एकल चुनाव चिन्ह),बस,151,पुरुष,40,मधेश प्रदेश,सर्लाही,3,आधारभुत शिक्षा,,,दुर्गा सरस्वती माध्यमिक विद्यालय 
12,सबिउल शेष,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,144,पुरुष,30,मधेश प्रदेश,सर्लाही,3,,,,
13,पवन कुमार महतो,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,88,पुरुष,37,मधेश प्रदेश,सर्लाही,3,एस एल सी ,"१. कृषि क्षेत्रमा लामो समयदेखि का‍म गरेको । 
२. सामाजिक संघ संस्था आदिमा रहेर समाज सेवा गरेको । ",,जनसेवा मा.बि. घुर्कौली 
14,युवराज पाख्रिन,स्वतन्त्र,व्याडमिन्टन कर्क,84,पुरुष,51,मधेश प्रदेश,सर्लाही,3,,,,
15,युवराज लुईटेल,स्वतन्त्र,सिरिन्ज,33,पुरुष,54,मधेश प्रदेश,सर्लाही,3,,,,
16,कृष्णा  कुमार  शाह,स्वतन्त्र,क्याप,18,पुरुष,25,मधेश प्रदेश,सर्लाही,3,१२ पास,,,
17,मुकेश कुमार राय,स्वतन्त्र,गुलेली,17,पुरुष,39,मधेश प्रदेश,सर्लाही,3,,,,
18,तजविज भण्डारी,स्वतन्त्र,झोला,15,पुरुष,27,मधेश प्रदेश,सर्लाही,3,,,,
19,रमा कोइराला,नेपाल मजदुर किसान पार्टी,मादल,13,महिला,39,मधेश प्रदेश,सर्लाही,3,एस एल सी ,,,
20,राम बहादुर महतो कोइरी,प्रजातान्त्रिक पार्टी नेपाल,रथ,13,पुरुष,53,मधेश प्रदेश,सर्लाही,3,slc,सामाजिक सेवा ,, श्री जनता मा.बि. पकडी फेन्हरा
21,अनिल कुमार यादव,स्वतन्त्र,क्यामरा,12,पुरुष,30,मधेश प्रदेश,सर्लाही,3,+2 ,,,
22,महेश राज दाहाल,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),चकिया (जाँतो),10,पुरुष,53,मधेश प्रदेश,सर्लाही,3,एम फिल / पिएचडी अध्ययनरत,"१. राष्ट्रिय अध्ययक्ष - २०११ नेपाल जेसिस
२. कार्यकारिणी अध्यक्ष - २०१५- २०१८
३. नेपाली राजदुत अष्ट्रेलिया - २०१९-२०२१
४. विकास तालिम अनुसन्धान परामर्शदाता ","विभिन्न कलेजहरुमा अध्यापन, विभिन्न राष्ट्रिय अन्तर्राष्ट्रिय संघ संस्थाहरुमा विकास तालिम क्षेत्रको कार्य अनुभव परराष्ट्र मामिला प्रतिष्ठान वोर्ड सदस्य/ उच्च स्तरीय सुचना प्रविधि आयोग वोर्ड सदस्य रही कार्य गरेको । ",त्रिभुवन विश्वविद्यालय
23,जय लाल सहनी,स्वतन्त्र,दूरबिन,10,पुरुष,63,मधेश प्रदेश,सर्लाही,3,साधारण,,,
24,बैजु साह,स्वतन्त्र,तिलहरी,9,पुरुष,45,मधेश प्रदेश,सर्लाही,3,एस एल सी ,,म राष्ट र जनताको सेवा गर्दछु । ,महादेव जनता मा.बि. हरिवन
25,राम पृत महरा,स्वतन्त्र,खाम,9,पुरुष,58,मधेश प्रदेश,सर्लाही,3,,,,
26,सन्दिप थापा,स्वतन्त्र,जीप,7,पुरुष,28,मधेश प्रदेश,सर्लाही,3,मास्टर,सामाजिक अनुभव,,श्री जनज्योती बहुमुखी क्याम्पस
27,प्रमोद कुमार साह,स्वतन्त्र,पंखा,6,पुरुष,36,मधेश प्रदेश,सर्लाही,3,,,,
28,लक्ष्मी कुमारी अधिकारी,स्वतन्त्र,ठेकी,6,महिला,44,मधेश प्रदेश,सर्लाही,3,एस एल सी ,,म राष्ट्रमा जनताको सेवा गर्दछु । ,HMG
29,राम चन्द्र चमार,स्वतन्त्र,भँगेरा,5,पुरुष,65,मधेश प्रदेश,सर्लाही,3,साक्षर,,,
30,उमेश कुमार राय,स्वतन्त्र,टि टेवल,4,पुरुष,32,मधेश प्रदेश,सर्लाही,3,,,,
31,डम्वर बहादुर खड्का,स्वतन्त्र,बदेल,3,पुरुष,27,मधेश प्रदेश,सर्लाही,3,+२ ,,,NEB
32,प्रमोद भट्टराई,स्वतन्त्र,रिक्सा,3,पुरुष,50,मधेश प्रदेश,सर्लाही,3,एस एल सी ,,म राष्ट्र र जनताको सेवा गर्नेछु । ,जनता मा वि 
33,चन्दन राजवंशी,स्वतन्त्र,प्रेसर कुकर,2,पुरुष,25,मधेश प्रदेश,सर्लाही,3,सनातक,,,सर्लाही क्याम्पस
34,लोक बहादुर दर्लामी,स्वतन्त्र,बिरालो,1,पुरुष,60,मधेश प्रदेश,सर्लाही,3,,,,
