Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,बब्लु गुप्ता,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,41322,पुरुष,28,मधेश प्रदेश,सिराहा,1,स्नातक,,,स्नातक
2,राम सुन्दर चौधरी,नेपाली काँग्रेस,रुख,9784,पुरुष,63,मधेश प्रदेश,सिराहा,1,B.COM,,,
3,राम शंकर यादव,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,7886,पुरुष,64,मधेश प्रदेश,सिराहा,1,आई एल,,,
4,रामचन्द्र यादव,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,2853,पुरुष,64,मधेश प्रदेश,सिराहा,1,प्रविणता तह,,,
5,सत्य नारायण यादव,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,2285,पुरुष,55,मधेश प्रदेश,सिराहा,1,SLC,,,
6,राम स्वरुप चौधरी,जनमत पार्टी,लाउड स्पिकर,1589,पुरुष,67,मधेश प्रदेश,सिराहा,1,M.A,,,TU
7,संजीव कुमार सिंह,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,346,पुरुष,40,मधेश प्रदेश,सिराहा,1,+2,,,
8,बासुदेव साह,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,236,पुरुष,54,मधेश प्रदेश,सिराहा,1,साधारण लेखपढ,,,
9,तारा कुमारी चौधरी,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,214,महिला,44,मधेश प्रदेश,सिराहा,1,स्नातक,,,
10,डा जिवछ  ठाकुर,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,157,पुरुष,43,मधेश प्रदेश,सिराहा,1,MBBS,,,
11,बद्री नारायण चौधरी,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,134,पुरुष,55,मधेश प्रदेश,सिराहा,1,साधारण लेखपढ,,,
12,सन्तोष सिलवाल,स्वतन्त्र,रिक्सा,122,पुरुष,51,मधेश प्रदेश,सिराहा,1,स्नातक,,,
13,प्रयाग लाल यादव,स्वतन्त्र,व्याडमिन्टन कर्क,108,पुरुष,53,मधेश प्रदेश,सिराहा,1,स्नातक,,,
14,राम कुमार साह,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,73,पुरुष,45,मधेश प्रदेश,सिराहा,1,7,,,
15,सिरीया पासमान,नेपाल मजदुर किसान पार्टी,मादल,45,पुरुष,56,मधेश प्रदेश,सिराहा,1,8,,,
16,प्रबीण कुमार चौधरी,"नागरिक उन्मुक्ति पार्टी, नेपाल(एकल चुनाव चिन्ह)",चकिया (जाँतो),33,पुरुष,48,मधेश प्रदेश,सिराहा,1,B.A. JMC,,,
17,दुर्गा प्रसाद महतो,स्वतन्त्र,मुढा,24,पुरुष,33,मधेश प्रदेश,सिराहा,1,प्रमाणपत्र तह,,,
18,पंकज गोश्‍वामी,स्वतन्त्र,मसी,21,पुरुष,35,मधेश प्रदेश,सिराहा,1,स्नातक,,,स्नातक
19,आशिष महतो,स्वतन्त्र,त्रिभुज,19,पुरुष,27,मधेश प्रदेश,सिराहा,1,BE CIVIL,,,
20,राम  कुमार  महतो ,स्वतन्त्र,झोला,16,पुरुष,38,मधेश प्रदेश,सिराहा,1,स्नातक,,,
21,आन्नद कुमार यादव,स्वतन्त्र,सिरिन्ज,12,पुरुष,45,मधेश प्रदेश,सिराहा,1,SLC,,,
22,भोला पासमान,स्वतन्त्र,पेट्रोल पम्प,11,पुरुष,59,मधेश प्रदेश,सिराहा,1,साक्षर,,,
23,सुलोचना कुश्मी,स्वतन्त्र,काउली,10,महिला,37,मधेश प्रदेश,सिराहा,1,slc,,,
24,दिनेश पासमान,स्वतन्त्र,क्यामरा,9,पुरुष,42,मधेश प्रदेश,सिराहा,1,slc,,,
25,राम चन्दर यादव,स्वतन्त्र,आँप,9,पुरुष,45,मधेश प्रदेश,सिराहा,1,प्रविणता प्रमाण पत्र,,,
26,अशिष लाल दास,स्वतन्त्र,क्याप,7,पुरुष,28,मधेश प्रदेश,सिराहा,1,B.A.,,,
27,जुगाई मंडल,स्वतन्त्र,कप र प्लेट,7,पुरुष,41,मधेश प्रदेश,सिराहा,1,साक्षर,,,
28,इन्द्र देव महतो,स्वतन्त्र,जीप,5,पुरुष,37,मधेश प्रदेश,सिराहा,1,+2,,,
29,नागेन्द्र कुमार यादव,स्वतन्त्र,हेल्मेट,5,पुरुष,36,मधेश प्रदेश,सिराहा,1,आई एड,,,
30,श्री नन्द साफी धोवी,स्वतन्त्र,प्रेसर कुकर,5,पुरुष,67,मधेश प्रदेश,सिराहा,1,slc,,,
31,वालेश्वर दास तत्मा,स्वतन्त्र,कैंची,4,पुरुष,51,मधेश प्रदेश,सिराहा,1,slc,,,
32,रामदेव ठाकुर,स्वतन्त्र,हारमोनियम,1,पुरुष,42,मधेश प्रदेश,सिराहा,1,SLC,,,SLC
