Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,शम्भु कुमार यादव,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,32249,पुरुष,41,मधेश प्रदेश,सिराहा,3,एम वि.वि.एस,चिकित्सक र समाजसेवी,,chancho univarcity
2,लिलानाथ श्रेष्ठ,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,10156,पुरुष,68,मधेश प्रदेश,सिराहा,3,स्नातक,2037साल देखि राजनीतिक ,,TU
3,विश्‍वनाथ साह,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,9942,पुरुष,72,मधेश प्रदेश,सिराहा,3,मास्टर डिग्री,राजनीतिक,,TU
4,सुभाष चन्द्र यादव,नेपाली काँग्रेस,रुख,9879,पुरुष,49,मधेश प्रदेश,सिराहा,3,M.D.,चिकित्सक,,भारत बनारस
5,असेश्वर यादव,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,5671,पुरुष,54,मधेश प्रदेश,सिराहा,3,M.Sc. M.A, राजनीतिक र किसान,३३ वर्ष देखि राजनीतिक र किसानी,TU
6,रोहित महतो,जनमत पार्टी,लाउड स्पिकर,820,पुरुष,57,मधेश प्रदेश,सिराहा,3,sLC,समाजसेवी,,मोहन मा.वि.रामनगर मिर्चैया
7,श्रवण पासवान,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,570,पुरुष,26,मधेश प्रदेश,सिराहा,3,स्नातक,समाजसेवी,,TU
8,दिप कुमार लामा,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,287,पुरुष,50,मधेश प्रदेश,सिराहा,3,sLC,समाजसेवी,,श्री जनता माध्यविक विद्यालय चन्द्रलालपुर चोहर्बा
9,दिलीप कुमार पासमान,स्वतन्त्र,चेसगोटी,239,पुरुष,47,मधेश प्रदेश,सिराहा,3,sLC,समाजसेवी र कृषि,,श्री माध्यमिक विद्यालय भलुवाही सिराहा
10,देव दयाल सिंह,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,234,पुरुष,47,मधेश प्रदेश,सिराहा,3,नभएको,छैन,,छैन
11,अरविन्द कुमार यादव,स्वतन्त्र,ट्रफी,113,पुरुष,33,मधेश प्रदेश,सिराहा,3,B.A,राजनीतिक र कृषि,,Tu
12,कमल राय,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,78,पुरुष,64,मधेश प्रदेश,सिराहा,3,sLC,राजनीति र कृषि,,च.मा.वि. सिराहा
13,पुजन कुमार सिंह,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,64,पुरुष,40,मधेश प्रदेश,सिराहा,3, एम.ए.,राजनीति  र व्यवसाय तथा कृषि,प्राइभेट शिक्षण सेवा,Tu
14,बैजनाथ कामी,स्वतन्त्र,व्याडमिन्टन कर्क,58,पुरुष,55,मधेश प्रदेश,सिराहा,3,९ कक्षा पास,समाजसे्वी,,सरस्वती मा.वि. तिरतिया जमदह
15,ज्ञानु देवी दनुवार,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,47,महिला,63,मधेश प्रदेश,सिराहा,3,साक्षर,समाजसेवी,,
16,रामचरित्र प्रसाद साह,स्वतन्त्र,केबल कार,22,पुरुष,58,मधेश प्रदेश,सिराहा,3,sLC,कृषि र समाजसेवी,,र.ज.मा.वि. बल्ही सिराहा
17,उमेश कुमार बराल,स्वतन्त्र,मुढा,20,पुरुष,49,मधेश प्रदेश,सिराहा,3,sLC,,,श्री जनता माध्यमिक विद्यालय असनपुर गाोलबजार सिराहा
18,अर्जुन कुमार यादव,स्वतन्त्र,क्याल्कुलेटर,19,पुरुष,44,मधेश प्रदेश,सिराहा,3,sLC,राजनीतिक  र कृषि,,च.मा.वि. सिराहा
19,अशिष कुमार मण्डल,स्वतन्त्र,फिरफिरे,19,पुरुष,46,मधेश प्रदेश,सिराहा,3,sLC,समाजसेवी,,श्री ला.स.मा.वि. माडर
20,इन्दिला कुमारी यादव,स्वतन्त्र,दूरबिन,16,महिला,33,मधेश प्रदेश,सिराहा,3,‌+2,समाजसेवी,,ब्रजमोहन मा.वि. माडर सिराहा
21,सोभित कुमार यादव,स्वतन्त्र,हेल्मेट,16,पुरुष,42,मधेश प्रदेश,सिराहा,3,BBs,२० वर्ष देखि राजनीतिक कर्मी,,TU
22,कृष्णा कुमार यादव,स्वतन्त्र,सारङ्‌गी,15,पुरुष,31,मधेश प्रदेश,सिराहा,3,‌‌‍‌+2,समाजसेवी,,ब्रजमोहन जनता मा.वि. माडर सिराहा
23,दिनेश यादव,स्वतन्त्र,आसकोट,13,पुरुष,39,मधेश प्रदेश,सिराहा,3,Inter,व्यापार,,TU
24,बिजय कुमार राम,स्वतन्त्र,आँप,12,पुरुष,38,मधेश प्रदेश,सिराहा,3,M.A,समाजसेबी,,TU
25,नविन कुमार यादव,स्वतन्त्र,मसी,8,पुरुष,36,मधेश प्रदेश,सिराहा,3,+२,शिक्षण पेशा,,जे.एम एकेडेमी सिराहा
26,बब्लु कुमार यादव,स्वतन्त्र,सेलरोटी,8,पुरुष,27,मधेश प्रदेश,सिराहा,3,H.A,समाजसेवी,,विराट हेल्थ कलेज
27,अंकित कुमार यादव,स्वतन्त्र,ढिकी,7,पुरुष,26,मधेश प्रदेश,सिराहा,3,८ कक्षा,समाजसेवी,,ब्रजमोहन मा.वि. माडर 
28,दुष्यन्त कुमार कर्ण,स्वतन्त्र,क्याप,7,पुरुष,51,मधेश प्रदेश,सिराहा,3,B.ed,शिक्षण सेवा हाल अवकास,,TU
29,आनन्द विश्वकर्मा,स्वतन्त्र,आरी,6,पुरुष,37,मधेश प्रदेश,सिराहा,3,+२,समासेवा,,श्री जनता माध्यमिक विद्यालय गोलबजार सिराहा
30,सुर्य देव यादव,स्वतन्त्र,बाकस,6,पुरुष,49,मधेश प्रदेश,सिराहा,3,साक्षर,समाजसेवी,,
31,से. जहुर -,स्वतन्त्र,जीप,6,पुरुष,59,मधेश प्रदेश,सिराहा,3,९ कक्षा पास,समाजसेवी,,विहार
32,राकेश कुमार यादव,स्वतन्त्र,त्रिभुज,5,पुरुष,34,मधेश प्रदेश,सिराहा,3,स्नातक,समाजसेबी,,TU
33,राम पुकार कामती,स्वतन्त्र,क्यामरा,5,पुरुष,39,मधेश प्रदेश,सिराहा,3,स्नातक,समाजसे्वी,,TU
34,दीपेन्द्र कुमार यादव,स्वतन्त्र,टि टेवल,4,पुरुष,60,मधेश प्रदेश,सिराहा,3,स्नातक,राष्ट्र समाचार समितको केन्द्रिय बोर्ड सदस्य पदमा काम गरेको अनुभव,,TU
35,रमेशचन्‍द्र शर्मा,स्वतन्त्र,कैंची,4,पुरुष,31,मधेश प्रदेश,सिराहा,3,sLC,समाजसेवी,,च.मा.वि. सिराहा
36,प्रदिप कुमार श्रेष्ठ,स्वतन्त्र,झोला,3,पुरुष,43,मधेश प्रदेश,सिराहा,3,inter,राजनीतिक,,विहार
37,राजेश्‍वर यादव,स्वतन्त्र,डस्ट बिन,3,पुरुष,74,मधेश प्रदेश,सिराहा,3,साक्षर,समाजसेवी,,
38,सुमित श्रेष्ठ,स्वतन्त्र,स्टुल,3,पुरुष,30,मधेश प्रदेश,सिराहा,3,मास्टर डिग्री,राजनीति र व्यवसाय,,TU
39,जिवछ कुमार यादव,स्वतन्त्र,सोफा,2,पुरुष,42,मधेश प्रदेश,सिराहा,3,HA,राजनीतिक र कृषि तथा construction work,,आई एच आर टी जनकपुर
40,मन्चन महतो,स्वतन्त्र,कप र प्लेट,1,पुरुष,49,मधेश प्रदेश,सिराहा,3,B.ed,समाजसेवी,,TU
41,सतीश चन्द्र सिंह,स्वतन्त्र,सिरिन्ज,1,पुरुष,32,मधेश प्रदेश,सिराहा,3,मास्तर डिग्री,राजनीतिक र कृषि तथा व्यापार,,TU
