Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,तपेश्वर यादव,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,36210,पुरुष,33,Elected,मधेश प्रदेश,सिराहा,4,सिभिल ईन्जीनियर,,,TU
2,अजय शंकर नायक,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,7972,पुरुष,48,,मधेश प्रदेश,सिराहा,4,स्‍नातक,,,त्रि.वि.वि.
3,बिरेन्द्र प्रसाद महतो,जनमत पार्टी,लाउड स्पिकर,5041,पुरुष,56,,मधेश प्रदेश,सिराहा,4,पि.एच.डी,,,रसिया
4,धर्मनाथ प्रसाद साह,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,4227,पुरुष,65,,मधेश प्रदेश,सिराहा,4,स्‍नातक कानुन,,,TU
5,चन्द्र कला कुमारी यादव,नेपाली काँग्रेस,रुख,4061,महिला,43,,मधेश प्रदेश,सिराहा,4,S.L.C,,,बर्छवा मा.वि. नरहा
6,राज किशोर यादव,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,3484,पुरुष,52,,मधेश प्रदेश,सिराहा,4,स्‍नातक,,,पंजाप एयरक्राफ्ट ईन्जि. कलेज भारत (पंजाव)
7,भरत साह,स्वतन्त्र,चेसगोटी,511,पुरुष,42,,मधेश प्रदेश,सिराहा,4,९ पास,,,मोहन मा.वि.
8,सुभेन्द्र कुमार साह,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,283,पुरुष,38,,मधेश प्रदेश,सिराहा,4,स्‍नातक,,,TU
9,बिश्‍वेन्द्र पासवान,बहुजन शक्ति पार्टी,जग,279,पुरुष,65,,मधेश प्रदेश,सिराहा,4,एल.एल.बि.,,,"पटना युनिर्वासिटि, भारत"
10,दिलिप कुमार महरा,बहुजन एकता पार्टी नेपाल(एकल चुनाव चिन्ह),बस,241,पुरुष,40,,मधेश प्रदेश,सिराहा,4,+2,,,युनिभर्सल एकेडेमी जनकपुर
11,विनय प्रविण,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,207,पुरुष,39,,मधेश प्रदेश,सिराहा,4,एम.पि.ए.,,,TU
12,पंकज कुमार ठाकुर,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,160,पुरुष,26,,मधेश प्रदेश,सिराहा,4,‌+2,,,मोहन मा.वि. मिर्चैया
13,मो र्इवराइन अन्सारी,स्वतन्त्र,व्याडमिन्टन कर्क,90,पुरुष,27,,मधेश प्रदेश,सिराहा,4,+2,,,जनता उच्च माध्यमिक विद्यालय गोलबजार
14,जिवन  कुमार  मेहरा,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,57,पुरुष,43,,मधेश प्रदेश,सिराहा,4,s.l.c,,,मोहन मा.वि. मिर्चैया
15,रामेश्वर साह,नेपाल मजदुर किसान पार्टी,मादल,42,पुरुष,66,,मधेश प्रदेश,सिराहा,4,साधारण लेखपढ,,,
16,रुपेश कुमार मण्डल,स्वतन्त्र,दूरबिन,31,पुरुष,26,,मधेश प्रदेश,सिराहा,4,८ कक्षा,,,रामदुलारी मा.वि. कल्याणपुर
17,किशोरी यादव,स्वतन्त्र,मुढा,28,पुरुष,53,,मधेश प्रदेश,सिराहा,4,S.L.C,,,कल्याणपुर मा.वि.
18,फुलदेव ठाकुर हजाम,स्वतन्त्र,हाते पंखा,27,पुरुष,47,,मधेश प्रदेश,सिराहा,4,स्‍नातक,,,बर्छवा कलेज
19,कुशेश्‍वर साह सुडी,स्वतन्त्र,आँप,25,पुरुष,44,,मधेश प्रदेश,सिराहा,4,साक्षर,,,
20,आनिल साह,स्वतन्त्र,कैंची,18,पुरुष,25,,मधेश प्रदेश,सिराहा,4,स्‍नातक,,,TU
21,रमेश कुमार साह,स्वतन्त्र,सिरिन्ज,17,पुरुष,28,,मधेश प्रदेश,सिराहा,4,+2,,,लर्ड बुद्द बिराटनगर
22,विसेश्‍वर यादव,स्वतन्त्र,मसी,17,पुरुष,46,,मधेश प्रदेश,सिराहा,4,S.L.C,,,जनता मा.वि.
23,सन्तोष महतो,स्वतन्त्र,तिलहरी,17,पुरुष,43,,मधेश प्रदेश,सिराहा,4,+2,,,छिनमस्ता एजुकेश एकेडेमी राजविराज
24,नथुनिया सदा,स्वतन्त्र,फिरफिरे,16,पुरुष,64,,मधेश प्रदेश,सिराहा,4,निरक्षर,,,
25,राजदेव यादव,स्वतन्त्र,टायर,14,पुरुष,59,,मधेश प्रदेश,सिराहा,4,९ कक्षा पास,,,
26,उमेश कुमार राम,स्वतन्त्र,जीप,13,पुरुष,40,,मधेश प्रदेश,सिराहा,4,M.DE,,,रारा बहुमुखि क्यामपस धनुषा जनकपुर
27,कामेश्वर सिंह,स्वतन्त्र,पंखा,12,पुरुष,63,,मधेश प्रदेश,सिराहा,4,बि.ए.,,,रामपुर चितवन
28,केदार विश्‍वकर्मा,स्वतन्त्र,आरी,11,पुरुष,47,,मधेश प्रदेश,सिराहा,4,s.l.c,,,फुलकुमारी मा.वि.
29,धनवीर कापैर केवट,स्वतन्त्र,अनार,11,पुरुष,48,,मधेश प्रदेश,सिराहा,4,सामान्य,,,
30,सुशिल  कुमार  सिंह,स्वतन्त्र,झोला,11,पुरुष,39,,मधेश प्रदेश,सिराहा,4,स्‍नातक,,,TU
31,योगेन्द्र प्रसाद महरा,स्वतन्त्र,ढिकी,9,पुरुष,58,,मधेश प्रदेश,सिराहा,4,१० कक्षा पास,,,मोहन मा.वि. मिर्चैया
32,राम वृक्ष महरा,स्वतन्त्र,रिक्सा,7,पुरुष,58,,मधेश प्रदेश,सिराहा,4,साधारण लेखपढ,,,
33,विन्देश्वर महतो,स्वतन्त्र,प्रेसर कुकर,6,पुरुष,57,,मधेश प्रदेश,सिराहा,4,आ.ए,,,भारत
34,भागेश्वर दास,स्वतन्त्र,क्यामरा,4,पुरुष,46,,मधेश प्रदेश,सिराहा,4,S.L.C,,,रामदुलारी मा.वि. कल्याणपुर
