Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,हरी प्रसाद भुसाल,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,35023,पुरुष,37,Elected,लुम्बिनी प्रदेश,अर्घाखाँची,1,स्‍नातक,लामो समय सामाजिक गतिविधीमा सत्रिय ।,,त्रि.वि
2,पिताम्वर भुसाल,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,22649,पुरुष,54,,लुम्बिनी प्रदेश,अर्घाखाँची,1,स्‍नाकोत्तर,"२०५४-०५९ तत्कलिन बाँगी गा.वि.स. अध्यक्ष, २०७८ देखि हालसम्म नेकपा ऐमाले जिल्ला कमिटी, अर्घाखाँची, शान्ति मा.वि बांगीको वि.ब्य.स. पूर्व अध्यक्ष, पाणिनी वहुमुखी क्यामस संचालक समिति सदस्य","नेपाल काम्युनिष्ट पार्टी(एमाले)मा २०४८ सालमा पार्टी सदस्यता प्राप्त गरि , २०५४ सालदेख पार्टी जिल्ला कमिटीमा निरन्तर संगठित भई हाल जिल्ला कमिटी अध्यक्षको रुपमा कार्रत, विभिन्न समाजिक संघ संस्थाहरुमा समेत कार्यरत",T.U
3,विष्णु प्रसाद खनाल,नेपाली काँग्रेस,रुख,18983,पुरुष,56,,लुम्बिनी प्रदेश,अर्घाखाँची,1,स्‍नातक,"ने.वि संघ जिल्ला अध्यक्ष, ने.का.जि. सभापती, लुम्विनी प्रदेश सह-महामन्त्री",,T.U
4,राम वहादुर चौहान,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,3847,पुरुष,56,,लुम्बिनी प्रदेश,अर्घाखाँची,1,स्‍नातक,"सामाजिक, राजनीतिक, शैक्षिक, कानुनी",,त्रि.वि
5,पशुपति नाथ ढकाल,राष्ट्रिय जनमोर्चा,गिलास,1809,पुरुष,71,,लुम्बिनी प्रदेश,अर्घाखाँची,1,10,,,HMG
6,खिम बहादुर घर्ती मगर,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,459,पुरुष,44,,लुम्बिनी प्रदेश,अर्घाखाँची,1,स्‍नातक,,"म खिम बहादुर घर्ती मगरले २०८२/११/२१ मा हुने प्रतिनिधी सभा सदस्य निर्वाचन सहभागी भै समपूर्ण देश र जनताका लागि सधै सेवामा तत्पर रहनेछु, साथै कुनै पनि कानुन बिपरित कार्य गर्ने छैन्।",T.U
7,झबिन्द्र फुल्लेल,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,244,पुरुष,46,,लुम्बिनी प्रदेश,अर्घाखाँची,1,आई.ए पास,प्रदेश सभा सदस्यमा उम्मेदवारी,,T.U
8,विष्णु बहादुर गाहा,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,94,पुरुष,50,,लुम्बिनी प्रदेश,अर्घाखाँची,1,९ पास.,,,
9,दुर्ग बहादुर भाट क्षेत्री,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,44,पुरुष,54,,लुम्बिनी प्रदेश,अर्घाखाँची,1,९ पास,,,
10,सुर्य बहादुर गुरुङग,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,40,पुरुष,44,,लुम्बिनी प्रदेश,अर्घाखाँची,1,प्राथमिक शिक्षा,"मंगोलनेश्‍नल अर्गनाईजेशन जिल्ला सभादेखि सदस्य , मंगोल नेश्नल अर्गनाइजेशन प्रदेश सभा २५ असोज २०८२ देखि वर्तमान सम्म",,
11,टुक बहादुर चेवाली,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),चकिया (जाँतो),40,पुरुष,58,,लुम्बिनी प्रदेश,अर्घाखाँची,1,प्राथमिक शिक्षा,,,
12,पुस्कर नाथ आचार्य,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,28,पुरुष,49,,लुम्बिनी प्रदेश,अर्घाखाँची,1,I.com pass,-,-,प्रमाणपत्र तह
13,रवि शाह,स्वतन्त्र,जीप,22,पुरुष,49,,लुम्बिनी प्रदेश,अर्घाखाँची,1,SLC,,,SLC Board
14,हिमाल भुसाल,स्वतन्त्र,नट बोल्ट,21,पुरुष,38,,लुम्बिनी प्रदेश,अर्घाखाँची,1,स्‍नातक,सामाजिक कार्यमा क्रियाशिल,,T.U
15,पम्फा श्रेष्ठ,स्वतन्त्र,गमबुट,3,महिला,31,,लुम्बिनी प्रदेश,अर्घाखाँची,1,साक्षर,,पिछडिएको समाज तथा महिलाको हितकालागी योगदान गर्नेछु।,
