Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,मोहन लाल आचार्य,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,34148,पुरुष,53,लुम्बिनी प्रदेश,कपिलबस्तु,1,स्नोकोत्तर,"संविधान तथा कानुन क्षेत्रमा कार्यगरेको, मानवअधिकार",,टि.यु.
2,आशिष शर्मा,स्वतन्त्र,जीप,15860,पुरुष,46,लुम्बिनी प्रदेश,कपिलबस्तु,1,BBS,,,TU
3,अतहर कमाल मुसलमान,नेपाली काँग्रेस,रुख,14582,पुरुष,55,लुम्बिनी प्रदेश,कपिलबस्तु,1,ISc,"संविधानसभा सदस्य २०७०
प्रतिनिधिसभा सदस्य २०७४",,"शिवपति इन्टर कलेज सोहरतगढ, भारत"
4,विश्राम प्रसाद चौधरी,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,7981,पुरुष,58,लुम्बिनी प्रदेश,कपिलबस्तु,1,आई ए,संविधान सभा सदस्य,,
5,कृष्ण बहादुर कुँवर,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,4616,पुरुष,55,लुम्बिनी प्रदेश,कपिलबस्तु,1,IA,,,Tribhuvan University
6,शत्रुघन बिलास सिंह कुर्मी,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,2127,पुरुष,48,लुम्बिनी प्रदेश,कपिलबस्तु,1,SLC,,,संस्कृति मा.वि.
7,नरेन्‍द्र प्रसाद चौधरी,जनमत पार्टी,लाउड स्पिकर,1889,पुरुष,55,लुम्बिनी प्रदेश,कपिलबस्तु,1,BE electricals,"२०७९ प्रतिनिधि सभा चुनाव लडेको, हाइड्रोपावर सेक्टरमा काम",,"Banglore, India"
8,बब्बु सिंह यादव,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,1485,पुरुष,30,लुम्बिनी प्रदेश,कपिलबस्तु,1,+2,,,श्री छत्रपाली तिर्थादेवी मा.वि. पकडी
9,दरोगा प्रसाद कुर्मी,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,439,पुरुष,67,लुम्बिनी प्रदेश,कपिलबस्तु,1,"बि एससी, एलएलबी (एभो)",कपिलवस्तु एग्रो प्रा.लि. क.व,,गोरखपुर विश्वविद्यालय युपी
10,भग्गु प्रसाद चौधरी थारु,"नागरिक उन्मुक्ति पार्टी, नेपाल(एकल चुनाव चिन्ह)",चकिया (जाँतो),332,पुरुष,56,लुम्बिनी प्रदेश,कपिलबस्तु,1,SLC,,,हेमराज मा.वि.
11,निसार अहमद मुसलमान,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,304,पुरुष,40,लुम्बिनी प्रदेश,कपिलबस्तु,1,कक्षा ८,,,
12,संघ प्रसाद थारु,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,294,पुरुष,56,लुम्बिनी प्रदेश,कपिलबस्तु,1,SLC,संविधान सभा सदस्य (२०६४-२०६८),,"श्री हेमराज मा.वि., हथौसा, कपिलवस्तु"
13,माधव भाट,राष्ट्रिय जनमोर्चा,गिलास,243,पुरुष,45,लुम्बिनी प्रदेश,कपिलबस्तु,1,SLC,"व्यापार, पत्रकारिता",,"शान्ति मा वि, अ.खा."
14,जयवन्त विक्रम शाह,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",षटकोण,203,पुरुष,66,लुम्बिनी प्रदेश,कपिलबस्तु,1,एमबिइ एच,फार्मेसी सञ्चालन,,महाराजगञ्ज शिक्षण अस्पताल
15,मनोज कुमार शुक्ल,नेपाल जनता पार्टी,कमलको फूल,89,पुरुष,36,लुम्बिनी प्रदेश,कपिलबस्तु,1,SLC,,,
16,कैसर जहा भन्ने सकिना मुस्लीम​,स्वतन्त्र,प्रेसर कुकर,89,महिला,37,लुम्बिनी प्रदेश,कपिलबस्तु,1,,,,
17,अब्दुल्लाह मुसलमान,राष्ट्रिय जनमत पार्टी,बुल्डोजर,69,पुरुष,42,लुम्बिनी प्रदेश,कपिलबस्तु,1,नौ कक्षा,,,
18,शंकर भाटक्षेत्री,स्वतन्त्र,बाकस,53,पुरुष,43,लुम्बिनी प्रदेश,कपिलबस्तु,1,SLC,,,प्रभाकर मा.वि. सिमलपानी अ.खा.
19,राम गोपाल कुर्मी,स्वतन्त्र,रिक्सा,47,पुरुष,61,लुम्बिनी प्रदेश,कपिलबस्तु,1,साधारण लेखपढ,सामाजिक कार्य,,
20,सुरेन्द्र कुमार शुक्ल,स्वतन्त्र,हारमोनियम,47,पुरुष,50,लुम्बिनी प्रदेश,कपिलबस्तु,1,बिए,,,
21,केशर बहादुर सूर्यवंशी,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,40,पुरुष,43,लुम्बिनी प्रदेश,कपिलबस्तु,1,,,,शिव मदन मा.वि. अ.खा.
22,नरेन्द्र वहादुर वेल्बासे,स्वतन्त्र,पंखा,38,पुरुष,59,लुम्बिनी प्रदेश,कपिलबस्तु,1,SLC,,,"ज्योति मा.वि., ठाडा, अ.खा."
23,कल्याण टण्‍डन,स्वतन्त्र,त्रिभुज,34,पुरुष,48,लुम्बिनी प्रदेश,कपिलबस्तु,1,+2,,,
24,रबिन कार्की,नेपाल जनसेवा पार्टी,सेतो र कालो रङगको जुत्ता,27,पुरुष,29,लुम्बिनी प्रदेश,कपिलबस्तु,1,+2,,,
25,नुमा बि.क,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,24,महिला,40,लुम्बिनी प्रदेश,कपिलबस्तु,1,SLC,,,
26,शिव बहादुर दर्जी,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,22,पुरुष,37,लुम्बिनी प्रदेश,कपिलबस्तु,1,प्रविणता प्रमाणपत्र,निजि विद्यालय शिक्षक,,बुटवल बहुमुखी क्याम्पस
27,प्रकाश भुसाल,स्वतन्त्र,सिरिन्ज,20,पुरुष,45,लुम्बिनी प्रदेश,कपिलबस्तु,1,आईए,,,कपिलवस्तु बहुमुखी क्याम्पस तौलिहवा
28,धर्मेन्दर पासी,स्वतन्त्र,हजारी,16,पुरुष,36,लुम्बिनी प्रदेश,कपिलबस्तु,1,+2,,,
29,चन्द्र कुमार बढई,स्वतन्त्र,पानीको फिल्टर,13,पुरुष,29,लुम्बिनी प्रदेश,कपिलबस्तु,1,उच्च माध्यमिक तह,सामाजिक काम,,सिद्धार्थ विद्यामन्दिर तौलिहवा कपिलवस्तु
30,वुद्धि नाथ पोखरेल,स्वतन्त्र,क्याप,8,पुरुष,47,लुम्बिनी प्रदेश,कपिलबस्तु,1,BA,,,
31,सुर्य प्रसाद बराल,स्वतन्त्र,मुढा,8,पुरुष,52,लुम्बिनी प्रदेश,कपिलबस्तु,1,SLC,"सामाजिक, राजनैतिक क्रियाकलाप",,पशुपति मा.वि. सालझण्डी
32,अब्दुल रहमान -,स्वतन्त्र,कैंची,5,पुरुष,45,लुम्बिनी प्रदेश,कपिलबस्तु,1,एमए उर्दु,,,
33,राम नारायण थारु,स्वतन्त्र,स्टुल,5,पुरुष,53,लुम्बिनी प्रदेश,कपिलबस्तु,1,SLC,,,बाणगङ्गा मा.वि. गजेहडा
34,माधव प्रसाद खनाल  (उपाध्याय),स्वतन्त्र,आँप,4,पुरुष,57,लुम्बिनी प्रदेश,कपिलबस्तु,1,SLC,निर्माण व्यवसाय,,"जनता मा.वि. पिपरा, कपिलवस्तु"
