Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,विक्रम थापा,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,27635,पुरुष,63,Elected,लुम्बिनी प्रदेश,कपिलबस्तु,2,वि.एस.सी.,सेवन निर्वित,.......,भारत
2,सुरेन्द्र राज आचार्य,नेपाली काँग्रेस,रुख,21527,पुरुष,67,,लुम्बिनी प्रदेश,कपिलबस्तु,2,स्नातक,पूर्व मन्त्री,....,त्रि.वी.
3,बृजेश कुमार गुप्‍त,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,20482,पुरुष,55,,लुम्बिनी प्रदेश,कपिलबस्तु,2,बी.एस.सी.इलेक्ट्रिकल,"प्रतिनिधि सभा सदस्य २ पटक
संबिधान सभा सदस्य २ पटक
भौतिक योजना तथा निर्माण मन्त्री
कानून मन्त्री",....,अलिगढ मुस्लिम विश्वविद्यालय
4,द‍ृग नरायण पाण्‍डेय,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,7357,पुरुष,63,,लुम्बिनी प्रदेश,कपिलबस्तु,2,आई.ए.सी.,"राष्ट्रिय सभा सदस्य
पूर्व सांसद आदीि",.......,त्रि.वी. काठमाण्डौ 
5,विष्णु प्रसाद भण्डारी,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,1181,पुरुष,46,,लुम्बिनी प्रदेश,कपिलबस्तु,2,स्नाकोत्तर,...,...,त्रिभुवन विश्वविद्यालय
6,मुरली कुर्मी,जनमत पार्टी,लाउड स्पिकर,381,पुरुष,65,,लुम्बिनी प्रदेश,कपिलबस्तु,2,वि.एस.सी.व.एल,सेवा निर्वित,........,भारत
7,राम चन्द्र कोरी,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,344,पुरुष,48,,लुम्बिनी प्रदेश,कपिलबस्तु,2,10+2,सामाजिक अभियान्ता,.....,जवहारलाल कलेज भारत
8,अब्दुल गफ्फार अन्सारी,स्वतन्त्र,सिरिन्ज,221,पुरुष,34,,लुम्बिनी प्रदेश,कपिलबस्तु,2,10+2,.......,......,कनक मुनी उच्च मावी
9,राज मंगल थारु,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,194,पुरुष,54,,लुम्बिनी प्रदेश,कपिलबस्तु,2,अन्डर slc,....,....,श्री कनकमुनी उच्च मा.वि. जगदिशपुर क.व.
10,राम नेवास यादव,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,114,पुरुष,49,,लुम्बिनी प्रदेश,कपिलबस्तु,2,S.L.C.,सामाजीक कार्य,....,रत्नराज्य मावी कपिलवस्तु
