Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,अभिषेक प्रताप शाह,नेपाली काँग्रेस,रुख,23535,पुरुष,43,लुम्बिनी प्रदेश,कपिलबस्तु,3,,,,
2,प्रकाश रजौरिया,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,18890,पुरुष,52,लुम्बिनी प्रदेश,कपिलबस्तु,3,स्नातक तह,,,
3,बीरेन्द्र कुमार कानोडिया,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,14763,पुरुष,66,लुम्बिनी प्रदेश,कपिलबस्तु,3,BA LLB,,,लखनउ विश्व विद्यालय भारत
4,ईश्वर दयाल मिश्र,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),चकिया (जाँतो),5017,पुरुष,59,लुम्बिनी प्रदेश,कपिलबस्तु,3,आधारभुत तह,"संविधान सभा सदस्य २०६४
भौतिक योजना तथा निर्माण (राज्यमन्त्री)",,राम गोरखा मा वि बहादुरगंज कपिलवस्तु
5,एहसान अहमद खाँ,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,4251,पुरुष,62,लुम्बिनी प्रदेश,कपिलबस्तु,3,माध्यमिक शिक्षा परिषद उत्तर प्रदेश,,,+2
6,विनोद लुईटेल,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,572,पुरुष,33,लुम्बिनी प्रदेश,कपिलबस्तु,3,स्नातक तह,,,TU KTM
7,प्रेम शंकर शुक्ल,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,536,पुरुष,46,लुम्बिनी प्रदेश,कपिलबस्तु,3,slc,,,
8,ईश्‍वर कुमार राउत,जनमत पार्टी,लाउड स्पिकर,339,पुरुष,51,लुम्बिनी प्रदेश,कपिलबस्तु,3,+2,,,
9,इन्तजार खाँ,स्वतन्त्र,चेसगोटी,332,पुरुष,52,लुम्बिनी प्रदेश,कपिलबस्तु,3,10+2,,,UP Board India
10,केर सिंह अदै,राष्ट्रिय जनमोर्चा,गिलास,267,पुरुष,52,लुम्बिनी प्रदेश,कपिलबस्तु,3,SLC,,,महाकवि देवकोटा मा वि सुनवल नवलपरासी
11,जोगी पुरी गोसाई,नेपाल जनता पार्टी,कमलको फूल,254,पुरुष,57,लुम्बिनी प्रदेश,कपिलबस्तु,3,कक्षा ८,,,राम गोरखा मावी क.व.
12,हरि ओम तुलस्यान,स्वतन्त्र,टायर,71,पुरुष,55,लुम्बिनी प्रदेश,कपिलबस्तु,3,,,,
13,मोहम्मद रफिक मियाँ,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,47,पुरुष,41,लुम्बिनी प्रदेश,कपिलबस्तु,3,,,,
14,दुर्गा प्रसाद उपाध्याय,स्वतन्त्र,व्याडमिन्टन कर्क,46,पुरुष,40,लुम्बिनी प्रदेश,कपिलबस्तु,3,,,,
15,अलाहुद्दीन दर्जी,बहुजन शक्ति पार्टी,जग,45,पुरुष,61,लुम्बिनी प्रदेश,कपिलबस्तु,3,,,,
16,आनन्द प्रकाश यादव,स्वतन्त्र,त्रिभुज,34,पुरुष,34,लुम्बिनी प्रदेश,कपिलबस्तु,3,,,,
17,चिन्ता बहादुर दर्जी,स्वतन्त्र,क्यामरा,29,पुरुष,38,लुम्बिनी प्रदेश,कपिलबस्तु,3,प्रमाणपत्र तह,"पत्रकारिता क्षेत्रमा २ दशक बढि सकृय
जातिय समानताका लागि सामाजिक परिवर्तन गर्न अभियन्ताका रुपमा कार्यरत",,समयथान मावि खरेन्द्रपुर क.व.
18,बाल किसुन मुराउ (मौर्य),स्वतन्त्र,पंखा,15,पुरुष,53,लुम्बिनी प्रदेश,कपिलबस्तु,3,,,,
19,बुद्धिसागर शुक्ल,स्वतन्त्र,केबल कार,13,पुरुष,66,लुम्बिनी प्रदेश,कपिलबस्तु,3,आधारभूत तह,,,
20,शर्वेस पाण्डेय,स्वतन्त्र,प्रेसर कुकर,13,पुरुष,30,लुम्बिनी प्रदेश,कपिलबस्तु,3,10+2,,,
21,सुग्रीम लोनिया,स्वतन्त्र,जुवा,12,पुरुष,33,लुम्बिनी प्रदेश,कपिलबस्तु,3,slc,,,
22,अब्दुलहमीद वेग,स्वतन्त्र,आरी,11,पुरुष,70,लुम्बिनी प्रदेश,कपिलबस्तु,3,,,,
23,मकसुद मियाँ,स्वतन्त्र,जीप,11,पुरुष,67,लुम्बिनी प्रदेश,कपिलबस्तु,3,SLC,,,
24,अशोक कुमार यादव,"जनता लोकतान्त्रिक पार्टी, नेपाल",भैँसी,10,पुरुष,42,लुम्बिनी प्रदेश,कपिलबस्तु,3,स्नातक,अध्यापन गरेको ।,जनतालाई प्रक्षित गर्ने आदी,जनता मा वि गडवा दाङ
25,नूरुल कमर खाँ,स्वतन्त्र,आँप,10,पुरुष,57,लुम्बिनी प्रदेश,कपिलबस्तु,3,+2,,,
26,बालजी प्रसाद यादव,स्वतन्त्र,हेल्मेट,10,पुरुष,49,लुम्बिनी प्रदेश,कपिलबस्तु,3,+2,,,
27,कृष्ण कुमार उपाध्याय,स्वतन्त्र,कप र प्लेट,9,पुरुष,46,लुम्बिनी प्रदेश,कपिलबस्तु,3,,,,
28,थर्क वहादुर खन्गाहा,स्वतन्त्र,झोला,9,पुरुष,50,लुम्बिनी प्रदेश,कपिलबस्तु,3,,,,
29,मनीष कुमार कानोडिया,स्वतन्त्र,दूरबिन,9,पुरुष,48,लुम्बिनी प्रदेश,कपिलबस्तु,3,,,,
30,पंकाज कुमार चौधरी,स्वतन्त्र,पेट्रोल पम्प,7,पुरुष,26,लुम्बिनी प्रदेश,कपिलबस्तु,3,,,,
31,राम निवास नाऊ,स्वतन्त्र,टि टेवल,7,पुरुष,53,लुम्बिनी प्रदेश,कपिलबस्तु,3,SLC,,,
32,हरिराम तेली,स्वतन्त्र,सिरिन्ज,4,पुरुष,59,लुम्बिनी प्रदेश,कपिलबस्तु,3,5,,,
33,औसाफ अहमद खाँ,स्वतन्त्र,स्टुल,2,पुरुष,37,लुम्बिनी प्रदेश,कपिलबस्तु,3,,,,
34,मनोज कुमार चतुर्वेदी,स्वतन्त्र,कैंची,2,पुरुष,39,लुम्बिनी प्रदेश,कपिलबस्तु,3,,,,
35,परमेश्‍वर दयाल मिश्र,स्वतन्त्र,बाकस,1,पुरुष,53,लुम्बिनी प्रदेश,कपिलबस्तु,3,स्नातकतह,,,
36,हरीराम प्रसाद यादव,स्वतन्त्र,रिक्सा,1,पुरुष,55,लुम्बिनी प्रदेश,कपिलबस्तु,3,10+2,,,UP board India
