Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,सागर ढकाल,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,29642,पुरुष,34,लुम्बिनी प्रदेश,गुल्मी,1,MSC,उर्जा तथा जलस्रोत क्षेत्रमा १० वर्ष भन्दा बढिको अनुभव १० भन्दा बढि देशहरुमा अनुभव,,Oxford University UK
2,प्रदिप कुमार ज्ञवाली,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,15181,पुरुष,64,लुम्बिनी प्रदेश,गुल्मी,1,स्वअध्ययन,"प्रतिनिधि सभा सदस्य (२०५६ र २०७४)
संविधान सभा सदस्य (२०६४)
परराष्ट्र मन्‍‍त्री (२०७४) पर्यटन मन्‍‍‍त्री (२०६३)",,
3,चन्द्रकान्त भण्डारी,नेपाली काँग्रेस,रुख,13505,पुरुष,64,लुम्बिनी प्रदेश,गुल्मी,1,पि.एच.डि.,,,T.U.
4,सुदर्शन वराल,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,3167,पुरुष,49,लुम्बिनी प्रदेश,गुल्मी,1,स्‍नातकोत्तर,संविधान सभा सदस्य (२०६४) लुम्बिनी प्रदेशको सामाजिक विकास मन्त्री र राजनितिक अनुभव,,T.U.
5,शेर बहादुर थापा,राष्ट्रिय जनमोर्चा,गिलास,671,पुरुष,46,लुम्बिनी प्रदेश,गुल्मी,1,आई.ए.,,,जनकल्याण मा.वि.
6,घन श्‍याम गौतम,स्वतन्त्र,चेसगोटी,362,पुरुष,60,लुम्बिनी प्रदेश,गुल्मी,1,आई.ए.,सामाजिक सेवा,,आर.आर. क्याम्पस
7,अजित कुमार श्रेष्‍ठ,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,130,पुरुष,60,लुम्बिनी प्रदेश,गुल्मी,1,एस.एल.सी.,,,रिडी मा.वि.
8,लोक बहादुर थापा,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,72,पुरुष,39,लुम्बिनी प्रदेश,गुल्मी,1,सामान्य ,,,ग्वाघा मा.वि.
9,खडक वहादुर गुरुङ,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,39,पुरुष,54,लुम्बिनी प्रदेश,गुल्मी,1,स्नातक,,,एफ.एफ.सी. पुना
10,टोप बहादुर थापा,स्वतन्त्र,मुढा,25,पुरुष,49,लुम्बिनी प्रदेश,गुल्मी,1,८ पास,,,महेन्द्र मा.वि. गुल्मी तमघास
11,चेतन बहादुर बस्नेत,स्वतन्त्र,केबल कार,23,पुरुष,61,लुम्बिनी प्रदेश,गुल्मी,1,एस.एल.सी.,,,
12,मैया लक्ष्मी त्यात,नेपाल मजदुर किसान पार्टी,मादल,21,महिला,43,लुम्बिनी प्रदेश,गुल्मी,1,I.A.,,,bhaktapur campus
13,सिखा रेश्मी,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,20,महिला,39,लुम्बिनी प्रदेश,गुल्मी,1,एस.एल.सी.,,,दौघा मा.वि.
14,प्रेमलाल भण्‍डारी,स्वतन्त्र,स्प्रे,6,पुरुष,59,लुम्बिनी प्रदेश,गुल्मी,1,I.A.,,,बुटवल बहुमुखी क्याम्पस
15,लक्ष्मण भण्डारी,स्वतन्त्र,तिलहरी,6,पुरुष,50,लुम्बिनी प्रदेश,गुल्मी,1,एस.एल.सी.,व्यापार,,
16,मेघ बहादुर गाहा,स्वतन्त्र,पंखा,4,पुरुष,65,लुम्बिनी प्रदेश,गुल्मी,1,एस.एल.सी.,,,
17,यम बहादुर श्रेष्‍ठ,स्वतन्त्र,जीप,4,पुरुष,58,लुम्बिनी प्रदेश,गुल्मी,1,,,,
18,कृष्ण बहादुर सुनार,स्वतन्त्र,जुवा,1,पुरुष,53,लुम्बिनी प्रदेश,गुल्मी,1,९ पास,कृषि,,श्रृङ्गा जनता मा.वि. छत्रकोट
19,सुर्य बहादुर सोनी सुनार,स्वतन्त्र,फिरफिरे,1,पुरुष,50,लुम्बिनी प्रदेश,गुल्मी,1,,,,
20,प्रेम प्रसाद श्रेष्‍ठ,स्वतन्त्र,प्रेसर कुकर,0,पुरुष,64,लुम्बिनी प्रदेश,गुल्मी,1,साक्षार,,,
21,विमल ज्ञवाली,स्वतन्त्र,बकुल्लो,0,पुरुष,39,लुम्बिनी प्रदेश,गुल्मी,1,स्नातक,,,T.U.
