Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,गोविन्द पन्थी,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,16967,पुरुष,51,Elected,लुम्बिनी प्रदेश,गुल्मी,2,MPA/BL,प्रहरी सेवा/कानून व्यवसाही,,T.U
2,गोकर्ण राज विष्‍ट,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,16406,पुरुष,60,,लुम्बिनी प्रदेश,गुल्मी,2,B.L/M.Com (अध्ययनरत),"मन्त्री २ पटक, ३ पटक प्रतिनिधि सभा सदस्य, १ पटक संविधानसभा सदस्य",-,T.U
3,भुवन प्रसाद श्रेष्ठ,नेपाली काँग्रेस,रुख,14434,पुरुष,59,,लुम्बिनी प्रदेश,गुल्मी,2,-,-,-,-
4,श्रीराम महत,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,3081,पुरुष,34,,लुम्बिनी प्रदेश,गुल्मी,2,स्नातकोत्तर (अंग्रेजी),"राजनीतिक, सामाजिक",,T.U
5,लाल बहादुर थापा क्षत्री,राष्ट्रिय जनमोर्चा,गिलास,354,पुरुष,49,,लुम्बिनी प्रदेश,गुल्मी,2,+2,"बैदेशिक रोजगार, व्यवसाय",,बैदेशिक
6,सन्ते नेपाली,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,223,पुरुष,52,,लुम्बिनी प्रदेश,गुल्मी,2,आठ पास,-,-,-
7,जनक सेन,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,202,पुरुष,35,,लुम्बिनी प्रदेश,गुल्मी,2,बि.ए.,-,-,पृथ्वी मा.वि.
8,कर्ण  बहादुर  थापा,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,123,पुरुष,40,,लुम्बिनी प्रदेश,गुल्मी,2,एस.एल.सी.,भारतीय पुर्व सैनिक,-,पृथ्वी मा.वि.
9,बेद बहादुर थापा,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,37,पुरुष,55,,लुम्बिनी प्रदेश,गुल्मी,2,साक्षर,,,नयाँगाउँ मा.वि.नयाँगाउँ
10,भागिरथ थापा,स्वतन्त्र,माना पाथी,30,पुरुष,42,,लुम्बिनी प्रदेश,गुल्मी,2,-,-,-,-
11,पदम थापा मगर,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,23,पुरुष,49,,लुम्बिनी प्रदेश,गुल्मी,2,+2,"राजनीतिक, व्यापार र चालक", निर्वाचन धाधली रहित र स्वच्छ बातावरणमा सम्पन्न होस् ।,पाञ्चायन मा.वि
12,कुमारी हरिकला श्रीस मगर,स्वतन्त्र,मुढा,19,महिला,54,,लुम्बिनी प्रदेश,गुल्मी,2,-,-,-,-
13,लोक बहादुर पुन,स्वतन्त्र,तिलहरी,9,पुरुष,50,,लुम्बिनी प्रदेश,गुल्मी,2,एस.एल.सी.,-,-,-
14,मालता घिमिरे,स्वतन्त्र,पानीको जार,7,महिला,50,,लुम्बिनी प्रदेश,गुल्मी,2,साक्षर,-,-,-
15,श्री खुविराम  आचार्य,स्वतन्त्र,हटकेस,6,पुरुष,55,,लुम्बिनी प्रदेश,गुल्मी,2,आइ.ए.,-,-,रेसुङ्गा बहुमुखी क्याम्पस
16,महेश्‍वर घिमिरे,स्वतन्त्र,कैंची,5,पुरुष,46,,लुम्बिनी प्रदेश,गुल्मी,2,+2,-,-,रेसुङ्गा बहुमुखि क्याम्पस
17,राम प्रसाद पोख्रेल,स्वतन्त्र,हेल्मेट,4,पुरुष,47,,लुम्बिनी प्रदेश,गुल्मी,2,S.L.C,-,-,महेन्द्र मा.वि.
18,सरस्वती लम्साल,स्वतन्त्र,कप र प्लेट,4,महिला,38,,लुम्बिनी प्रदेश,गुल्मी,2,एस.एल.सी.,-,-,-
19,नरेन्द्र प्रसाद रिजाल,स्वतन्त्र,क्यामरा,3,पुरुष,58,,लुम्बिनी प्रदेश,गुल्मी,2,एस.एल.सी.,शिक्षक / राजनीति,-,-
20,फर्सुराम कडेल,स्वतन्त्र,भँगेरा,3,पुरुष,52,,लुम्बिनी प्रदेश,गुल्मी,2,साक्षर,-,-,-
21,भुमिराज सापकोटा,स्वतन्त्र,नरिवल,2,पुरुष,30,,लुम्बिनी प्रदेश,गुल्मी,2,-,-,-,-
22,सुरेन्द्र पाण्डेय,स्वतन्त्र,सेलरोटी,2,पुरुष,53,,लुम्बिनी प्रदेश,गुल्मी,2,S.L.C,-,-,हिमालय मा.वि
