Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,देवराज पाठक,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,42602,पुरुष,60,लुम्बिनी प्रदेश,दाङ,1,एम.ए.,,,
2,योगेन्द्र चौधरी,नेपाली काँग्रेस,रुख,15280,पुरुष,51,लुम्बिनी प्रदेश,दाङ,1,स्तानकोत्तर,,,
3,रेवतीरमण शर्मा घिमिरे,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,6825,पुरुष,68,लुम्बिनी प्रदेश,दाङ,1,स्तानकोत्तर,,,
4,मेटमणी चौधरी,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,4965,पुरुष,52,लुम्बिनी प्रदेश,दाङ,1,MA Economics MA Political Science,,,
5,प्रकाश शाही,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,1472,पुरुष,40,लुम्बिनी प्रदेश,दाङ,1,एम.फिल.,,,
6,कुल प्रसाद के.सी,स्वतन्त्र,आँप,1384,पुरुष,55,लुम्बिनी प्रदेश,दाङ,1,आइ ए,,,
7,विनय वि.सी.,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,1292,पुरुष,32,लुम्बिनी प्रदेश,दाङ,1,स्नातकोत्तर,,,
8,गणेश प्रसाद आचार्य,राष्ट्रिय जनमोर्चा,गिलास,1077,पुरुष,44,लुम्बिनी प्रदेश,दाङ,1,स्नातक,,,
9,मालिकराम यादव,स्वतन्त्र,चेसगोटी,1008,पुरुष,69,लुम्बिनी प्रदेश,दाङ,1,एस एल सि,,,
10,मिन बहादुर ठेडी मगर,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,193,पुरुष,48,लुम्बिनी प्रदेश,दाङ,1,10,,,
11,खुम बहादुर गाहा मगर,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,141,पुरुष,46,लुम्बिनी प्रदेश,दाङ,1,+ 2,,,
12,भरतलाल चौधरी,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,81,पुरुष,47,लुम्बिनी प्रदेश,दाङ,1,एस.एल.सी.,,,
13,सिताराम यादव,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,48,पुरुष,50,लुम्बिनी प्रदेश,दाङ,1,साधारण,,,
14,रन्जित चौधरी,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,21,पुरुष,32,लुम्बिनी प्रदेश,दाङ,1,+ 2,,,
