Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,कमल सुबेदी,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,44248,पुरुष,38,लुम्बिनी प्रदेश,दाङ,3,एम.ए. (राजनितिशास्त्र),,,त्रिभुवन विश्वविद्यालय
2,दिपक गिरी,नेपाली काँग्रेस,रुख,16453,पुरुष,63,लुम्बिनी प्रदेश,दाङ,3,एम.ए.,,,त्रिभुवन विश्वविद्यालय
3,घनश्याम पाण्डे,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,12195,पुरुष,52,लुम्बिनी प्रदेश,दाङ,3,"MA, LLB, BSC",,,त्रिभुवन बिश्वबिद्यालय
4,धन बहादुर मास्की,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,9328,पुरुष,49,लुम्बिनी प्रदेश,दाङ,3,आई.ए.,,,"डि.ए.बि. कलेज, काठमाण्डौ"
5,दामोदर भण्डारी,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,1057,पुरुष,57,लुम्बिनी प्रदेश,दाङ,3,B.Com पास,,,महेन्द्र बहुमुखि क्यामपस नेपालगञ्ज बाँके
6,बल बहादुर ओली,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,425,पुरुष,69,लुम्बिनी प्रदेश,दाङ,3,८ कक्षा पास,,,
7,टोप बहादुर महतरा,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,227,पुरुष,54,लुम्बिनी प्रदेश,दाङ,3,,,,
8,प्रितम चौधरी,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,181,पुरुष,44,लुम्बिनी प्रदेश,दाङ,3,१०,,,महेन्द्र मा.वि. तुलसीपुर दाङ
9,कमला जि सी,राष्ट्रिय जनमोर्चा,गिलास,180,महिला,63,लुम्बिनी प्रदेश,दाङ,3,कक्षा १० उत्तिर्ण,,,गंगा मा.वि. बाहाने प्यूठान
10,यम बहादुर वस्नेत,स्वतन्त्र,क्यामरा,155,पुरुष,38,लुम्बिनी प्रदेश,दाङ,3,IA पास,,,श्री राप्ती बबई क्याम्पस तुलसीपुर दाङ
11,घनश्याम चौधरी,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,144,पुरुष,44,लुम्बिनी प्रदेश,दाङ,3,‌‌+२ पास,,,बबई बहुमुखी क्याम्पस
12,दलविर कामी,संयुक्त नागरिक पार्टी,गितार,94,पुरुष,59,लुम्बिनी प्रदेश,दाङ,3,प्रा.वि.,,,
13,महेश चौधरि,"नागरिक उन्मुक्ति पार्टी, नेपाल(एकल चुनाव चिन्ह)",चकिया (जाँतो),55,पुरुष,36,लुम्बिनी प्रदेश,दाङ,3,+२ पास,,,राप्ती बिद्या मन्दिर तुलसीपुर दाङ
14,शोभा  डाँगी,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,24,महिला,43,लुम्बिनी प्रदेश,दाङ,3,१० पास,,,टेकुरा हाइ स्कुल
15,सप्रिक कंडेल,स्वतन्त्र,सिरिन्ज,14,पुरुष,32,लुम्बिनी प्रदेश,दाङ,3,‌+२ पास,,,"श्री अमरज्योती माध्यमिक विद्यालय, नेवारे सुर्खेत"
16,भागिराम चौधरी,स्वतन्त्र,ढिकी,11,पुरुष,31,लुम्बिनी प्रदेश,दाङ,3,SLC पास,,,मा.वि. हरिचौरी
17,सन्तोष सिंह,मितेरी पार्टी नेपाल,घोडा,10,पुरुष,45,लुम्बिनी प्रदेश,दाङ,3,SLC,,,श्री त्रिभुवन जनता मा.वि. सल्यान
18,इन्द्र बहादुर बस्नेत,स्वतन्त्र,त्रिभुज,10,पुरुष,35,लुम्बिनी प्रदेश,दाङ,3,९ कक्षा,,,
19,पाण्डवी नेपाली,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,8,महिला,47,लुम्बिनी प्रदेश,दाङ,3,,,,
20,महेश डाँगी,स्वतन्त्र,क्याप,8,पुरुष,40,लुम्बिनी प्रदेश,दाङ,3,SLC,,,मा.वि. अस्वारा
21,प्रेम वहादुर वली,स्वतन्त्र,रिक्सा,7,पुरुष,32,लुम्बिनी प्रदेश,दाङ,3,SLC,,,गुरु जजुर मा.वि. रक्षाचौर दाङ
22,भरत परियार,स्वतन्त्र,जीप,6,पुरुष,42,लुम्बिनी प्रदेश,दाङ,3,८ कक्षा उत्तिर्ण,,,श्रीगाउँ दाङ
23,सुरेश नेपाली,स्वतन्त्र,आँप,1,पुरुष,31,लुम्बिनी प्रदेश,दाङ,3,SLC उत्तिर्ण,,,सेन्टर मा.वि. तुलसीपुर दाङ
