Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,विक्रम खनाल,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,45241,पुरुष,55,Elected,लुम्बिनी प्रदेश,नवलपरासी (बर्दघाट सुस्ता पश्चिम),1,स्नातक,,,त्रिभुवन विश्वविद्यालय
2,विनोद कुमार चौधरी,नेपाली काँग्रेस,रुख,9502,पुरुष,70,,लुम्बिनी प्रदेश,नवलपरासी (बर्दघाट सुस्ता पश्चिम),1,स्नातक,,,सरस्वती क्याम्पस
3,राम प्रसाद पाण्डेय,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,7956,पुरुष,51,,लुम्बिनी प्रदेश,नवलपरासी (बर्दघाट सुस्ता पश्चिम),1,स्नातकोत्तर,,,त्रिभुवन विश्वविद्यालय
4,हृदयेश त्रिपाठी,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,7832,पुरुष,66,,लुम्बिनी प्रदेश,नवलपरासी (बर्दघाट सुस्ता पश्चिम),1,स्नातक,,,इन्सिट्युट अफ ओरिएन्टेसन साइन्सेस मोस्को
5,नवनित कुमार मिश्र,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,1593,पुरुष,30,,लुम्बिनी प्रदेश,नवलपरासी (बर्दघाट सुस्ता पश्चिम),1,‌+2,,,गिनिज इन्टरनेशनल कलेज गौशाला काठमाडौं
6,सिन्‍धु जलेसा बुढाथोकी,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,1056,महिला,56,,लुम्बिनी प्रदेश,नवलपरासी (बर्दघाट सुस्ता पश्चिम),1,विदया वारिणी,,,नेपाल संस्कृत विश्वविद्यालय
7,राजु प्रसाद हरिजन,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,751,पुरुष,50,,लुम्बिनी प्रदेश,नवलपरासी (बर्दघाट सुस्ता पश्चिम),1,८ कक्षा,,,नित्यानन्द रतन कुमारी मा.वि.
8,भिमसेन सुतप्राई मगर,स्वतन्त्र,चेसगोटी,733,पुरुष,54,,लुम्बिनी प्रदेश,नवलपरासी (बर्दघाट सुस्ता पश्चिम),1,९ कक्षा,,,सरस्वती मा.वि. कुन्जनपुर
9,रामचन्द्र चौधरी थारु,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,586,पुरुष,39,,लुम्बिनी प्रदेश,नवलपरासी (बर्दघाट सुस्ता पश्चिम),1,SLC,,,पवन मा.वि.
10,गणेश बहादुर चौधरी,जनमत पार्टी,लाउड स्पिकर,500,पुरुष,59,,लुम्बिनी प्रदेश,नवलपरासी (बर्दघाट सुस्ता पश्चिम),1,BSc AG,,,रामपुर क्याम्पस चितवन
11,बिजय कंडेल,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,346,पुरुष,41,,लुम्बिनी प्रदेश,नवलपरासी (बर्दघाट सुस्ता पश्चिम),1,PHD Scholar,,,नेपाल संस्कृत विश्वविद्यालय
