Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,नरेन्द्र कुमार गुप्‍ता,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,44138,पुरुष,51,लुम्बिनी प्रदेश,नवलपरासी (बर्दघाट सुस्ता पश्चिम),2,स्नातक,पूर्व मेयर रामग्राम नगरपालिका,उल्लेख नभएको,त्रिभुवन विश्वविद्यालय
2,भीम बहादुर थापा क्षेत्री,नेपाली काँग्रेस,रुख,15945,पुरुष,54,लुम्बिनी प्रदेश,नवलपरासी (बर्दघाट सुस्ता पश्चिम),2,S.L.C.,पूर्व नगर प्रमुख,उल्लेख नभएको,महाकवी देवकोटा मा वि
3,देबेन्‍द्र यादव,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,7212,पुरुष,36,लुम्बिनी प्रदेश,नवलपरासी (बर्दघाट सुस्ता पश्चिम),2,ISC,शिक्षक पेशा,नखुलेको,आर्दश इन्टरकलेज भारत
4,धुब्र बहादुर प्रधान,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,4691,पुरुष,77,लुम्बिनी प्रदेश,नवलपरासी (बर्दघाट सुस्ता पश्चिम),2,स्नाकोत्तर,पूर्व कानून न्याय तथा संसदिय व्यवसायी मन्त्री,,त्रिभुवन विश्वविद्यालय
5,लेखनाथ खरेल,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,4311,पुरुष,51,लुम्बिनी प्रदेश,नवलपरासी (बर्दघाट सुस्ता पश्चिम),2,प्रविणता प्रमाण पत्र तह,विभन्न संघ सस्था तथा सहकारी,उल्लेख नभएको,त्रिभुवन विश्वविद्यालय
6,गोविन्‍द प्रसाद चौधरी,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),चकिया (जाँतो),2029,पुरुष,65,लुम्बिनी प्रदेश,नवलपरासी (बर्दघाट सुस्ता पश्चिम),2,स्नातक,जि वि स सदस्य,,नेपाल ल क्याम्पस
7,देवेन्द्र पौडेल,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,1838,पुरुष,61,लुम्बिनी प्रदेश,नवलपरासी (बर्दघाट सुस्ता पश्चिम),2,स्नाकोत्तर,राजनितिक,नखुलेको,त्रिभुवन विश्वविद्यालय
8,जिवन मल्लाह,जनमत पार्टी,लाउड स्पिकर,1064,पुरुष,49,लुम्बिनी प्रदेश,नवलपरासी (बर्दघाट सुस्ता पश्चिम),2,S.L.C.,समाजसेवा,उल्लेख नभएको,पवन मा.वि.
9,राम बहादुर केवट,स्वतन्त्र,चेसगोटी,752,पुरुष,47,लुम्बिनी प्रदेश,नवलपरासी (बर्दघाट सुस्ता पश्चिम),2,S.L.C.,समाजीक सेवा,उल्लेख नभएको,मुन्दर प्रसाद इन्टरकलेज 
10,संजय कुमार हरिजन,संयुक्त नागरिक पार्टी,गितार,407,पुरुष,45,लुम्बिनी प्रदेश,नवलपरासी (बर्दघाट सुस्ता पश्चिम),2,स्नातक,सामाजिक क्षेत्र,,पाल्ही बहुमुखी क्याम्पस
11,इन्द्र बहादुर गुरुङ्ग,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,305,पुरुष,57,लुम्बिनी प्रदेश,नवलपरासी (बर्दघाट सुस्ता पश्चिम),2,S.L.C.,साधारण,,नेपाल सरकार
12,पार्वता पौड्याल,राष्ट्रिय जनमोर्चा,गिलास,193,महिला,50,लुम्बिनी प्रदेश,नवलपरासी (बर्दघाट सुस्ता पश्चिम),2,डिप्लोमा (ओभरसियर्स),महाकवी देवकोटा मा.वि. प्रा.वि.शिक्षालयमा अध्ययन गरेको,,प्राविधिक शिक्षा तथा व्यवसायी तालिम परिषद् काठमाण्डौ 
13,चन्द्रभुषण पाठक,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,137,पुरुष,48,लुम्बिनी प्रदेश,नवलपरासी (बर्दघाट सुस्ता पश्चिम),2,स्नातक,राजनितिक क्षेत्र,नखुलेको,राज गान्धी महाविद्यालय भारत
