Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,माधव बहादुर थापा,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,26736,पुरुष,45,लुम्बिनी प्रदेश,पाल्पा,2,Bcahelor Of Medicine,सामजिक र राजनितीक,-,
2,हिमाल दत्त श्रेष्ठ,नेपाली काँग्रेस,रुख,12992,पुरुष,45,लुम्बिनी प्रदेश,पाल्पा,2,स्नातक,-,-,TU
3,ठाकुर प्रसाद गैरे,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,10503,पुरुष,57,लुम्बिनी प्रदेश,पाल्पा,2,स्नातक,पुर्व संसद,विद्यार्थी राजनिति बाट समाजका समस्या समाधान गर्दै विधरित प्रतिनिधि सभा सदस्य भएको।,त्रिभुवन बहुमुखी क्याम्पस पाल्पा
4,सोम प्रसाद पाण्डेय,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,5288,पुरुष,70,लुम्बिनी प्रदेश,पाल्पा,2,कानूनमा स्नातक,-,-,TU
5,देव प्रसाद श्रेष्ठ,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,693,पुरुष,61,लुम्बिनी प्रदेश,पाल्पा,2,slc,श्रीनगर यातायात समिति जिल्ला समिति,-,रैनादेवि मा वि
6,मोहन कुवर थापा मगर,स्वतन्त्र,प्रेसर कुकर,458,पुरुष,58,लुम्बिनी प्रदेश,पाल्पा,2,स्नातक,-,-,TU
7,डुल बहादुर कुँवर,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,440,पुरुष,62,लुम्बिनी प्रदेश,पाल्पा,2,आई.ए,सामाजिक क्षेत्रमा काम गरिरहेको,,त्रिभुवन बहुमुखि क्याम्पस पाल्पा
8,बाल बहादुर दर्लामी ,राष्ट्रिय जनमोर्चा,गिलास,429,पुरुष,40,लुम्बिनी प्रदेश,पाल्पा,2,बि.ए,राजनितिमा सक्रियता,-,त्रिभुवन बहुमुखी क्याम्पस
9,राम बहादुर अस्लामी,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,169,पुरुष,44,लुम्बिनी प्रदेश,पाल्पा,2,slc,सामाजिक क्षेत्र,देशमा न्याय सुशासन कायम गरी समृद्ध नेपाल निर्माण गर्ने।,-
10,टोप बहादुर अस्लामी,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,138,पुरुष,49,लुम्बिनी प्रदेश,पाल्पा,2,स्नातक,-,-,TU
11,मान बहादुर दर्लामी,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,96,पुरुष,56,लुम्बिनी प्रदेश,पाल्पा,2,slc,-,-,-
12,विष्णु ठडराई (सार्की),नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,66,पुरुष,40,लुम्बिनी प्रदेश,पाल्पा,2,slc,सामाजिक कार्य,-,
13,केशव प्रसाद वश्‍याल,स्वतन्त्र,कैंची,53,पुरुष,39,लुम्बिनी प्रदेश,पाल्पा,2,+2,-,-,-
14,खिक बहादुर रेश्मी मगर,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),चकिया (जाँतो),39,पुरुष,58,लुम्बिनी प्रदेश,पाल्पा,2,slc,-,-,सार्वजनिक विद्यालय
15,वोधराज जैसी,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,28,पुरुष,48,लुम्बिनी प्रदेश,पाल्पा,2,slc,,,त्रिभुवन बहुमुखी क्याम्पस
16,कृष्ण सोभा मुस्याख्व,नेपाल मजदुर किसान पार्टी,मादल,12,महिला,58,लुम्बिनी प्रदेश,पाल्पा,2,साधारण,-,-,-
