Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,सुशान्त वैदिक,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,27469,पुरुष,31,Elected,लुम्बिनी प्रदेश,प्यूठान,1,स्नातकोत्तर,,,
2,डा .गोविन्द राज पोखरेल,नेपाली काँग्रेस,रुख,18338,पुरुष,59,,लुम्बिनी प्रदेश,प्यूठान,1,पि.एच.डी.,,,
3,सूर्य बहादुर  थापा क्षेत्री ,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,16710,पुरुष,51,,लुम्बिनी प्रदेश,प्यूठान,1,एम.फिल.पिएचडी (शोधार्थी),प्रतिनिधि सभाको पुर्व सदस्य लगायत अन्य....,,
4,कृष्‍ण ध्वज खड्का,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,9074,पुरुष,62,,लुम्बिनी प्रदेश,प्यूठान,1,स्नातक,,,शंकरदेव क्याम्पस
5,तिलक बहादुर जी.सी,राष्ट्रिय जनमोर्चा,गिलास,7654,पुरुष,59,,लुम्बिनी प्रदेश,प्यूठान,1,आई.एल.,गा.वि.स. अध्यक्ष,.............,महेन्द्र बहुमुखि क्याम्पस नेपालगंज
6,गोविन्द गिरी,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,594,पुरुष,52,,लुम्बिनी प्रदेश,प्यूठान,1,आई.ए.,,,
7,सीता वि.क.,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,501,महिला,45,,लुम्बिनी प्रदेश,प्यूठान,1,१२ पास,,,
8,धनेश्‍वर पण्डित,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,415,पुरुष,32,,लुम्बिनी प्रदेश,प्यूठान,1,आई.ए.,,,जनता मा.वि.बाग्दुला
9,तारा सिं थापा मगर,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,94,पुरुष,32,,लुम्बिनी प्रदेश,प्यूठान,1,एस.एल.सी,,,
10,हर्क बहादुर पुन,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,81,पुरुष,36,,लुम्बिनी प्रदेश,प्यूठान,1,८ ,,,
11,विमल प्रसाद पोखरेल,नेपाली जनता दल,सिट्ठी,78,पुरुष,43,,लुम्बिनी प्रदेश,प्यूठान,1,स्नातकोत्तर,पत्रकारिता/ वकालत लगायत अन्य,.....................,त्रि.बि.
12,श्‍याम लाल गहतराज,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,50,पुरुष,36,,लुम्बिनी प्रदेश,प्यूठान,1,स्नातक,,,
13,नबिन कुमार कक्षपति,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,45,पुरुष,44,,लुम्बिनी प्रदेश,प्यूठान,1,एस.एल.सी.,पुर्व कर्मचारी,,
14,रोम बहादुर थापा मगर,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,43,पुरुष,45,,लुम्बिनी प्रदेश,प्यूठान,1,८ पास,,,
