Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,ठाकुर सिंह थारु,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,49631,पुरुष,51,लुम्बिनी प्रदेश,बर्दिया,1,,,,
2,सालीक राम अधिकारी,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,14643,पुरुष,56,लुम्बिनी प्रदेश,बर्दिया,1,B com,गाउँ विकास समिति सदस्य  नगर प्रमुख बाँसगढी न पा,,महेन्द्र बहुमुखि क्याम्पस
3,संजय कुमार गौतम,नेपाली काँग्रेस,रुख,12722,पुरुष,62,लुम्बिनी प्रदेश,बर्दिया,1,,,,
4,वीष्णु प्रसाद चौधरी,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,9285,पुरुष,53,लुम्बिनी प्रदेश,बर्दिया,1,स्नातक,"संविधान सभा सदस्य २०६४
बाणिज्य तथा आपुर्ति राज्य मन्त्री
थारु आयोग अध्यक्ष
समेत",,बबई बहुमुखि क्याम्पस
5,अब्दुल खान,"नागरिक उन्मुक्ति पार्टी, नेपाल(एकल चुनाव चिन्ह)",चकिया (जाँतो),5724,पुरुष,39,लुम्बिनी प्रदेश,बर्दिया,1,,,,
6,विर बहादुर कामी,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,1344,पुरुष,48,लुम्बिनी प्रदेश,बर्दिया,1,,,,
7,यमनाथ घिमिरे,जनमत पार्टी,लाउड स्पिकर,712,पुरुष,46,लुम्बिनी प्रदेश,बर्दिया,1,,,,
8,दत्ता थारु,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,475,पुरुष,47,लुम्बिनी प्रदेश,बर्दिया,1,,,,
9,मनोज यादव,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,394,पुरुष,31,लुम्बिनी प्रदेश,बर्दिया,1,,,,
10,धन बहादुर वि.क,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,336,पुरुष,51,लुम्बिनी प्रदेश,बर्दिया,1,,,,
11,लोक बहादुर राना मगर,राष्ट्रिय जनमोर्चा,गिलास,259,पुरुष,53,लुम्बिनी प्रदेश,बर्दिया,1,,,,
12,मेघ बहादुर कामी,नेपाल मानवतावादी पार्टी,इनार,254,पुरुष,52,लुम्बिनी प्रदेश,बर्दिया,1,,,,
13,तिमोथी चौधरी,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,228,पुरुष,43,लुम्बिनी प्रदेश,बर्दिया,1,,,,
14,श्याम प्रसाद थारु,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,146,पुरुष,61,लुम्बिनी प्रदेश,बर्दिया,1,,,,
15,इन्द्र बहादुर रावल,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,129,पुरुष,60,लुम्बिनी प्रदेश,बर्दिया,1,,,,
16,मोहन पौडेल,स्वतन्त्र,सारङ्‌गी,119,पुरुष,35,लुम्बिनी प्रदेश,बर्दिया,1,,,,
17,पवित्रा शाही,नेपाल मजदुर किसान पार्टी,मादल,61,महिला,51,लुम्बिनी प्रदेश,बर्दिया,1,,,,
18,घनश्याम अधिकारी,स्वतन्त्र,क्याप,48,पुरुष,43,लुम्बिनी प्रदेश,बर्दिया,1,Y,,,
19,चन्द्रा कुमारी राजगुरु,नेपाल जनमुक्ति पार्टी,घर,44,महिला,58,लुम्बिनी प्रदेश,बर्दिया,1,,,,
20,निर्मल अधिकारी,स्वतन्त्र,कैंची,28,पुरुष,33,लुम्बिनी प्रदेश,बर्दिया,1,,,,
21,ज्योती योन्जन,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,27,महिला,43,लुम्बिनी प्रदेश,बर्दिया,1,Y,,,
