Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,श्रीधर पोख्रेल,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,29678,पुरुष,53,Elected,लुम्बिनी प्रदेश,बर्दिया,2,,,,
2,किशोर सिह राठोर,नेपाली काँग्रेस,रुख,20402,पुरुष,56,,लुम्बिनी प्रदेश,बर्दिया,2,,,,
3,सुरेश पन्थ,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,19180,पुरुष,49,,लुम्बिनी प्रदेश,बर्दिया,2,,,,
4,बिमला वि.क.,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,10772,महिला,40,,लुम्बिनी प्रदेश,बर्दिया,2,,,,
5,धर्म वहादुर चौधरी,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,4472,पुरुष,39,,लुम्बिनी प्रदेश,बर्दिया,2,,,,
6,खुशीराम थारु,"नागरिक उन्मुक्ति पार्टी, नेपाल(एकल चुनाव चिन्ह)",चकिया (जाँतो),1255,पुरुष,57,,लुम्बिनी प्रदेश,बर्दिया,2,,,,
7,सुशिल चौधरी,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,1127,पुरुष,36,,लुम्बिनी प्रदेश,बर्दिया,2,,,,
8,मान बहादुर वैगार,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,390,पुरुष,74,,लुम्बिनी प्रदेश,बर्दिया,2,,,,
9,टिकाराम चौधरी,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,231,पुरुष,44,,लुम्बिनी प्रदेश,बर्दिया,2,,,,
10,शशि कुमार यादव,जनमत पार्टी,लाउड स्पिकर,228,पुरुष,42,,लुम्बिनी प्रदेश,बर्दिया,2,,,,
11,निता शर्मा,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,124,महिला,34,,लुम्बिनी प्रदेश,बर्दिया,2,,,,
12,अनिरुध्या आर्य,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,91,पुरुष,47,,लुम्बिनी प्रदेश,बर्दिया,2,,,,
13,रतन सिं रावत,राष्ट्रिय जनमोर्चा,गिलास,87,पुरुष,61,,लुम्बिनी प्रदेश,बर्दिया,2,,,,
14,सोम बहादुर तमाङ,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,50,पुरुष,54,,लुम्बिनी प्रदेश,बर्दिया,2,,,,
15,धर्म राज जैसी आचार्य,नेपाल मजदुर किसान पार्टी,मादल,43,पुरुष,51,,लुम्बिनी प्रदेश,बर्दिया,2,,,,
