Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,मोहम्मद इश्तियाक राई,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,24628,पुरुष,46,लुम्बिनी प्रदेश,बाँके,2,एम ए,"संविधान सभा सदस्य 2064, प्रतिनिधि सभा सदस्य, 2074, श्रम तथा यातायात मन्त्री 2068 सहरी विकास मन्त्री 2075, भौतिक पुर्वाधार तथा यातायात मन्त्री 2079",,लार्ड बुद्ध डिग्री कलेज भारत
2,विवेक कुमार श्रेष्ठ,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,18682,पुरुष,43,लुम्बिनी प्रदेश,बाँके,2,स्नातक ,ब्यवसाय र सामाजिक अभियान्त,,त्रि.वि.
3,सुधान्सु कोइराला,नेपाली काँग्रेस,रुख,17596,पुरुष,50,लुम्बिनी प्रदेश,बाँके,2,एम ए,"नेपाल तरुण दलको केन्द्रीय पार्षद, नेपाली काँग्रेस जिल्ला कार्य समित सदस्य र सचिव तथा वि.पि. अध्ययन प्रतिष्ठान बाँकेको अध्यक्ष ।",,नेपाल कमर्स क्याम्पस मिन भवन
4,ऋषि राज देवकोटा,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,1723,पुरुष,48,लुम्बिनी प्रदेश,बाँके,2,स्नातक तह,,,त्रि वि
5,दिपेन्द्र बिष्‍ट,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,1456,पुरुष,37,लुम्बिनी प्रदेश,बाँके,2,स्नातक तह उत्तीर्ण,"ब्यापार, रा.खे.प. सदस्य नि वर्तमान ।",,त्रि.वि.
6,कमरुद्दीन राई,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,908,पुरुष,48,लुम्बिनी प्रदेश,बाँके,2,,,,
7,इरफान अहमद शेख,राष्ट्रिय जनमत पार्टी,बुल्डोजर,775,पुरुष,40,लुम्बिनी प्रदेश,बाँके,2,स्नातकोत्तर ,क्षेत्र नं. 2 बाँकेमा 2079 सालको चुनावमा भाग लिएको र विभिन्न सामाजिक कार्यमा सहभागी ।,,भारत
8,मो. आजाद साई,जनमत पार्टी,लाउड स्पिकर,210,पुरुष,34,लुम्बिनी प्रदेश,बाँके,2,10 पास,,,मंगल प्रसाद मा.वि. बाँके
9,राम चरण चौधरी,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,136,पुरुष,42,लुम्बिनी प्रदेश,बाँके,2,दश कक्षा अनुर्तिर्ण,,,नारायण मा.वि. नेपालगंज
10,महेन्द्र प्रकाश चन्द,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,122,पुरुष,45,लुम्बिनी प्रदेश,बाँके,2,अण्डर एस एल सी,,,श्री बालबोध निमावी कोटवाडा सल्यान
