Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,खगेन्द्र सुनार,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,29551,पुरुष,35,Elected,लुम्बिनी प्रदेश,बाँके,3,PCL(+2),,,
2,सुमन मल्ल,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,19615,पुरुष,42,,लुम्बिनी प्रदेश,बाँके,3,SLC,,,SHUKRA MA BI BANKE
3,अमर सिह पुन,नेपाली काँग्रेस,रुख,13215,पुरुष,56,,लुम्बिनी प्रदेश,बाँके,3,,,,
4,दिपक कुमार गौरी मगर,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,4015,पुरुष,44,,लुम्बिनी प्रदेश,बाँके,3,,,,
5,तारक सिंह थारु,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,1912,पुरुष,62,,लुम्बिनी प्रदेश,बाँके,3,BACHELOR,,,
6,ध्रुव राज थारु,"नागरिक उन्मुक्ति पार्टी, नेपाल(एकल चुनाव चिन्ह)",चकिया (जाँतो),474,पुरुष,39,,लुम्बिनी प्रदेश,बाँके,3,,,,
7,फिरोज खाँ,जनमत पार्टी,लाउड स्पिकर,469,पुरुष,29,,लुम्बिनी प्रदेश,बाँके,3,10,,,
8,ओमकार थापा मगर,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,339,पुरुष,41,,लुम्बिनी प्रदेश,बाँके,3,SLC,,,
9,मन बहादुर सुनार,राष्ट्रिय जनमोर्चा,गिलास,114,पुरुष,50,,लुम्बिनी प्रदेश,बाँके,3,+2,,,
10,चन्द्र विर कामी,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती,106,पुरुष,56,,लुम्बिनी प्रदेश,बाँके,3,,,,
11,बिधा शर्मा,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,95,महिला,47,,लुम्बिनी प्रदेश,बाँके,3,BA,,,
12,मुबारक अली दर्जी,राष्ट्रिय जनमत पार्टी,बुल्डोजर,81,पुरुष,36,,लुम्बिनी प्रदेश,बाँके,3,10,,,
13,सुर्य लाल यादव,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,75,पुरुष,44,,लुम्बिनी प्रदेश,बाँके,3,bachelor,,,
14,तेज प्रसाद भण्डारी,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,48,पुरुष,51,,लुम्बिनी प्रदेश,बाँके,3,+2,,,
15,भुमी महत्तरा,नेपाल मजदुर किसान पार्टी,मादल,42,महिला,40,,लुम्बिनी प्रदेश,बाँके,3,10 pass,,,Parbati Ma Bi Chupra Dailekh
16,मनोज कुमार थारु,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,37,पुरुष,37,,लुम्बिनी प्रदेश,बाँके,3,slc ,,,
17,रुप कुमार चन्द,मितेरी पार्टी नेपाल,घोडा,17,पुरुष,37,,लुम्बिनी प्रदेश,बाँके,3,+2,,,
18,सूर्य प्रसाद रेग्मी,स्वतन्त्र,सिरिन्ज,16,पुरुष,45,,लुम्बिनी प्रदेश,बाँके,3,SLC,,,
19,भगवती शाह,स्वतन्त्र,जीप,12,महिला,60,,लुम्बिनी प्रदेश,बाँके,3,10,,,
20,भिम बहादुर सुनार,स्वतन्त्र,क्याल्कुलेटर,11,पुरुष,45,,लुम्बिनी प्रदेश,बाँके,3,,,,
21,पदम बहादुर घर्ती मगर,स्वतन्त्र,केराको काइँयो,8,पुरुष,28,,लुम्बिनी प्रदेश,बाँके,3,,,,
22,चेत बहादुर वली,स्वतन्त्र,गमबुट,7,पुरुष,29,,लुम्बिनी प्रदेश,बाँके,3,,,,
