Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,पुष्प कमल दाहाल प्रचण्ड,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,10240,पुरुष,70,Elected,लुम्बिनी प्रदेश,रुकुम (पूर्वी भाग),1,वि.एस्सी. (एजी),"प्रधानमन्त्री/ सरकार प्रमुख
प्रमुख प्रतिपक्षदलको नेता
शिक्षण
संयोजक नेपाली कम्युनिष्ट पार्टी",,त्रि.वि.
2,लिलामणी गौतम,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,3462,पुरुष,38,,लुम्बिनी प्रदेश,रुकुम (पूर्वी भाग),1,स्नातकोत्तर,"सामाजिक तथा सामुदायिक विकास 
ग्रामिण विकास र जनस्वाथ्य
मानव अधिकार र न्यायको क्षेत्र",,त्रि.वि.
3,कुसुम देवी थापा,नेपाली काँग्रेस,रुख,3081,महिला,53,,लुम्बिनी प्रदेश,रुकुम (पूर्वी भाग),1,स्नातकोत्तर,,,त्रि.वि.
4,लखन कुमार थापा,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,819,पुरुष,48,,लुम्बिनी प्रदेश,रुकुम (पूर्वी भाग),1,आधारभुत तह उत्तिर्ण,नेपाल प्रहरी (हवल्दार),,रुक्मिणी मा.वि. रुकुमकोट रुकुम पूर्व
5,सन्दिप पुन,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,203,पुरुष,28,,लुम्बिनी प्रदेश,रुकुम (पूर्वी भाग),1,स्नातक,"सामाजिक तथा सामुदायिक विकास 
ग्रामिण विकास र जनस्वाथ्य
बायोटेक्निकल/उत्पादन",,पूर्वाञ्चल विश्वविद्यालय
6,जुद्ध बहादुर बुढा मगर,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,191,पुरुष,60,,लुम्बिनी प्रदेश,रुकुम (पूर्वी भाग),1,SLC पास (O लेभल र A लेभल),"राष्ट्रिय भलिबल प्रशिक्षक
रेफ्री
समाज सेवा
राजनिति अनुभव",,दरबार हाईस्कुल काठमाडौं।
7,रोषण शाह,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,82,पुरुष,30,,लुम्बिनी प्रदेश,रुकुम (पूर्वी भाग),1,प्लस टु,,,खलंगा बहुमुखी क्याम्पस रुकुम पश्चिम
8,ज्योति रोका मगर,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,55,महिला,56,,लुम्बिनी प्रदेश,रुकुम (पूर्वी भाग),1,साधारण लेखपढ,,,
9,धर्म कुमार बुढा,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,51,पुरुष,40,,लुम्बिनी प्रदेश,रुकुम (पूर्वी भाग),1,वि.एड.,,,"सिस्ने शिक्षा क्याम्पस, रुकुमकोट"
10,चन्द्र प्रसाद शाही,राष्ट्रिय जनमोर्चा,गिलास,32,पुरुष,48,,लुम्बिनी प्रदेश,रुकुम (पूर्वी भाग),1,८ कक्षा,,,रुक्मिणी मा.वि. रुकुमकोट
11,सिर बहादुर बुढा,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),चकिया (जाँतो),30,पुरुष,48,,लुम्बिनी प्रदेश,रुकुम (पूर्वी भाग),1,साक्षर,,,
