Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,डा. लेखजंग थापा,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,58814,पुरुष,48,Elected,लुम्बिनी प्रदेश,रूपन्देही,3,D.M.,,,काठमाण्डु विश्वविद्यालय
2,सुशील गुरुङ्ग,नेपाली काँग्रेस,रुख,8435,पुरुष,47,,लुम्बिनी प्रदेश,रूपन्देही,3,M.B.S.,,,त्रिभुवन विश्वविद्यालय
3,बासु देव घिमिरे,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,8275,पुरुष,58,,लुम्बिनी प्रदेश,रूपन्देही,3,स्नातक,,,लुम्बिनी बाणिज्य क्याम्पस बुटवल
4,गौरब बोहरा,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,7789,पुरुष,49,,लुम्बिनी प्रदेश,रूपन्देही,3,ATPL,,,FAA (USA)
5,फैज अहमद खाँ,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,2594,पुरुष,55,,लुम्बिनी प्रदेश,रूपन्देही,3,SLC,,,भानु मा.वि.
6,नन्द कुमारी थापा,"नागरिक उन्मुक्ति पार्टी, नेपाल(एकल चुनाव चिन्ह)",चकिया (जाँतो),750,महिला,44,,लुम्बिनी प्रदेश,रूपन्देही,3,+2,,,फर्साटिकर उच्च मा.वि
7,जीत बहादुर गुप्‍ता,स्वतन्त्र,चेसगोटी,601,पुरुष,43,,लुम्बिनी प्रदेश,रूपन्देही,3,MA Economics,,,त्रिभुवन विश्वविद्यालय
8,बिशाल गुप्‍ता,जनमत पार्टी,लाउड स्पिकर,429,पुरुष,32,,लुम्बिनी प्रदेश,रूपन्देही,3,+2,,,भेरहवा नमुना मा.वि.
9,मोजीब अलि मुसलमान,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,417,पुरुष,42,,लुम्बिनी प्रदेश,रूपन्देही,3,+2,,,रुपन्देही क्याम्पस
10,सरोज सिंह चौधरी,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,206,पुरुष,43,,लुम्बिनी प्रदेश,रूपन्देही,3,BDS,,,"Universal Medical College, Bhairahawa"
11,बद्रे आलम मुसलमान,राष्ट्रिय जनमोर्चा,गिलास,195,पुरुष,69,,लुम्बिनी प्रदेश,रूपन्देही,3,B.A.,,,भैरहवा बहुमुखी क्याम्पस
12,श्रीनिवास यादव,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,104,पुरुष,43,,लुम्बिनी प्रदेश,रूपन्देही,3,I.A.,,,भैरहवा उच्च मा.वि.
13,शंकर प्रसाद ज्ञवाली,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,104,पुरुष,64,,लुम्बिनी प्रदेश,रूपन्देही,3,SLC,,,दरवारदेविस्थान मा.वि.
14,मोहन थापा,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,78,पुरुष,42,,लुम्बिनी प्रदेश,रूपन्देही,3,8,,,नहरपुर मा.वि.
15,राजु गौडेल,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,74,पुरुष,44,,लुम्बिनी प्रदेश,रूपन्देही,3,+2,,,उच्च शिक्षा परिषद
16,राधेश्‍याम तेली गुप्‍ता,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,68,पुरुष,48,,लुम्बिनी प्रदेश,रूपन्देही,3,SLC,,,भारत
17,गोपाल भण्डारी,स्वतन्त्र,त्रिभुज,59,पुरुष,43,,लुम्बिनी प्रदेश,रूपन्देही,3,अहेव,,,सिद्धार्थ टेक्निकल इन्स्टिच्युट
18,कुलवीर घर्ती मगर,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,55,पुरुष,51,,लुम्बिनी प्रदेश,रूपन्देही,3,SLC,,,"पृथ्बी प्रकाश, कुलडाँडा"
19,महेन्द्र यादव,स्वतन्त्र,आँप,48,पुरुष,50,,लुम्बिनी प्रदेश,रूपन्देही,3,साक्षर,,,
20,ख्यामानन्द भुषाल,स्वतन्त्र,व्याडमिन्टन कर्क,47,पुरुष,41,,लुम्बिनी प्रदेश,रूपन्देही,3,8 pass,,,जनसेवा संस्कृत मा.वि.
21,गोबिन्द प्रसाद काराखेती,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,46,पुरुष,59,,लुम्बिनी प्रदेश,रूपन्देही,3,M.ED.,,,त्रीभुवन विश्वविद्यालय
