Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,कन्हैया बनिया,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,28066,पुरुष,36,लुम्बिनी प्रदेश,रूपन्देही,4,स्नातकोत्तर,"प्रदेश सभा सदस्य
व्यवसायी","समाजसेवी, अध्ययनमा रूची, रोजगार मुलक व्यापारिक पृष्ठभुमि",त्रिभुवन विश्वविद्यालय
2,प्रमोद कुमार यादव,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,20262,पुरुष,46,लुम्बिनी प्रदेश,रूपन्देही,4,स्नातक,,,
3,आशुतोष मिश्र,नेपाली काँग्रेस,रुख,15613,पुरुष,47,लुम्बिनी प्रदेश,रूपन्देही,4,स्नातकोत्तर,,,T.U.
4,सर्वेन्द्र नाथ शुक्ला,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,3410,पुरुष,76,लुम्बिनी प्रदेश,रूपन्देही,4,Bachelor of Medical Engineering,२०४७ देखि राजनितीमा सक्रिय रहेर काम गरेको,,"J.N., T.U., India"
5,भोपेन्द्र प्रसाद यादव,जनमत पार्टी,लाउड स्पिकर,2077,पुरुष,40,लुम्बिनी प्रदेश,रूपन्देही,4,स्नातकोत्तर,,,त्रिभुवन विश्‍वविद्यालय
6,अहमददिन मुसलमान,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,926,पुरुष,49,लुम्बिनी प्रदेश,रूपन्देही,4,स्‍नातक,समाजसेवा,"विधिको शासन स्थापना गर्ने, जनताको हित चिताइ सुशासन कायम गर्ने गरी भूमिका निर्वाह गरी राष्ट्र र जनताको पक्षमा सदैव कटिवद्ध भइ काम गर्ने । ",TU
7,विश्‍व नाथ शर्मा,स्वतन्त्र,ट्रफी,479,पुरुष,45,लुम्बिनी प्रदेश,रूपन्देही,4,10+2,,इमान्दार समाजसेवी एक नेपाली नागरिक,HSEB
8,बाबु लाल यादव,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,440,पुरुष,65,लुम्बिनी प्रदेश,रूपन्देही,4,B.A.,राजनीतिक क्षेत्रमा २०५२ सालदेखि कम्युनिष्ट आन्दोलनमा संगठित भई काम गरेको,२०६४ सालको संविधान सभा निर्वाचनमा ने.क.पा. एमालेबाट संविधान सभा सदस्य भई निर्वाचन लडेको,गोरखा विश्वविद्यालय उत्तर प्रदेश
9,विष्‍णु प्रसाद तिवारी,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,224,पुरुष,69,लुम्बिनी प्रदेश,रूपन्देही,4, १० कक्षा,"२०३६ देखि राजनीतिमा संलग्न, समाजसेवामा आवद्ध, अन्याय अत्यातारको विरूद्ध आन्दोलन",,गान्धी मेमेोरियल हाइस्कुल भारत
10,जंग बहादुर यादव,नेपाल जनता पार्टी,कमलको फूल,207,पुरुष,53,लुम्बिनी प्रदेश,रूपन्देही,4,"S.L.C., C.M.A.",,लामो समयदेखि स्वास्थ्य क्षेत्रमा काम गर्दै आएको र केहि समय पत्रकारिता क्षेत्रमा पनि योगदान,HMG BOARD
11,ज्योती थापा,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,76,महिला,47,लुम्बिनी प्रदेश,रूपन्देही,4,SLC,,,HMG BOARD
12,जुठे दमाई,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,47,पुरुष,49,लुम्बिनी प्रदेश,रूपन्देही,4,S.L.C.,,,HMG BOARD
13,कर्ण बहादुर गुरुङ,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,36,पुरुष,57,लुम्बिनी प्रदेश,रूपन्देही,4,SLC,,देशको स्थिति सुधार गर्न उम्मेदवारी,HMG BOARD
14,कमल कोजु,नेपाल मजदुर किसान पार्टी,मादल,28,महिला,50,लुम्बिनी प्रदेश,रूपन्देही,4,S.L.C.,सामाजिक कार्य,,HMG BOARD
15,रमेश कुर्मी,स्वतन्त्र,फिरफिरे,28,पुरुष,45,लुम्बिनी प्रदेश,रूपन्देही,4,साधारण लेखपढ,राजनीति,,
16,राधे श्‍याम वनिया,स्वतन्त्र,जीप,24,पुरुष,37,लुम्बिनी प्रदेश,रूपन्देही,4,१२ पास,व्यापार,"समाजसेवा, राजनीति",गोरखपुर भारत
17,फडिन्द्र तिवारि,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,23,पुरुष,43,लुम्बिनी प्रदेश,रूपन्देही,4,१० कक्षा,सामाजिक कार्य,,गीर्वाण सरस्वती मा.वि.
18,मोहम्मद आरिफ मुसलमान खान,स्वतन्त्र,मसी,19,पुरुष,34,लुम्बिनी प्रदेश,रूपन्देही,4,S.L.C.,,,HMG BOARD
19,सुदर्शन अहिर,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,17,पुरुष,56,लुम्बिनी प्रदेश,रूपन्देही,4,साक्षर,,,
20,विनय कुमार चौधरी,स्वतन्त्र,आँप,16,पुरुष,29,लुम्बिनी प्रदेश,रूपन्देही,4,BBA,,,TU
21,अदालत चाई,स्वतन्त्र,काउली,12,पुरुष,68,लुम्बिनी प्रदेश,रूपन्देही,4,साक्षर,राजनीति,,
22,शसिकला पाण्डेय,स्वतन्त्र,क्याल्कुलेटर,8,महिला,35,लुम्बिनी प्रदेश,रूपन्देही,4,प्रविणता तह,,,उच्च माध्यमिक शिक्षा परिषद
