Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,तौफिक अहमद खान,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,38806,पुरुष,38,लुम्बिनी प्रदेश,रूपन्देही,5,MBA,,,
2,खिम लाल भट्टराई,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,13100,पुरुष,55,लुम्बिनी प्रदेश,रूपन्देही,5,M.A./B.L,"राष्ट्रिय सभा सदस्य भई काम गरेको 
प्रमुख सचेतक संसदीय दलको नेता",,त्रिभुवन विश्वविद्यालय
3,भरत कुमार शाह,नेपाली काँग्रेस,रुख,12624,पुरुष,71,लुम्बिनी प्रदेश,रूपन्देही,5,स्‍नातकोत्तर,"अर्थ राज्य मन्त्री
सार्वजनिक लेखा समिति सभापति
३ पटक सांसद
विभिन्न व्यापारिक प्रतिष्ठान र समाजमा काम गरेको",,त्रिभुवन विश्व विद्यालय
4,मुहम्मद वकील मुसलमान,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,6176,पुरुष,57,लुम्बिनी प्रदेश,रूपन्देही,5,SLC pass,"पूर्व सभासद २०६४
पूर्व  संघीय वनमन्त्री",,
5,ओम प्रकाश यादव,जनमत पार्टी,लाउड स्पिकर,3109,पुरुष,45,लुम्बिनी प्रदेश,रूपन्देही,5,B.A.,,,
6,मिन प्रसाद घिमिरे,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,1654,पुरुष,67,लुम्बिनी प्रदेश,रूपन्देही,5,10+2 pass,,, 
7,शिवलाल विश्वकर्मा,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,1369,पुरुष,41,लुम्बिनी प्रदेश,रूपन्देही,5,साक्षर,,,
8,सुनिल चौधरी थारु,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,535,पुरुष,31,लुम्बिनी प्रदेश,रूपन्देही,5,10+2 pass,"शैक्षिक परामर्श ।
सामाजिक अभियान्ता ।
वैदेशिक शिक्षा सीपमा अनुभव",नेपाल देशलाई भ्रष्टाचार मुक्त तथा देश वासीलाई सबल र उत्पादन मूलक बनाउने,मुन लाईट आ.मा.वि.भैरहवा
9,केशव भट्टराई ,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,354,पुरुष,36,लुम्बिनी प्रदेश,रूपन्देही,5,स्‍नातकोत्तर LLM,,,
10,विष्णु प्रसाद भट्टराई,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,296,पुरुष,50,लुम्बिनी प्रदेश,रूपन्देही,5,SLC,,,
