Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,बर्षमान पुन,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,27460,पुरुष,54,लुम्बिनी प्रदेश,रोल्पा,1,स्नातक,,,
2,सुदन कुमार वली,नेपाली काँग्रेस,रुख,12008,पुरुष,34,लुम्बिनी प्रदेश,रोल्पा,1,विद्यावारीधी,"लुम्बिनी प्रदेश योजना आयोग सदस्य।
युवा तथा खेलकुद पन्त्रालयकाो निति विज्ञ।
आर्थिक निति तथा योजनाा विभाग सदस्य र विज्ञ सदस्य।
नेपाली कांग्रेस निति प्रशिक्षण तथा अनुसन्धान विभाग सदस्य।",,युनिभोर्सिटी अफ इन्टरनेशनल विजनेश एण्ड इकोनोमिक्स
3,बालराम थापा,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,10894,पुरुष,38,लुम्बिनी प्रदेश,रोल्पा,1,स्नातकोत्तर (राजनीतिक शास्त्र),,,त्रिभुवन विश्वविद्यालय
4,गोकुल प्रसाद घर्ती,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,9933,पुरुष,52,लुम्बिनी प्रदेश,रोल्पा,1,स्नातकोत्तर,"२०४६ सालमा अनुरास्वव्यु सदस्य, २०६३ महासचिव अनेरास्वव्यु, पार्टी 
पोलिटव्यूरो सदस्य नेकपा (एमाले)
संविधान सभा सदस्य २०७० नेपाल सरकार
उपाध्यक्ष आ.ज.उ.रा. प्रतिष्ठान
विभिन्न विषयमाा विभिन्न संस्थाहरूसंगकाो सहकार्यमा अध्ययन/अनुसन्धान।",,"त्रिभुवन विश्वविद्यालय, केन्द्रिय क्याम्पस काठमाण्डौं"
5,चुडामणी वली,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,3714,पुरुष,58,लुम्बिनी प्रदेश,रोल्पा,1,आइकम (I.com),,,महेन्द्र बहुमुखी क्याम्पस नेपालगन्ज बाँके
6,अम्मर बहादुर थापा क्षेत्री,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,846,पुरुष,75,लुम्बिनी प्रदेश,रोल्पा,1,६ कक्षा पास,राजनैतिक अनुभव -- ४६ वर्ष,,जन ज्योति मा.वि. गजुल रोल्पा
7,मेख बहादुर विष्ट,राष्ट्रिय जनमोर्चा,गिलास,318,पुरुष,50,लुम्बिनी प्रदेश,रोल्पा,1,सात पास,राजनैतिक अनुभव ३३ वर्ष,,श्री चन्द्रप्रभा मा.वि.
8,मन बहादुर घर्तिमगर,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,279,पुरुष,29,लुम्बिनी प्रदेश,रोल्पा,1,+2,समाजसेवामा निरन्तर संघर्ष,,बालकल्याण उमावि लिवाङ रोल्पा
9,कुमार घर्ती मगर,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,118,पुरुष,53,लुम्बिनी प्रदेश,रोल्पा,1,10,"क) थवाङी समाज सेवा समिति घोराही दाङ्ग अध्यक्ष दुई कार्यकाल, सदस्य एक कार्यकाल, कोषाध्यक्ष  एक कार्यकाल।
ख) लखन पार्क व्यवस्थापन समिति घोराही दाङकाो सदस्य",,मा.वि. थवाङ रोल्पा
10,दील बहादुर कामी,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,62,पुरुष,50,लुम्बिनी प्रदेश,रोल्पा,1,१०,,,सूर्योदय मा.वि. रुन्टीगढी
