Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,ज्ञानेन्द्र सिंह महता,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,27118,पुरुष,40,सुदूरपश्चिम प्रदेश,कञ्चनपुर,3,,,,
2,हरि प्रसाद बोहरा,नेपाली काँग्रेस,रुख,9443,पुरुष,59,सुदूरपश्चिम प्रदेश,कञ्चनपुर,3,,,,
3,दीपक प्रकाश भट्ट,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,7575,पुरुष,53,सुदूरपश्चिम प्रदेश,कञ्चनपुर,3,,,,
4,मान बहादुर सुनार,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,4284,पुरुष,70,सुदूरपश्चिम प्रदेश,कञ्चनपुर,3,,,,
5,पुर्ण वहादुर चन्द,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,3902,पुरुष,51,सुदूरपश्चिम प्रदेश,कञ्चनपुर,3,,,,
6,भिम बहादुर कुमाल,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,268,पुरुष,46,सुदूरपश्चिम प्रदेश,कञ्चनपुर,3,,,,
7,गंगा दत्त जोशी,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,224,पुरुष,67,सुदूरपश्चिम प्रदेश,कञ्चनपुर,3,,,,
8,हर्क बहादुर ऐर,स्वतन्त्र,जीप,177,पुरुष,52,सुदूरपश्चिम प्रदेश,कञ्चनपुर,3,,,,
9,विष्णु प्रकाश उपाध्याय,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,116,पुरुष,44,सुदूरपश्चिम प्रदेश,कञ्चनपुर,3,,,,
10,थानेश्वर लेखक,स्वतन्त्र,डस्ट बिन,95,पुरुष,43,सुदूरपश्चिम प्रदेश,कञ्चनपुर,3,,,,
11,लाल बहादुर कुँवर,राष्ट्रिय जनमोर्चा,गिलास,87,पुरुष,44,सुदूरपश्चिम प्रदेश,कञ्चनपुर,3,,,,
12,कर्ण बहादुर चन्द,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,86,पुरुष,55,सुदूरपश्चिम प्रदेश,कञ्चनपुर,3,,,,
13,लोक राज भट्ट,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),चकिया (जाँतो),71,पुरुष,39,सुदूरपश्चिम प्रदेश,कञ्चनपुर,3,,,,
14,मीनु गिरी,नेपाल मजदुर किसान पार्टी,मादल,42,पुरुष,64,सुदूरपश्चिम प्रदेश,कञ्चनपुर,3,,,,
15,लक्ष्‍मी कुमारी विष्ट भट्ट,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,31,महिला,48,सुदूरपश्चिम प्रदेश,कञ्चनपुर,3,,,,
16,वीर सिंह क्षेत्री,स्वतन्त्र,आँप,21,पुरुष,44,सुदूरपश्चिम प्रदेश,कञ्चनपुर,3,,,,
17,किरन थापा,मितेरी पार्टी नेपाल,घोडा,6,पुरुष,43,सुदूरपश्चिम प्रदेश,कञ्चनपुर,3,Y,,,
