Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,कोमल ज्ञवाली,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,17826,महिला,47,सुदूरपश्चिम प्रदेश,कैलाली,1,स्नातक ,,,नेपाल कमर्स क्याम्पस 
2,जनकराज चौधरी,नेपाली काँग्रेस,रुख,12867,पुरुष,49,सुदूरपश्चिम प्रदेश,कैलाली,1,स्नात्तकोत्तर,संविधान सभा सदस्य २०७०,,त्रिभुवन विश्वविद्यालय 
3,रामलाल डगौरा थारु,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,8392,पुरुष,45,सुदूरपश्चिम प्रदेश,कैलाली,1,साक्षर ,वडा अध्यक्ष हुँदे नगरप्रमुख सम्मको राजनिति अनुभव ,,श्री रा.मा.वि नारायणपुर बेलुवा
4,द्धारिका प्रसाद न्यौपाने,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,4493,पुरुष,47,सुदूरपश्चिम प्रदेश,कैलाली,1,स्नातकोत्तर,विभिन्न सामाजिक संघ संस्थामा नेतृत्वमा रही काम गरेको ,,त्रिभुवन विश्वविद्यालय
5,फागु राम थारु,स्वतन्त्र,ढिकी,3388,पुरुष,56,सुदूरपश्चिम प्रदेश,कैलाली,1,साक्षर,,,
6,लोकेन्‍द्र कुँवर,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,2937,पुरुष,36,सुदूरपश्चिम प्रदेश,कैलाली,1,स्नात्तकोत्तर,रा.प्र.पा केन्द्रिय सदस्य,,त्रिभुवन विश्विवद्यालय 
7,प्रदिप कुमार चौधरी,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,2357,पुरुष,57,सुदूरपश्चिम प्रदेश,कैलाली,1,SLC,,,जनता माध्यामिक विद्यालय कैलाली 
8,विमल कुमार डगौरा,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,908,पुरुष,40,सुदूरपश्चिम प्रदेश,कैलाली,1,साक्षर ,,,
9,राम बहादुर विश्‍वकर्मा,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,315,पुरुष,35,सुदूरपश्चिम प्रदेश,कैलाली,1,स्नातक तह ,,,महेन्द्र रत्न क्याम्पस ताहाचल काठमाण्डौँ 
10,जनक राज शाह,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,216,पुरुष,62,सुदूरपश्चिम प्रदेश,कैलाली,1,बिएल एमपिए एमबिए ,प्रमुख कार्यकारी अधिकृत कृर्षि विकास बैंक ,,त्रिभुवन विश्वविद्यालय 
11,राजेन्द्र बहादुर शाही,स्वतन्त्र,अनार,140,पुरुष,32,सुदूरपश्चिम प्रदेश,कैलाली,1,स्नातक तह ,,,महेन्द्र बहुमुखी क्याम्पस नेपालगंज 
12,भगत राम डगाैरा थारु,जनमत पार्टी,लाउड स्पिकर,113,पुरुष,54,सुदूरपश्चिम प्रदेश,कैलाली,1,सामान्य लेखपण,,,
13,नरेश रावल,स्वतन्त्र,भँगेरा,93,पुरुष,43,सुदूरपश्चिम प्रदेश,कैलाली,1,एसएलसी ,,,सरस्वतीउमावि
14,रुपा कुमारी चौधरी,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,60,महिला,36,सुदूरपश्चिम प्रदेश,कैलाली,1,स्नातक तह ,,,त्रिभुवन विश्वविद्यालय 
15,सुनिता भण्डारा,नेपाल मजदुर किसान पार्टी,मादल,41,महिला,25,सुदूरपश्चिम प्रदेश,कैलाली,1,१० कक्षा,,,दशरथ मा.वि साडेपानी कैलाली 
16,तपेन्द्र शाह,स्वतन्त्र,क्याप,27,पुरुष,28,सुदूरपश्चिम प्रदेश,कैलाली,1,स्नातक तह ,,,टिकापुर बहुमुखी क्यामपस कैलाली 
17,अरुण ठकुल्ला,स्वतन्त्र,आँप,24,पुरुष,37,सुदूरपश्चिम प्रदेश,कैलाली,1,स्नातक तह ,,,टिकापुर बहुमुखुी क्याम्पस 
18,सत्य नारायण भट्टराई,स्वतन्त्र,मुढा,22,पुरुष,36,सुदूरपश्चिम प्रदेश,कैलाली,1,स्नातक तह,,,त्रिभुवन विश्वविद्यालय 
