Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,खेम राज कोईराला,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,28556,पुरुष,48,Elected,सुदूरपश्चिम प्रदेश,कैलाली,4,स्नातकोत्तर,,,
2,गोरख बहादुर विष्ट,नेपाली काँग्रेस,रुख,11301,पुरुष,53,,सुदूरपश्चिम प्रदेश,कैलाली,4,स्नातक,,,TU
3,लेख राज भट्ट,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,9444,पुरुष,66,,सुदूरपश्चिम प्रदेश,कैलाली,4,स्नातक,,,
4,हरि राम चौधरी,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,5609,पुरुष,47,,सुदूरपश्चिम प्रदेश,कैलाली,4,प्रमाण पत्र तह,,,कैलाली बहुमुखी क्याम्पस
5,कमल रजवार,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,1358,पुरुष,31,,सुदूरपश्चिम प्रदेश,कैलाली,4,स्नातकोत्तर,,,अस्कल क्याम्पस
6,धन बहादुर सुनार,"नागरिक उन्मुक्ति पार्टी, नेपाल(एकल चुनाव चिन्ह)",चकिया (जाँतो),675,पुरुष,40,,सुदूरपश्चिम प्रदेश,कैलाली,4,स्नातक,,,TU
7,भिम बहादुर थापा मगर,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,379,पुरुष,50,,सुदूरपश्चिम प्रदेश,कैलाली,4,सामान्य,,,
8,छत्र बहादुर भट्ट खत्री,स्वतन्त्र,आँप,241,पुरुष,53,,सुदूरपश्चिम प्रदेश,कैलाली,4,FY Bcom,,,DAV College
9,भक्त वहादुर शाही,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,172,पुरुष,42,,सुदूरपश्चिम प्रदेश,कैलाली,4,SLC,,,
10,सुभास कुवर,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,157,पुरुष,38,,सुदूरपश्चिम प्रदेश,कैलाली,4,Bachelor,,,कैलाली बहुमुखी क्याम्पस
11,यज्ञ बहादुर टमोटा,नेपाल मानवतावादी पार्टी,इनार,141,पुरुष,46,,सुदूरपश्चिम प्रदेश,कैलाली,4,८ पास,,,
12,हेम राज भट्ट,राष्ट्रिय जनमोर्चा,गिलास,121,पुरुष,34,,सुदूरपश्चिम प्रदेश,कैलाली,4,स्नातक,,,T.U.
13,गोपीलाल चौधरी,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,48,पुरुष,38,,सुदूरपश्चिम प्रदेश,कैलाली,4,साक्षर,,,
14,अमृता भुल,नेपाल मजदुर किसान पार्टी,मादल,40,महिला,36,,सुदूरपश्चिम प्रदेश,कैलाली,4,साक्षर,,,
15,मोहन देव मिश्र,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,30,पुरुष,44,,सुदूरपश्चिम प्रदेश,कैलाली,4,M.A.,,,Kumau University
16,दिनेश कुमार मल्ल,मितेरी पार्टी नेपाल,घोडा,11,पुरुष,44,,सुदूरपश्चिम प्रदेश,कैलाली,4,एस.एल.सी.,,,Durgalaxmi Ma.Vi.
