Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,आनन्‍द बहादुर चन्‍द,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,31953,पुरुष,50,सुदूरपश्चिम प्रदेश,कैलाली,5,विद्यावारीधी,,,त्रिभुवन बिश्व विद्यालय
2,नर नारायण शाह,नेपाली काँग्रेस,रुख,11958,पुरुष,58,सुदूरपश्चिम प्रदेश,कैलाली,5,स्‍नातक,,,लखनउ बिश्वविद्यालय भारत
3,प्रेम वहादुर आले,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,7876,पुरुष,54,सुदूरपश्चिम प्रदेश,कैलाली,5,प्रविणता प्रमाणपत्र तह,,,
4,यज्ञ राज ढुंगाना उपाध्याय,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,5839,पुरुष,46,सुदूरपश्चिम प्रदेश,कैलाली,5,स्‍नातक,,,कैलाली बहुमुखी क्याम्पस कैलाली
5,प्यारे लाल राना,स्वतन्त्र,मुढा,1755,पुरुष,61,सुदूरपश्चिम प्रदेश,कैलाली,5,IA,"2049 सालमा उर्मा गा.वि.स.को निर्वाचित अध्यक्ष
2070 सालको संविधान सभामा समानुपातिक संविधान सभा सदस्य",,UP Board India
6,रोशन शाही,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,1592,पुरुष,32,सुदूरपश्चिम प्रदेश,कैलाली,5,+2 प्रमाणपत्र तह,"सामाजिक कार्य
व्यवसायीक अनुभव
","विकास  र निकासका लागी मरिमेटेर काम गर्ने साथै भष्ट्राचारको अन्त्य, सुशासनको समृद्धि गराउने",कैलाली बहुमुखी क्याम्पस
7,जगन्नाथ चौधरी,"नागरिक उन्मुक्ति पार्टी, नेपाल(एकल चुनाव चिन्ह)",चकिया (जाँतो),406,पुरुष,59,सुदूरपश्चिम प्रदेश,कैलाली,5,B Com,,,
8,बबरजंग बहादुर सिंह,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,212,पुरुष,35,सुदूरपश्चिम प्रदेश,कैलाली,5,स्‍नातक,फुलबारी बहुमुखि क्याम्पसको संचालक समिति सदस्य,,कैलाली बहुमुखी क्याम्पस कैलाली
9,धन वहादुर चौधरी,जनमत पार्टी,लाउड स्पिकर,192,पुरुष,46,सुदूरपश्चिम प्रदेश,कैलाली,5,प्रविणता प्रमाणपत्र तह,,,धनगढी मा.वि. धनगढी
10,शोभामणी जोशी,राष्ट्रिय जनमोर्चा,गिलास,167,महिला,68,सुदूरपश्चिम प्रदेश,कैलाली,5,BA,"सिनिय अ.न.मि
सामाजिक सेवा",,TU
11,चन्द्र साउँद,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,135,पुरुष,49,सुदूरपश्चिम प्रदेश,कैलाली,5,BA,"समाजसेवा
उपभोक्ता अधिका
सिप मुलक तालिम",,TU
12,इश्वरी विष्ट,स्वतन्त्र,आँप,21,पुरुष,41,सुदूरपश्चिम प्रदेश,कैलाली,5,SLC,"राजनितीक 
पत्रकारीताको अनुभव
कार्यपालिकाको अनुभव",उद्योगी व्यापारी मजदुर किसान कर्मचारी हकहितको लागि काम गर्ने,दिल्पेश्वर मा.वि. दिपायल
13,तृषण पुनमगर,नेपाल मजदुर किसान पार्टी,मादल,20,महिला,28,सुदूरपश्चिम प्रदेश,कैलाली,5,स्‍नातक,,,
14,देव सिंह बिष्ट,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,18,पुरुष,49,सुदूरपश्चिम प्रदेश,कैलाली,5,SLC,,,
15,राधिका कुमारी कार्की,मितेरी पार्टी नेपाल,घोडा,3,महिला,44,सुदूरपश्चिम प्रदेश,कैलाली,5,१० कक्षा,,,फुबारी मा.वि. फुलबारी कैलाली
