Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,तारा प्रसाद जोशी,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,19131,पुरुष,54,Elected,सुदूरपश्चिम प्रदेश,डडेलधुरा,1,विद्यावारिधि (PHD),"राजनीतिक तथा सामाजिक आन्दोलनमा सक्रिय सहभागिता
संगठन निर्माण, नेतृत्व विकास र जनआधार विस्तारको अनुभव
स्थानीय मुद्दा पहिचान, नीति बहस र समाधान प्रक्रियामा संलग्नता
जनसम्पर्क, अभियान संचालन तथा संगठन व्यवस्थापनको अनुभव
","जेन-जी आन्दोलन, जनआन्दोलन, लोकतान्त्रिक मूल्य र जन उत्तरदायित्व प्रति प्रतिबद्ध छु। जनताको भरोसालाई मार्गदर्शक मानेर सुशासन, सामाजिक न्याय र समावेशी विकासको पक्षमा दृढतापूर्वक काम गर्ने संकल्प गर्दछु।",जवाहरलाल नेहरु विश्वविद्यालय (JNU)
2,नैन सिंह महर,नेपाली काँग्रेस,रुख,12121,पुरुष,51,,सुदूरपश्चिम प्रदेश,डडेलधुरा,1,स्नातकोत्तर,"नेपाली काँग्रेस केन्द्रिय सदस्य
नेपाल विद्यार्थी संघ केन्द्रिय अध्यक्ष
स्कूल अफ डेमोक्रेसी अध्यक्ष
नेपाल पत्रकार महासंघ, डडेल्धुराको संस्थापक अध्यक्ष
","प्रतिनिधि सभामा नेपाली काँग्रेसको तर्फबाट शसक्त रूपमा प्रस्तुत भई विधिको शासन स्थापित गर्न तथा वर्तमान अन्योल राजनीतिलाई लयमा ल्याई लोकतन्त्रलाई मजबुत गर्नमा लागि पर्ने छु। राजनीतिक स्थिरता, लोकतन्त्र समाजवाद उन्मुख समाज निर्माण तथा आर्थिक सामाजिक परिवर्तनका लागि राष्ट्रिय रूपमा लागि पर्नेछु। डडेल्धुराको विकासका लागि आफ्नो क्षमता बल बुझले भ्याए सम्म प्रयासरत रहने छु। नेपाली काँग्रेसका सभापति परम आदरणीय नेता पूर्व प्रधानमन्त्री शेर बहादुर देउवाज्यूको आर्शिवाद र वहाँको सफल अभिभावकत्वमा ",त्रिभुवन विश्व विद्यालय
3,मान सिह माल,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,6834,पुरुष,44,,सुदूरपश्चिम प्रदेश,डडेलधुरा,1,S.L.C.,,,भागेश्वर मा.वि. कटाल
4,चक्र प्रसाद स्नेही,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,2926,पुरुष,52,,सुदूरपश्चिम प्रदेश,डडेलधुरा,1,एस.एल.सि.,राष्ट्रिय सभा सदस्य,,"सत्यवादी मा.वि. भोपुर, बझाङ्ग"
5,गोविन्द खडायत,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,882,पुरुष,45,,सुदूरपश्चिम प्रदेश,डडेलधुरा,1,MSC yoga and science.,"२०७९ को प्रतिनिधि सभा उम्मेदवार
योग प्रशिक्षक
व्यवसायी
",,"त्रिभुवन विश्व विद्यालय,अन्ना मल्ला विश्वविद्यालय, भारत"
6,गोरख बहादुर ऐर,स्वतन्त्र,सिरिन्ज,453,पुरुष,28,,सुदूरपश्चिम प्रदेश,डडेलधुरा,1,स्नातक ,सामाजिक कार्यमा सक्रियता,,त्रिभुवन विश्व विद्यालय
7,महेन्द्र पुन मगर,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,260,पुरुष,28,,सुदूरपश्चिम प्रदेश,डडेलधुरा,1,स्नातकोत्तर,"मूर्तिकार्
खेलाडी
योग ध्यान
साहित्य",,त्रिभुवन विश्व विद्यालय
8,लक्ष्मी दत्त भट्ट,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,117,पुरुष,39,,सुदूरपश्चिम प्रदेश,डडेलधुरा,1,स्नातकोत्तर,"१० वर्ष नेपाली विद्यार्थी संघको नेतृत्व
२५ वर्षदेखि राजनीतिमा सक्रिय
सामाजिक, सांस्कृतिक, धार्मिक, देशको विभिन्न भुगोल अवलोकन
समाजसेवा, कृषि, पर्यटन, व्यापार नोकरी उद्यमशिलता","राजनीति सेवा हो, व्यापार होइन। जनताका आकांक्षा पुरा गर्न दुरदर्शी नेतृत्व समाजको शुसासन, शान्ती, अमनचयन, अग्रगामी विकासका लागि इमान्दार देशभक्त, राष्ट्रवादी, देशको आफ्नै मौलिकपन बोकेको दर्शन नेपालवादी सुविधा राज्यका लागि जन्मदै राज्यले हेर्ने जनताको सास र गास शान्तिपुर्ण समाज निर्माणका लागि मेरो उम्मेदवारी",नेपाल कमर्स क्याम्पस मिनभवन
9,तिर्थ राज उप्रेती,स्वतन्त्र,तिलहरी,107,पुरुष,71,,सुदूरपश्चिम प्रदेश,डडेलधुरा,1,आइ.ए.,"सरकारी (निजामति) सेवामा २५ वर्ष लेखा अधिकृत
रजिष्टर्ड लेखा परीक्षक","२५ वर्षको सरकारी सेवा अवधिमा नसियत नपाएको, विभागिय सजाय नपाएको, जि.वि.स. बोर्डबाट प्रसंशा पत्र सहित नगद रु. २०,०००।- प्राप्त गरेको।","यु.पि. बोर्ड, भारत"
10,चन्द्र देव वि‍.क.,राष्ट्रिय जनमोर्चा,गिलास,106,पुरुष,63,,सुदूरपश्चिम प्रदेश,डडेलधुरा,1,८ कक्षा पास,"भारतबाट १९८२ देखि पार्टी प्रवेश गरी सकृय रहेको
राजनैतिक क्षेत्रमा करिब ४२ वर्षको अनुभव
स्थानीय सामाजिक क्षेत्रमा सकृय सहभागी
समाज सेवामा सक्रियता",,"श्री शिद्धेश्वर नि.मा.वि.,बैतडी"
