Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,गणेश सिंह ठगुन्ना,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,18891,पुरुष,57,सुदूरपश्चिम प्रदेश,दार्चुला,1,,,,
2,धर्मानन्द जोशी,नेपाली काँग्रेस,रुख,15836,पुरुष,50,सुदूरपश्चिम प्रदेश,दार्चुला,1,,,,
3,राजेश सिंह सामन्त (साउद),राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,8936,पुरुष,52,सुदूरपश्चिम प्रदेश,दार्चुला,1,,,,
4,लक्ष्मण दत्त जोशी,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,3065,पुरुष,50,सुदूरपश्चिम प्रदेश,दार्चुला,1,,,,
5,राजेश चन्द,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,666,पुरुष,59,सुदूरपश्चिम प्रदेश,दार्चुला,1,,,,
6,नव राज भट्ट,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,298,पुरुष,32,सुदूरपश्चिम प्रदेश,दार्चुला,1,,,,
7,विर्ख राज पन्त,राष्ट्रिय जनमोर्चा,गिलास,86,पुरुष,57,सुदूरपश्चिम प्रदेश,दार्चुला,1,,,,
8,विद्या देव जोशी,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,41,पुरुष,52,सुदूरपश्चिम प्रदेश,दार्चुला,1,,,,
9,प्रेम सिह बडाल,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,34,पुरुष,64,सुदूरपश्चिम प्रदेश,दार्चुला,1,,,,
10,गगन ठगुन्ना,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,19,पुरुष,56,सुदूरपश्चिम प्रदेश,दार्चुला,1,,,,
11,रमेश कुमार रावल,नेपाल मजदुर किसान पार्टी,मादल,18,पुरुष,48,सुदूरपश्चिम प्रदेश,दार्चुला,1,,,,
