Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,हरि मोहन भण्डारी,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,22134,पुरुष,59,सुदूरपश्चिम प्रदेश,बैतडी,1,,,,
2,चतुर बहादुर चन्द,नेपाली काँग्रेस,रुख,18194,पुरुष,54,सुदूरपश्चिम प्रदेश,बैतडी,1,,,,
3,दामोदर भण्डारी,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,17091,पुरुष,52,सुदूरपश्चिम प्रदेश,बैतडी,1,,,,
4,प्रमानन्द भट्ट,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,6965,पुरुष,60,सुदूरपश्चिम प्रदेश,बैतडी,1,,,,
5,भुपेन बाहादुर चन्द,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,2681,पुरुष,46,सुदूरपश्चिम प्रदेश,बैतडी,1,,,,
6,राम बहादुर कुँवर,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,299,पुरुष,41,सुदूरपश्चिम प्रदेश,बैतडी,1,,,,
7,आन सिंह भण्डारी,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,94,पुरुष,58,सुदूरपश्चिम प्रदेश,बैतडी,1,,,,
8,नवराज कोइराला,नेपाल मजदुर किसान पार्टी,मादल,94,पुरुष,60,सुदूरपश्चिम प्रदेश,बैतडी,1,,,,
9,विसन सिंह वोहरा,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,82,पुरुष,40,सुदूरपश्चिम प्रदेश,बैतडी,1,,,,
10,गजेन्द्र् राज पाण्डेय,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,78,पुरुष,49,सुदूरपश्चिम प्रदेश,बैतडी,1,,,,
11,जय प्रकाश पन्त,स्वतन्त्र,भँगेरा,18,पुरुष,59,सुदूरपश्चिम प्रदेश,बैतडी,1,,,,
