Rank,PoliticalPartyName,SymbolName,TotalVoteReceived
1,राष्ट्रिय स्वतन्त्र पार्टी,,5183493
2,नेपाली काँग्रेस,,1759172
3,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),,1455885
4,नेपाली कम्युनिष्ट पार्टी,,811577
5,श्रम संस्कृति पार्टी,,385902
6,राष्ट्रिय प्रजातन्त्र पार्टी,,330684
7,"जनता समाजवादी पार्टी, नेपाल",,182285
8,राष्ट्रिय परिवर्तन पार्टी,,172489
9,जनमत पार्टी,,79435
10,"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",,62069
11,नेपाल मजदुर किसान पार्टी,,42299
12,राष्ट्र निर्माण दल नेपाल,,39577
13,राष्ट्रिय जनमोर्चा,,29456
14,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),,29436
15,नेपाल जनता संरक्षण पार्टी,,28424
16,प्रगतिशील लोकतान्त्रिक पार्टी,,24676
17,नेपाल कम्युनिस्ट पार्टी (माओवादी),,23867
18,मंगोल नेशनल अर्गनाइजेशन,,20829
19,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),,19832
20,सार्वभौम नागरिक पार्टी,,14886
21,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",,10725
22,संयुक्त नागरिक पार्टी,,9142
23,स्वाभिमान पार्टी,,8144
24,राष्ट्रिय जनमुक्ति पार्टी,,7208
25,नेपाल जनता पार्टी,,7164
26,राष्ट्रिय एकता दल,,7071
27,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),,6172
28,राष्ट्रिय गौरव पार्टी,,5250
29,नेशनल रिपब्लिक नेपाल,,5160
30,गतिशील लोकतान्त्रिक पार्टी,,5101
31,नेपालका लागि नेपाली पार्टी,,5019
32,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),,4835
33,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,,4678
34,नेपाल कम्युनिष्ट पार्टी (संयुक्त),,4515
35,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",,4319
36,समावेशी समाजवादी पार्टी नेपाल,,4288
37,नेपाल लोकतान्त्रिक पार्टी,,4123
38,नेपाल मातृभूमि पार्टी,,3228
39,जय मातृभूमि पार्टी,,2948
40,राष्ट्रिय जनता पार्टी नेपाल,,2936
41,बहुजन शक्ति पार्टी,,2775
42,प्रजातान्त्रिक पार्टी नेपाल,,2245
43,नेपाल जनमुक्ति पार्टी,,2172
44,जन अधिकार पार्टी,,2117
45,नेपाल सद्‍भावना पार्टी,,2018
46,पिपुल फर्ष्ट पार्टी,,1800
47,नेपाली काँग्रेस (वी.पी.),,1789
48,"नागरिक शक्ति, नेपाल",,1733
49,नेपाली जनश्रमदान संस्कृति पार्टी,,1639
50,नेपाली जनता दल,,1455
51,समावेशी समाजवादी पार्टी,,1397
52,"जनता लोकतान्त्रिक पार्टी, नेपाल",,1303
53,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),,1132
54,जनप्रिय लोकतान्त्रिक पार्टी,,955
55,मितेरी पार्टी नेपाल,,772
56,उन्‍नत लोकतन्त्र पार्टी,,730
57,त्रिमुल नेपाल,,694
