Rank,PoliticalPartyName,SymbolName,TotalVoteReceived
1,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,11189
2,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,9520
3,नेपाली काँग्रेस,रुख,7754
4,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,5001
5,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,3358
6,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,1195
7,नेपाल मजदुर किसान पार्टी,मादल,952
8,नेपाल जनता पार्टी,कमलको फूल,227
9,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,191
10,राष्ट्रिय जनमोर्चा,गिलास,177
11,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,105
12,नेपाल जनता संरक्षण पार्टी,डोको,81
13,जनमत पार्टी,लाउड स्पिकर,50
14,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,49
15,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",षटकोण,47
16,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),हँसिया र तारा,42
17,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,41
18,राष्ट्रिय एकता दल,"तुलसी, मठ",39
19,समावेशी समाजवादी पार्टी नेपाल,भित्ते घडी,37
20,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,36
21,राष्ट्रिय गौरव पार्टी,पाँचमुखे रुद्राक्षको दाना,34
22,मितेरी पार्टी नेपाल,घोडा,18
23,राष्ट्रिय जनता पार्टी नेपाल,दायाँ हातले समातेको मसाल,17
24,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),मोबाइल,14
25,बहुजन शक्ति पार्टी,जग,13
26,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,12
27,प्रजातान्त्रिक पार्टी नेपाल,रथ,11
28,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,10
29,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,10
30,जन अधिकार पार्टी,डुङ्‌गा,10
31,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,9
32,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),बस,9
33,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),9
34,नेपाली जनता दल,सिट्ठी,8
35,नेपाली जनश्रमदान संस्कृति पार्टी,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,8
36,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती,8
37,नेपाल मातृभूमि पार्टी,बलिरहेको दियो,7
38,त्रिमुल नेपाल,ओदान,7
39,"जनता लोकतान्त्रिक पार्टी, नेपाल",भैँसी,6
40,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,6
41,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,5
42,"नागरिक शक्ति, नेपाल",त्रिशुल,5
43,उन्‍नत लोकतन्त्र पार्टी,खुला किताब,4
44,"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",चकिया (जाँतो),4
45,नेपाल सद्‍भावना पार्टी,पञ्जा छाप,4
46,संयुक्त नागरिक पार्टी,गितार,4
47,नेपाल जनमुक्ति पार्टी,घर,3
48,गतिशील लोकतान्त्रिक पार्टी,ब्याट्री,3
49,पिपुल फर्ष्ट पार्टी,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,3
50,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,3
51,नेपाल लोकतान्त्रिक पार्टी,दुई हात जोडेको नमस्कार,3
52,समावेशी समाजवादी पार्टी,श्रीवत्स समृद्धिको प्रतीक,2
53,मंगोल नेशनल अर्गनाइजेशन,कुखुराको भाले,2
54,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),जगर भएको सिंह,2
55,स्वाभिमान पार्टी,बाली बोकेको महिलाको आकृति,2
56,नेपाली काँग्रेस (वी.पी.),करूवा,1
57,जनप्रिय लोकतान्त्रिक पार्टी,बज्र,0
