Rank,PoliticalPartyName,SymbolName,TotalVoteReceived
1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,853183
2,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,292049
3,नेपाली काँग्रेस,रुख,290562
4,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,288186
5,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,97679
6,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,62899
7,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,24310
8,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,13840
9,मंगोल नेशनल अर्गनाइजेशन,कुखुराको भाले,8754
10,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,8170
11,"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",चकिया (जाँतो),5781
12,जनमत पार्टी,लाउड स्पिकर,5175
13,नेपाल जनता संरक्षण पार्टी,डोको,4976
14,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,3841
15,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,3516
16,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,3367
17,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),2881
18,राष्ट्रिय गौरव पार्टी,पाँचमुखे रुद्राक्षको दाना,2624
19,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,2131
20,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",षटकोण,1973
21,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,1927
22,नेपाल लोकतान्त्रिक पार्टी,दुई हात जोडेको नमस्कार,1757
23,संयुक्त नागरिक पार्टी,गितार,1672
24,नेपाल मजदुर किसान पार्टी,मादल,1506
25,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),हँसिया र तारा,1166
26,राष्ट्रिय एकता दल,"तुलसी, मठ",1137
27,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),मोबाइल,1124
28,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),बस,1075
29,समावेशी समाजवादी पार्टी नेपाल,भित्ते घडी,1034
30,नेपाल सद्‍भावना पार्टी,पञ्जा छाप,870
31,जन अधिकार पार्टी,डुङ्‌गा,834
32,नेपाल जनता पार्टी,कमलको फूल,778
33,प्रजातान्त्रिक पार्टी नेपाल,रथ,773
34,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,740
35,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती,728
36,नेपाली जनश्रमदान संस्कृति पार्टी,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,669
37,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,589
38,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,562
39,गतिशील लोकतान्त्रिक पार्टी,ब्याट्री,537
40,राष्ट्रिय जनता पार्टी नेपाल,दायाँ हातले समातेको मसाल,531
41,पिपुल फर्ष्ट पार्टी,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,530
42,नेपाल जनमुक्ति पार्टी,घर,516
43,नेपाल मातृभूमि पार्टी,बलिरहेको दियो,512
44,राष्ट्रिय जनमोर्चा,गिलास,460
45,समावेशी समाजवादी पार्टी,श्रीवत्स समृद्धिको प्रतीक,431
46,बहुजन शक्ति पार्टी,जग,393
47,"नागरिक शक्ति, नेपाल",त्रिशुल,351
48,नेपाली काँग्रेस (वी.पी.),करूवा,342
49,"जनता लोकतान्त्रिक पार्टी, नेपाल",भैँसी,331
50,स्वाभिमान पार्टी,बाली बोकेको महिलाको आकृति,312
51,नेपाली जनता दल,सिट्ठी,289
52,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),जगर भएको सिंह,261
53,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,200
54,जनप्रिय लोकतान्त्रिक पार्टी,बज्र,180
55,मितेरी पार्टी नेपाल,घोडा,132
56,उन्‍नत लोकतन्त्र पार्टी,खुला किताब,123
57,त्रिमुल नेपाल,ओदान,105
