Rank,PoliticalPartyName,SymbolName,TotalVoteReceived
1,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,17482
2,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,16463
3,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,13341
4,नेपाली काँग्रेस,रुख,11919
5,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,1264
6,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,1250
7,मंगोल नेशनल अर्गनाइजेशन,कुखुराको भाले,862
8,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,758
9,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,556
10,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,391
11,"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",चकिया (जाँतो),182
12,राष्ट्रिय गौरव पार्टी,पाँचमुखे रुद्राक्षको दाना,166
13,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,109
14,नेपाल जनता संरक्षण पार्टी,डोको,84
15,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,84
16,नेपाल लोकतान्त्रिक पार्टी,दुई हात जोडेको नमस्कार,83
17,जनमत पार्टी,लाउड स्पिकर,75
18,नेपाल जनमुक्ति पार्टी,घर,57
19,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",षटकोण,42
20,नेपाल सद्‍भावना पार्टी,पञ्जा छाप,38
21,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,38
22,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,37
23,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),हँसिया र तारा,35
24,प्रजातान्त्रिक पार्टी नेपाल,रथ,32
25,संयुक्त नागरिक पार्टी,गितार,29
26,राष्ट्रिय एकता दल,"तुलसी, मठ",29
27,पिपुल फर्ष्ट पार्टी,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,27
28,जन अधिकार पार्टी,डुङ्‌गा,26
29,समावेशी समाजवादी पार्टी नेपाल,भित्ते घडी,25
30,नेपाली जनश्रमदान संस्कृति पार्टी,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,19
31,नेपाल मातृभूमि पार्टी,बलिरहेको दियो,19
32,नेपाल जनता पार्टी,कमलको फूल,19
33,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,19
34,नेपाल मजदुर किसान पार्टी,मादल,19
35,राष्ट्रिय जनता पार्टी नेपाल,दायाँ हातले समातेको मसाल,18
36,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती,18
37,समावेशी समाजवादी पार्टी,श्रीवत्स समृद्धिको प्रतीक,17
38,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,16
39,नेपाली जनता दल,सिट्ठी,14
40,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),मोबाइल,13
41,गतिशील लोकतान्त्रिक पार्टी,ब्याट्री,11
42,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,11
43,स्वाभिमान पार्टी,बाली बोकेको महिलाको आकृति,10
44,"जनता लोकतान्त्रिक पार्टी, नेपाल",भैँसी,9
45,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),8
46,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),बस,7
47,बहुजन शक्ति पार्टी,जग,7
48,नेपाली काँग्रेस (वी.पी.),करूवा,6
49,राष्ट्रिय जनमोर्चा,गिलास,6
50,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,6
51,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),जगर भएको सिंह,5
52,त्रिमुल नेपाल,ओदान,5
53,मितेरी पार्टी नेपाल,घोडा,4
54,जनप्रिय लोकतान्त्रिक पार्टी,बज्र,4
55,"नागरिक शक्ति, नेपाल",त्रिशुल,4
56,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,4
57,उन्‍नत लोकतन्त्र पार्टी,खुला किताब,2
