Rank,PoliticalPartyName,SymbolName,TotalVoteReceived
1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,33813
2,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,12296
3,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,9141
4,नेपाली काँग्रेस,रुख,8799
5,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,6031
6,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,2003
7,"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",चकिया (जाँतो),771
8,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,631
9,नेपाल जनता संरक्षण पार्टी,डोको,259
10,मंगोल नेशनल अर्गनाइजेशन,कुखुराको भाले,201
11,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,159
12,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,154
13,राष्ट्रिय गौरव पार्टी,पाँचमुखे रुद्राक्षको दाना,134
14,जनमत पार्टी,लाउड स्पिकर,132
15,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",षटकोण,117
16,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,106
17,संयुक्त नागरिक पार्टी,गितार,97
18,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,89
19,नेपाल लोकतान्त्रिक पार्टी,दुई हात जोडेको नमस्कार,87
20,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),मोबाइल,80
21,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,74
22,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),हँसिया र तारा,62
23,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,59
24,राष्ट्रिय एकता दल,"तुलसी, मठ",57
25,नेपाल मजदुर किसान पार्टी,मादल,57
26,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),जगर भएको सिंह,46
27,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,44
28,प्रजातान्त्रिक पार्टी नेपाल,रथ,41
29,नेपाल सद्‍भावना पार्टी,पञ्जा छाप,39
30,नेपाल मातृभूमि पार्टी,बलिरहेको दियो,34
31,जन अधिकार पार्टी,डुङ्‌गा,31
32,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,28
33,नेपाली जनश्रमदान संस्कृति पार्टी,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,26
34,नेपाल जनता पार्टी,कमलको फूल,25
35,नेपाल जनमुक्ति पार्टी,घर,25
36,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,25
37,नेपाली जनता दल,सिट्ठी,25
38,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती,23
39,राष्ट्रिय जनता पार्टी नेपाल,दायाँ हातले समातेको मसाल,22
40,पिपुल फर्ष्ट पार्टी,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,20
41,समावेशी समाजवादी पार्टी नेपाल,भित्ते घडी,19
42,राष्ट्रिय जनमोर्चा,गिलास,18
43,समावेशी समाजवादी पार्टी,श्रीवत्स समृद्धिको प्रतीक,16
44,"नागरिक शक्ति, नेपाल",त्रिशुल,15
45,गतिशील लोकतान्त्रिक पार्टी,ब्याट्री,14
46,बहुजन शक्ति पार्टी,जग,12
47,नेपाली काँग्रेस (वी.पी.),करूवा,12
48,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,9
49,मितेरी पार्टी नेपाल,घोडा,8
50,"जनता लोकतान्त्रिक पार्टी, नेपाल",भैँसी,8
51,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),7
52,त्रिमुल नेपाल,ओदान,7
53,स्वाभिमान पार्टी,बाली बोकेको महिलाको आकृति,6
54,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),बस,5
55,जनप्रिय लोकतान्त्रिक पार्टी,बज्र,5
56,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,5
57,उन्‍नत लोकतन्त्र पार्टी,खुला किताब,3
