Rank,PoliticalPartyName,SymbolName,TotalVoteReceived
1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,17639
2,नेपाली काँग्रेस,रुख,12891
3,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,9210
4,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,6965
5,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,4625
6,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,2394
7,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,717
8,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,678
9,मंगोल नेशनल अर्गनाइजेशन,कुखुराको भाले,270
10,नेपाल जनता संरक्षण पार्टी,डोको,164
11,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,141
12,जनमत पार्टी,लाउड स्पिकर,113
13,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,101
14,"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",चकिया (जाँतो),85
15,राष्ट्रिय गौरव पार्टी,पाँचमुखे रुद्राक्षको दाना,81
16,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,54
17,समावेशी समाजवादी पार्टी,श्रीवत्स समृद्धिको प्रतीक,51
18,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",षटकोण,50
19,नेपाल लोकतान्त्रिक पार्टी,दुई हात जोडेको नमस्कार,44
20,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,44
21,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),हँसिया र तारा,37
22,जन अधिकार पार्टी,डुङ्‌गा,36
23,राष्ट्रिय जनमोर्चा,गिलास,34
24,नेपाल मजदुर किसान पार्टी,मादल,32
25,संयुक्त नागरिक पार्टी,गितार,31
26,समावेशी समाजवादी पार्टी नेपाल,भित्ते घडी,30
27,राष्ट्रिय एकता दल,"तुलसी, मठ",30
28,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,29
29,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,28
30,राष्ट्रिय जनता पार्टी नेपाल,दायाँ हातले समातेको मसाल,25
31,स्वाभिमान पार्टी,बाली बोकेको महिलाको आकृति,25
32,नेपाल जनता पार्टी,कमलको फूल,23
33,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,23
34,नेपाल सद्‍भावना पार्टी,पञ्जा छाप,22
35,पिपुल फर्ष्ट पार्टी,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,22
36,नेपाली जनश्रमदान संस्कृति पार्टी,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,21
37,प्रजातान्त्रिक पार्टी नेपाल,रथ,21
38,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,20
39,नेपाली काँग्रेस (वी.पी.),करूवा,20
40,नेपाल मातृभूमि पार्टी,बलिरहेको दियो,15
41,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),मोबाइल,15
42,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती,14
43,"नागरिक शक्ति, नेपाल",त्रिशुल,13
44,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),10
45,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,9
46,नेपाली जनता दल,सिट्ठी,9
47,जनप्रिय लोकतान्त्रिक पार्टी,बज्र,8
48,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,8
49,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),जगर भएको सिंह,8
50,उन्‍नत लोकतन्त्र पार्टी,खुला किताब,7
51,मितेरी पार्टी नेपाल,घोडा,6
52,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),बस,6
53,गतिशील लोकतान्त्रिक पार्टी,ब्याट्री,6
54,बहुजन शक्ति पार्टी,जग,6
55,"जनता लोकतान्त्रिक पार्टी, नेपाल",भैँसी,5
56,नेपाल जनमुक्ति पार्टी,घर,5
57,त्रिमुल नेपाल,ओदान,4
