Rank,PoliticalPartyName,SymbolName,TotalVoteReceived
1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,10016
2,नेपाली काँग्रेस,रुख,9312
3,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,8593
4,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,6664
5,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,1044
6,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,702
7,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,338
8,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,205
9,संयुक्त नागरिक पार्टी,गितार,91
10,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,85
11,नेपाल जनता संरक्षण पार्टी,डोको,77
12,जनमत पार्टी,लाउड स्पिकर,74
13,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,68
14,राष्ट्रिय गौरव पार्टी,पाँचमुखे रुद्राक्षको दाना,67
15,मंगोल नेशनल अर्गनाइजेशन,कुखुराको भाले,63
16,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,61
17,जन अधिकार पार्टी,डुङ्‌गा,46
18,नेपाल लोकतान्त्रिक पार्टी,दुई हात जोडेको नमस्कार,45
19,"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",चकिया (जाँतो),36
20,प्रजातान्त्रिक पार्टी नेपाल,रथ,35
21,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",षटकोण,29
22,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती,26
23,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,22
24,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),मोबाइल,22
25,राष्ट्रिय एकता दल,"तुलसी, मठ",19
26,नेपाली जनश्रमदान संस्कृति पार्टी,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,18
27,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,17
28,नेपाल मजदुर किसान पार्टी,मादल,16
29,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,14
30,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,13
31,राष्ट्रिय जनमोर्चा,गिलास,11
32,नेपाल जनता पार्टी,कमलको फूल,10
33,समावेशी समाजवादी पार्टी नेपाल,भित्ते घडी,10
34,नेपाल जनमुक्ति पार्टी,घर,10
35,समावेशी समाजवादी पार्टी,श्रीवत्स समृद्धिको प्रतीक,9
36,नेपाल सद्‍भावना पार्टी,पञ्जा छाप,8
37,"नागरिक शक्ति, नेपाल",त्रिशुल,7
38,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),हँसिया र तारा,7
39,बहुजन शक्ति पार्टी,जग,6
40,नेपाली काँग्रेस (वी.पी.),करूवा,6
41,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,5
42,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,4
43,पिपुल फर्ष्ट पार्टी,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,4
44,"जनता लोकतान्त्रिक पार्टी, नेपाल",भैँसी,4
45,राष्ट्रिय जनता पार्टी नेपाल,दायाँ हातले समातेको मसाल,4
46,नेपाली जनता दल,सिट्ठी,4
47,नेपाल मातृभूमि पार्टी,बलिरहेको दियो,4
48,गतिशील लोकतान्त्रिक पार्टी,ब्याट्री,3
49,उन्‍नत लोकतन्त्र पार्टी,खुला किताब,3
50,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),3
51,स्वाभिमान पार्टी,बाली बोकेको महिलाको आकृति,2
52,त्रिमुल नेपाल,ओदान,2
53,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),बस,2
54,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,1
55,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),जगर भएको सिंह,1
56,जनप्रिय लोकतान्त्रिक पार्टी,बज्र,1
57,मितेरी पार्टी नेपाल,घोडा,0
