Rank,PoliticalPartyName,SymbolName,TotalVoteReceived
1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,57581
2,नेपाली काँग्रेस,रुख,13506
3,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,8279
4,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,7997
5,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,2908
6,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,1892
7,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,1135
8,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,1011
9,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,679
10,"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",चकिया (जाँतो),513
11,जनमत पार्टी,लाउड स्पिकर,300
12,नेपाल जनता संरक्षण पार्टी,डोको,300
13,मंगोल नेशनल अर्गनाइजेशन,कुखुराको भाले,202
14,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,147
15,नेपाल लोकतान्त्रिक पार्टी,दुई हात जोडेको नमस्कार,133
16,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,110
17,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,107
18,नेपाल मजदुर किसान पार्टी,मादल,88
19,राष्ट्रिय गौरव पार्टी,पाँचमुखे रुद्राक्षको दाना,77
20,राष्ट्रिय एकता दल,"तुलसी, मठ",55
21,गतिशील लोकतान्त्रिक पार्टी,ब्याट्री,53
22,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),मोबाइल,50
23,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",षटकोण,48
24,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,47
25,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,42
26,समावेशी समाजवादी पार्टी नेपाल,भित्ते घडी,38
27,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती,35
28,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),हँसिया र तारा,35
29,स्वाभिमान पार्टी,बाली बोकेको महिलाको आकृति,33
30,नेपाल जनता पार्टी,कमलको फूल,27
31,संयुक्त नागरिक पार्टी,गितार,27
32,बहुजन शक्ति पार्टी,जग,25
33,पिपुल फर्ष्ट पार्टी,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,25
34,नेपाल मातृभूमि पार्टी,बलिरहेको दियो,24
35,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,23
36,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,23
37,प्रजातान्त्रिक पार्टी नेपाल,रथ,22
38,राष्ट्रिय जनता पार्टी नेपाल,दायाँ हातले समातेको मसाल,21
39,राष्ट्रिय जनमोर्चा,गिलास,21
40,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),बस,21
41,नेपाली जनश्रमदान संस्कृति पार्टी,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,19
42,"नागरिक शक्ति, नेपाल",त्रिशुल,17
43,नेपाल सद्‍भावना पार्टी,पञ्जा छाप,17
44,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,16
45,नेपाली काँग्रेस (वी.पी.),करूवा,16
46,नेपाल जनमुक्ति पार्टी,घर,15
47,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),14
48,"जनता लोकतान्त्रिक पार्टी, नेपाल",भैँसी,13
49,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),जगर भएको सिंह,12
50,नेपाली जनता दल,सिट्ठी,12
51,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,11
52,मितेरी पार्टी नेपाल,घोडा,10
53,जनप्रिय लोकतान्त्रिक पार्टी,बज्र,9
54,जन अधिकार पार्टी,डुङ्‌गा,8
55,समावेशी समाजवादी पार्टी,श्रीवत्स समृद्धिको प्रतीक,8
56,त्रिमुल नेपाल,ओदान,6
57,उन्‍नत लोकतन्त्र पार्टी,खुला किताब,3
