Rank,PoliticalPartyName,SymbolName,TotalVoteReceived
1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,525635
2,नेपाली काँग्रेस,रुख,207387
3,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,152587
4,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,57876
5,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,23556
6,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,18995
7,राष्ट्रिय जनमोर्चा,गिलास,7770
8,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,3226
9,मंगोल नेशनल अर्गनाइजेशन,कुखुराको भाले,2855
10,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,2548
11,नेपाल जनता संरक्षण पार्टी,डोको,1949
12,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",षटकोण,1419
13,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,1378
14,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,1344
15,जनमत पार्टी,लाउड स्पिकर,1211
16,संयुक्त नागरिक पार्टी,गितार,907
17,"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",चकिया (जाँतो),738
18,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,704
19,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),मोबाइल,664
20,राष्ट्रिय एकता दल,"तुलसी, मठ",507
21,नेपाल जनमुक्ति पार्टी,घर,479
22,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),हँसिया र तारा,444
23,नेपाल मजदुर किसान पार्टी,मादल,418
24,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,417
25,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,350
26,राष्ट्रिय गौरव पार्टी,पाँचमुखे रुद्राक्षको दाना,322
27,नेपाल लोकतान्त्रिक पार्टी,दुई हात जोडेको नमस्कार,296
28,नेपाल जनता पार्टी,कमलको फूल,284
29,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,242
30,नेपाल मातृभूमि पार्टी,बलिरहेको दियो,226
31,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,176
32,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती,169
33,पिपुल फर्ष्ट पार्टी,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,155
34,"नागरिक शक्ति, नेपाल",त्रिशुल,146
35,राष्ट्रिय जनता पार्टी नेपाल,दायाँ हातले समातेको मसाल,133
36,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,133
37,समावेशी समाजवादी पार्टी नेपाल,भित्ते घडी,130
38,नेपाल सद्‍भावना पार्टी,पञ्जा छाप,125
39,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,114
40,नेपाली काँग्रेस (वी.पी.),करूवा,107
41,प्रजातान्त्रिक पार्टी नेपाल,रथ,106
42,जन अधिकार पार्टी,डुङ्‌गा,95
43,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,91
44,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),91
45,बहुजन शक्ति पार्टी,जग,84
46,समावेशी समाजवादी पार्टी,श्रीवत्स समृद्धिको प्रतीक,83
47,गतिशील लोकतान्त्रिक पार्टी,ब्याट्री,77
48,नेपाली जनश्रमदान संस्कृति पार्टी,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,76
49,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),जगर भएको सिंह,59
50,नेपाली जनता दल,सिट्ठी,57
51,"जनता लोकतान्त्रिक पार्टी, नेपाल",भैँसी,55
52,मितेरी पार्टी नेपाल,घोडा,48
53,जनप्रिय लोकतान्त्रिक पार्टी,बज्र,45
54,त्रिमुल नेपाल,ओदान,40
55,स्वाभिमान पार्टी,बाली बोकेको महिलाको आकृति,38
56,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),बस,32
57,उन्‍नत लोकतन्त्र पार्टी,खुला किताब,29
