Rank,PoliticalPartyName,SymbolName,TotalVoteReceived
1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,33797
2,नेपाली काँग्रेस,रुख,13223
3,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,10864
4,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,1903
5,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,1478
6,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,1344
7,मंगोल नेशनल अर्गनाइजेशन,कुखुराको भाले,474
8,नेपाल जनता संरक्षण पार्टी,डोको,171
9,नेपाल जनमुक्ति पार्टी,घर,159
10,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,136
11,जनमत पार्टी,लाउड स्पिकर,119
12,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,90
13,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,84
14,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,77
15,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),मोबाइल,64
16,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",षटकोण,44
17,नेपाल मजदुर किसान पार्टी,मादल,43
18,राष्ट्रिय एकता दल,"तुलसी, मठ",40
19,राष्ट्रिय गौरव पार्टी,पाँचमुखे रुद्राक्षको दाना,38
20,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,36
21,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,36
22,नेपाल जनता पार्टी,कमलको फूल,33
23,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,26
24,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),हँसिया र तारा,24
25,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती,21
26,पिपुल फर्ष्ट पार्टी,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,16
27,राष्ट्रिय जनमोर्चा,गिलास,15
28,नेपाल लोकतान्त्रिक पार्टी,दुई हात जोडेको नमस्कार,15
29,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,15
30,संयुक्त नागरिक पार्टी,गितार,14
31,राष्ट्रिय जनता पार्टी नेपाल,दायाँ हातले समातेको मसाल,14
32,नेपाल मातृभूमि पार्टी,बलिरहेको दियो,11
33,"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",चकिया (जाँतो),9
34,नेपाली जनश्रमदान संस्कृति पार्टी,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,9
35,बहुजन शक्ति पार्टी,जग,9
36,समावेशी समाजवादी पार्टी,श्रीवत्स समृद्धिको प्रतीक,9
37,नेपाली काँग्रेस (वी.पी.),करूवा,8
38,नेपाल सद्‍भावना पार्टी,पञ्जा छाप,8
39,प्रजातान्त्रिक पार्टी नेपाल,रथ,8
40,"नागरिक शक्ति, नेपाल",त्रिशुल,7
41,जन अधिकार पार्टी,डुङ्‌गा,7
42,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,6
43,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,5
44,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,5
45,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),5
46,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),बस,4
47,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,4
48,"जनता लोकतान्त्रिक पार्टी, नेपाल",भैँसी,3
49,समावेशी समाजवादी पार्टी नेपाल,भित्ते घडी,3
50,गतिशील लोकतान्त्रिक पार्टी,ब्याट्री,3
51,नेपाली जनता दल,सिट्ठी,3
52,त्रिमुल नेपाल,ओदान,3
53,मितेरी पार्टी नेपाल,घोडा,3
54,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),जगर भएको सिंह,2
55,उन्‍नत लोकतन्त्र पार्टी,खुला किताब,2
56,जनप्रिय लोकतान्त्रिक पार्टी,बज्र,1
57,स्वाभिमान पार्टी,बाली बोकेको महिलाको आकृति,0
