Rank,PoliticalPartyName,SymbolName,TotalVoteReceived
1,नेपाली काँग्रेस,रुख,2521
2,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,2313
3,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,1204
4,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,136
5,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,126
6,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,123
7,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,34
8,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,34
9,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,28
10,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),मोबाइल,12
11,मंगोल नेशनल अर्गनाइजेशन,कुखुराको भाले,7
12,नेपाल जनता पार्टी,कमलको फूल,7
13,जनमत पार्टी,लाउड स्पिकर,6
14,नेपाल जनता संरक्षण पार्टी,डोको,6
15,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,3
16,राष्ट्रिय गौरव पार्टी,पाँचमुखे रुद्राक्षको दाना,3
17,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",षटकोण,3
18,गतिशील लोकतान्त्रिक पार्टी,ब्याट्री,2
19,नेपाल मातृभूमि पार्टी,बलिरहेको दियो,2
20,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,2
21,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),हँसिया र तारा,2
22,समावेशी समाजवादी पार्टी,श्रीवत्स समृद्धिको प्रतीक,2
23,नेपाली जनश्रमदान संस्कृति पार्टी,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,1
24,समावेशी समाजवादी पार्टी नेपाल,भित्ते घडी,1
25,राष्ट्रिय जनमोर्चा,गिलास,1
26,नेपाल मजदुर किसान पार्टी,मादल,1
27,राष्ट्रिय जनता पार्टी नेपाल,दायाँ हातले समातेको मसाल,1
28,नेपाल लोकतान्त्रिक पार्टी,दुई हात जोडेको नमस्कार,1
29,"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",चकिया (जाँतो),1
30,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,1
31,संयुक्त नागरिक पार्टी,गितार,1
32,"जनता लोकतान्त्रिक पार्टी, नेपाल",भैँसी,1
33,नेपाल जनमुक्ति पार्टी,घर,0
34,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,0
35,बहुजन शक्ति पार्टी,जग,0
36,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,0
37,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,0
38,राष्ट्रिय एकता दल,"तुलसी, मठ",0
39,प्रजातान्त्रिक पार्टी नेपाल,रथ,0
40,जनप्रिय लोकतान्त्रिक पार्टी,बज्र,0
41,स्वाभिमान पार्टी,बाली बोकेको महिलाको आकृति,0
42,नेपाल सद्‍भावना पार्टी,पञ्जा छाप,0
43,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),जगर भएको सिंह,0
44,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,0
45,"नागरिक शक्ति, नेपाल",त्रिशुल,0
46,जन अधिकार पार्टी,डुङ्‌गा,0
47,उन्‍नत लोकतन्त्र पार्टी,खुला किताब,0
48,त्रिमुल नेपाल,ओदान,0
49,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),0
50,नेपाली जनता दल,सिट्ठी,0
51,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती,0
52,पिपुल फर्ष्ट पार्टी,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,0
53,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,0
54,नेपाली काँग्रेस (वी.पी.),करूवा,0
55,मितेरी पार्टी नेपाल,घोडा,0
56,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,0
57,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),बस,0
