Rank,PoliticalPartyName,SymbolName,TotalVoteReceived
1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,33499
2,नेपाली काँग्रेस,रुख,16399
3,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,14485
4,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,1873
5,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,1531
6,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,957
7,मंगोल नेशनल अर्गनाइजेशन,कुखुराको भाले,248
8,नेपाल जनता संरक्षण पार्टी,डोको,115
9,जनमत पार्टी,लाउड स्पिकर,100
10,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,73
11,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,64
12,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,63
13,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,50
14,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,48
15,राष्ट्रिय जनमोर्चा,गिलास,41
16,"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",चकिया (जाँतो),36
17,राष्ट्रिय एकता दल,"तुलसी, मठ",35
18,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,34
19,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",षटकोण,29
20,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,20
21,नेपाल मजदुर किसान पार्टी,मादल,18
22,नेपाल लोकतान्त्रिक पार्टी,दुई हात जोडेको नमस्कार,17
23,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),मोबाइल,16
24,संयुक्त नागरिक पार्टी,गितार,14
25,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),हँसिया र तारा,14
26,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,14
27,राष्ट्रिय गौरव पार्टी,पाँचमुखे रुद्राक्षको दाना,14
28,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,13
29,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती,10
30,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,10
31,राष्ट्रिय जनता पार्टी नेपाल,दायाँ हातले समातेको मसाल,10
32,पिपुल फर्ष्ट पार्टी,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,9
33,नेपाल सद्‍भावना पार्टी,पञ्जा छाप,9
34,नेपाल जनमुक्ति पार्टी,घर,7
35,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,7
36,प्रजातान्त्रिक पार्टी नेपाल,रथ,7
37,नेपाली काँग्रेस (वी.पी.),करूवा,6
38,समावेशी समाजवादी पार्टी नेपाल,भित्ते घडी,6
39,"जनता लोकतान्त्रिक पार्टी, नेपाल",भैँसी,6
40,नेपाल जनता पार्टी,कमलको फूल,6
41,गतिशील लोकतान्त्रिक पार्टी,ब्याट्री,6
42,समावेशी समाजवादी पार्टी,श्रीवत्स समृद्धिको प्रतीक,5
43,जनप्रिय लोकतान्त्रिक पार्टी,बज्र,5
44,"नागरिक शक्ति, नेपाल",त्रिशुल,4
45,नेपाली जनता दल,सिट्ठी,4
46,त्रिमुल नेपाल,ओदान,4
47,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),जगर भएको सिंह,4
48,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),4
49,बहुजन शक्ति पार्टी,जग,3
50,नेपाल मातृभूमि पार्टी,बलिरहेको दियो,3
51,नेपाली जनश्रमदान संस्कृति पार्टी,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,3
52,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,2
53,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),बस,2
54,जन अधिकार पार्टी,डुङ्‌गा,2
55,मितेरी पार्टी नेपाल,घोडा,2
56,उन्‍नत लोकतन्त्र पार्टी,खुला किताब,1
57,स्वाभिमान पार्टी,बाली बोकेको महिलाको आकृति,1
