Rank,PoliticalPartyName,SymbolName,TotalVoteReceived
1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,1119270
2,नेपाली काँग्रेस,रुख,321106
3,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,261897
4,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,188182
5,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,116552
6,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,76521
7,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,31539
8,नेपाल मजदुर किसान पार्टी,मादल,30542
9,मंगोल नेशनल अर्गनाइजेशन,कुखुराको भाले,5477
10,नेपाल जनता संरक्षण पार्टी,डोको,5141
11,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,3393
12,जनमत पार्टी,लाउड स्पिकर,2918
13,संयुक्त नागरिक पार्टी,गितार,2866
14,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,2700
15,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,2031
16,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",षटकोण,1708
17,नेपाल मातृभूमि पार्टी,बलिरहेको दियो,1583
18,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),हँसिया र तारा,1371
19,राष्ट्रिय जनमोर्चा,गिलास,1341
20,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,1279
21,राष्ट्रिय एकता दल,"तुलसी, मठ",1073
22,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,840
23,नेपाल जनता पार्टी,कमलको फूल,810
24,"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",चकिया (जाँतो),731
25,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),मोबाइल,722
26,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती,701
27,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,693
28,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,663
29,समावेशी समाजवादी पार्टी नेपाल,भित्ते घडी,612
30,राष्ट्रिय गौरव पार्टी,पाँचमुखे रुद्राक्षको दाना,563
31,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,544
32,राष्ट्रिय जनता पार्टी नेपाल,दायाँ हातले समातेको मसाल,537
33,गतिशील लोकतान्त्रिक पार्टी,ब्याट्री,502
34,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,433
35,नेपाल लोकतान्त्रिक पार्टी,दुई हात जोडेको नमस्कार,413
36,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,375
37,"जनता लोकतान्त्रिक पार्टी, नेपाल",भैँसी,314
38,"नागरिक शक्ति, नेपाल",त्रिशुल,301
39,नेपाली जनता दल,सिट्ठी,287
40,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),285
41,स्वाभिमान पार्टी,बाली बोकेको महिलाको आकृति,282
42,बहुजन शक्ति पार्टी,जग,277
43,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),जगर भएको सिंह,272
44,नेपाली जनश्रमदान संस्कृति पार्टी,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,258
45,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,250
46,जनप्रिय लोकतान्त्रिक पार्टी,बज्र,248
47,प्रजातान्त्रिक पार्टी नेपाल,रथ,244
48,समावेशी समाजवादी पार्टी,श्रीवत्स समृद्धिको प्रतीक,239
49,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),बस,235
50,नेपाल सद्‍भावना पार्टी,पञ्जा छाप,234
51,पिपुल फर्ष्ट पार्टी,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,225
52,नेपाली काँग्रेस (वी.पी.),करूवा,198
53,नेपाल जनमुक्ति पार्टी,घर,182
54,जन अधिकार पार्टी,डुङ्‌गा,161
55,त्रिमुल नेपाल,ओदान,136
56,मितेरी पार्टी नेपाल,घोडा,128
57,उन्‍नत लोकतन्त्र पार्टी,खुला किताब,108
