Rank,PoliticalPartyName,SymbolName,TotalVoteReceived
1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,54509
2,नेपाली काँग्रेस,रुख,11518
3,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,9016
4,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,5570
5,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,1814
6,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,1149
7,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,989
8,मंगोल नेशनल अर्गनाइजेशन,कुखुराको भाले,267
9,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,169
10,नेपाल जनता संरक्षण पार्टी,डोको,135
11,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,96
12,जनमत पार्टी,लाउड स्पिकर,95
13,राष्ट्रिय जनमोर्चा,गिलास,90
14,नेपाल मजदुर किसान पार्टी,मादल,59
15,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),हँसिया र तारा,53
16,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,50
17,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),मोबाइल,48
18,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,47
19,नेपाल मातृभूमि पार्टी,बलिरहेको दियो,37
20,राष्ट्रिय एकता दल,"तुलसी, मठ",37
21,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",षटकोण,36
22,संयुक्त नागरिक पार्टी,गितार,31
23,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,29
24,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,27
25,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,25
26,राष्ट्रिय गौरव पार्टी,पाँचमुखे रुद्राक्षको दाना,22
27,राष्ट्रिय जनता पार्टी नेपाल,दायाँ हातले समातेको मसाल,18
28,"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",चकिया (जाँतो),16
29,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,15
30,नेपाल जनता पार्टी,कमलको फूल,15
31,नेपाल सद्‍भावना पार्टी,पञ्जा छाप,13
32,गतिशील लोकतान्त्रिक पार्टी,ब्याट्री,13
33,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,12
34,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती,11
35,नेपाल लोकतान्त्रिक पार्टी,दुई हात जोडेको नमस्कार,10
36,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,9
37,समावेशी समाजवादी पार्टी,श्रीवत्स समृद्धिको प्रतीक,9
38,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),8
39,"जनता लोकतान्त्रिक पार्टी, नेपाल",भैँसी,8
40,नेपाली जनश्रमदान संस्कृति पार्टी,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,7
41,बहुजन शक्ति पार्टी,जग,7
42,नेपाली जनता दल,सिट्ठी,6
43,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,6
44,प्रजातान्त्रिक पार्टी नेपाल,रथ,6
45,समावेशी समाजवादी पार्टी नेपाल,भित्ते घडी,6
46,त्रिमुल नेपाल,ओदान,6
47,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),बस,5
48,स्वाभिमान पार्टी,बाली बोकेको महिलाको आकृति,4
49,"नागरिक शक्ति, नेपाल",त्रिशुल,4
50,नेपाली काँग्रेस (वी.पी.),करूवा,3
51,नेपाल जनमुक्ति पार्टी,घर,3
52,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),जगर भएको सिंह,3
53,जनप्रिय लोकतान्त्रिक पार्टी,बज्र,3
54,उन्‍नत लोकतन्त्र पार्टी,खुला किताब,2
55,जन अधिकार पार्टी,डुङ्‌गा,2
56,मितेरी पार्टी नेपाल,घोडा,1
57,पिपुल फर्ष्ट पार्टी,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,1
