Rank,PoliticalPartyName,SymbolName,TotalVoteReceived
1,नेपाली काँग्रेस,रुख,9600
2,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,7618
3,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,3588
4,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,2135
5,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,957
6,मंगोल नेशनल अर्गनाइजेशन,कुखुराको भाले,508
7,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,261
8,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,167
9,जनमत पार्टी,लाउड स्पिकर,102
10,नेपाल जनता संरक्षण पार्टी,डोको,97
11,संयुक्त नागरिक पार्टी,गितार,63
12,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,36
13,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,36
14,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,32
15,नेपाल मातृभूमि पार्टी,बलिरहेको दियो,21
16,राष्ट्रिय एकता दल,"तुलसी, मठ",19
17,नेपाल मजदुर किसान पार्टी,मादल,14
18,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,14
19,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",षटकोण,13
20,राष्ट्रिय जनता पार्टी नेपाल,दायाँ हातले समातेको मसाल,12
21,समावेशी समाजवादी पार्टी नेपाल,भित्ते घडी,11
22,नेपाली जनश्रमदान संस्कृति पार्टी,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,11
23,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,10
24,नेपाल जनता पार्टी,कमलको फूल,9
25,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),हँसिया र तारा,9
26,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,9
27,राष्ट्रिय जनमोर्चा,गिलास,8
28,बहुजन शक्ति पार्टी,जग,8
29,नेपाल लोकतान्त्रिक पार्टी,दुई हात जोडेको नमस्कार,7
30,जनप्रिय लोकतान्त्रिक पार्टी,बज्र,7
31,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,7
32,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,6
33,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,6
34,राष्ट्रिय गौरव पार्टी,पाँचमुखे रुद्राक्षको दाना,6
35,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),मोबाइल,5
36,स्वाभिमान पार्टी,बाली बोकेको महिलाको आकृति,5
37,प्रजातान्त्रिक पार्टी नेपाल,रथ,5
38,नेपाली जनता दल,सिट्ठी,4
39,समावेशी समाजवादी पार्टी,श्रीवत्स समृद्धिको प्रतीक,4
40,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती,4
41,नेपाली काँग्रेस (वी.पी.),करूवा,4
42,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,4
43,गतिशील लोकतान्त्रिक पार्टी,ब्याट्री,4
44,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),3
45,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,3
46,मितेरी पार्टी नेपाल,घोडा,3
47,"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",चकिया (जाँतो),3
48,"नागरिक शक्ति, नेपाल",त्रिशुल,2
49,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),जगर भएको सिंह,2
50,नेपाल सद्‍भावना पार्टी,पञ्जा छाप,2
51,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),बस,1
52,पिपुल फर्ष्ट पार्टी,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,1
53,त्रिमुल नेपाल,ओदान,1
54,"जनता लोकतान्त्रिक पार्टी, नेपाल",भैँसी,1
55,जन अधिकार पार्टी,डुङ्‌गा,0
56,नेपाल जनमुक्ति पार्टी,घर,0
57,उन्‍नत लोकतन्त्र पार्टी,खुला किताब,0
